e_v2,e_v3,e_v13,e_v4,e_v5,e_v6,e_v7,e_v8,e_v9,e_v10,e_v11,e_v12,e_v14,e_v15,e_v16,e_v17,e_v18,e_v19,e_v21,e_v1,e_v20,e_v22,A,J,P,Q,D,B,O,F,H,M,E,R,I,C,N,G,L,v_v1,v_v2,v_v3,v_v4,v_v5,v_v6,v_v7,v_v8,v_v9,v_v10,v_v11,v_v12,v_v13,v_v14,v_v15,v_v16,v_v17,v_v18,v_v19
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.7031845545428707,2.8238978649718387,0.09571445836710794,0.1458234953278161,1.1027973646311313,0.01744420352289328,1.1431679951507936,4.820768865930121,2.7663243750566213,2.9734023327925887,0.07734343301161636,0.3386790212995642,0.01810750880332944,3.1656298888532004,0.8300707151527561,0.8300707151527563,2.335559173700444,2.335559173700444,1.370010187075739,1.370010187075738,0.06790180383443392,0.8976471827902726,0.8976471827902727,0.8976471827902722,0.8976471827902724,0.030816589497594492,0.03708521433683943,0.037085214336839444,0.03708521433683943,0.037085214336839464,0.055457689444636235,-0.018372475107796823
5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,2.341102579848105,12.885191712259983,0.10870063352604742,0.43825839410792594,2.2073885548173138,0.022596877183116447,3.6703931791080513,23.060478936384754,4.736296463593313,9.972656437214809,0.09178304128493288,0.7634680148857502,0.02552829335849192,3.963496658724951,0.8593486543783254,0.8593486543783252,3.104148004346627,3.104148004346627,1.607294014291598,1.6072940142915981,0.13794585162698028,1.358908138428048,1.358908138428047,1.3589081384280486,1.3589081384280477,0.06802238250009357,0.06992346912688667,0.06992346912688674,0.06992346912688664,0.0699234691268866,0.08748958022138953,-0.01756611109450282
1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.6954631622656736,2.7832238554383504,0.09561385308066594,0.1443228879398679,1.0959229544391977,0.017404774405734312,1.1311422709251944,15.59819020576174,2.7530242047702846,2.939636590295513,0.07723221476811624,0.33622583966419833,0.018050725499122466,3.1834168800144345,0.8555330930222498,0.8555330930222516,2.327883786992184,2.3278837869921833,1.3668943809562186,1.3668943809562202,0.06738402998514091,0.893605376050823,0.8936053760508229,0.8936053760508237,0.8936053760508226,0.030556159856178527,0.03682787012896243,0.03682787012896245,0.03682787012896242,0.036827870128962485,0.05520659994493874,-0.018378729815976325
1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.4155760425879561,1.3948073711988718,0.09139394233901556,0.08867095541871398,0.8206742451723147,0.01575769434622778,0.6925161712150723,0.1714353504964064,2.2031112690939683,1.7082683072209082,0.07257618491769695,0.24049696293281397,0.01567866092898101,3.873708300169304,1.9142059320882625,1.9142059320882554,1.95950236808098,1.9595023680810326,1.2022640476906976,1.2022640476907056,0.04615555343459869,0.7110827669557498,0.711082766955765,0.7110827669558123,0.7110827669558141,0.02016343160258395,0.025992121832014606,0.025992121832014194,0.025992121832014152,0.025992121832014218,0.0446333138315493,-0.018641191999535123
1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,1.4840301401682792,1.8305538282370513,0.10337892492537419,0.2905105328825077,1.6916105298007673,0.02047017539744362,2.3512328868130408,3.0283241308852533,3.850055435536223,6.340874101675218,0.08584576102196759,0.5582944660296189,0.022465332616816755,3.638083659183124,0.8094337318940263,0.8094337318940263,2.828649927289098,2.8286499272890984,1.5396194049524512,1.5396194049524523,0.10863410069035791,1.1803964216462883,1.1803964216462879,1.1803964216462883,1.180396421646288,0.05207715086760294,0.056556949822755095,0.05655694982275512,0.056556949822755054,0.05655694982275492,0.07445326828705288,-0.017896318464297796
1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,1.5237427550747014,1.8007720919792742,0.10367671378983337,0.2975669772281564,1.7177025534914496,0.020588624835559344,2.412442797180965,2.97474815605472,3.8960414373164736,1.4023693969323792,0.08617726680021127,0.5684147990079997,0.02263592108667209,3.653584882518552,0.8084601328477945,0.8084601328441893,2.8451247496745893,2.8451247496742678,1.5442094439192215,1.5442094439177751,0.11025843924226975,1.1906568665119386,1.1906568665119543,1.1906568665115045,1.1906568665119845,0.0529502370796986,0.057308202162653615,0.057308202162700286,0.05730820216269991,0.05730820216270009,0.07518603432876796,-0.01787783216606758
1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.6624266876729268,2.7793997296023014,0.09517530602941142,0.13788311034262637,1.066155437275795,0.017232987450809593,1.340446710022779,4.740325965528218,2.695214413746052,2.89351749566175,0.076747521969629,0.3256362984922905,0.017803328482228813,3.185095487762561,0.8294643995272212,0.8294643995269994,2.3556310882355493,2.355631088235551,1.4146498699553527,1.4146498699553596,0.06513300886114395,0.8758482094190507,0.8758482094190503,0.8758482094190514,0.8758482094190493,0.02942745907642857,0.03570554978471526,0.03570554978471516,0.035705549784715115,0.035705549784715074,0.054111545796972735,-0.01840599601225756
1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.1239178308343552,1.8124904314966952,0.08508516131421,0.027438998699141067,0.4261283642698956,0.013320033248366291,0.12404366650780567,2.995827150194976,1.3283122492793207,1.4174060231604841,0.06564854464244904,0.11333628004686604,0.01216770918897097,3.647475404771425,0.808847061291355,0.8088470612913594,2.8386283434800657,2.8386283434800665,2.48051289975381,2.48051289975381,0.016433270777649958,0.3416821729486068,0.34168217294860714,0.34168217294860675,0.3416821729486067,0.0067928773455192566,0.009640393432130717,0.009640393432130728,0.009640393432130736,0.009640393432130766,0.02867435780381106,-0.019033964371680364
1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.6972308594446501,2.817513574329058,0.09732964155445098,0.17115669232903588,1.0974994551243487,0.01807825497806628,1.1338956306148262,4.809226907162251,2.7560759608551932,2.961872087028259,0.07913037376448377,0.3367881724014462,0.019020626191370432,3.168413706405104,0.8299849134427749,0.8299849134425511,2.338428792962524,2.338428792962517,1.3676123377748168,1.3676123377748093,0.07628225002111387,0.8945342051665887,0.8945342051665895,0.8945342051665895,0.8945342051665932,0.03507172074004899,0.04121052928106568,0.04121052928106591,0.04121052928106591,0.04121052928106605,0.05948260347284605,-0.018272074191780147
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.3730144090928337,2.954093866477043,0.09062882620738323,0.07996742836566186,1.438279196317842,0.015460480115519332,0.6251075796646078,5.056184450511794,3.3956073556916286,3.2136352637814207,0.0717338927923205,0.46164906868256,0.01525061013036122,3.109505288297241,0.8317388100385297,0.8317388100878095,2.27776647821418,2.2777664782144575,1.1633012317064566,1.1633012317063542,0.04241608727592513,1.072049159232001,1.0720491592319914,1.0720491592319727,1.0720491592318404,0.018397303928670138,0.024018783347247476,0.024018783347244686,0.024018783347244783,0.024018783347244603,0.04270758503305651,-0.018688801685811825
