e_v2,e_v3,e_v13,e_v4,e_v5,e_v6,e_v7,e_v8,e_v9,e_v10,e_v11,e_v12,e_v14,e_v15,e_v16,e_v17,e_v18,e_v19,e_v21,e_v1,e_v20,e_v22,A,J,P,Q,D,B,O,F,H,M,E,R,I,C,N,G,L,v_v2,v_v3,v_v13,v_v4,v_v5,v_v6,v_v7,v_v8,v_v9,v_v10,v_v11,v_v12,v_v14,v_v15,v_v16,v_v17,v_v18,v_v19,v_v21
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.7031845545428703,2.8238978649718383,0.09571445836710794,0.14582349532781605,1.1027973646311309,0.01744420352289328,1.1431679951507931,4.820768865930119,2.766324375056621,2.9734023327925887,0.07734343301161635,0.3386790212995641,0.018107508803329436,3.165629888853201,0.8300707151527563,0.8300707151527564,2.335559173700444,2.3355591737004446,1.3700101870757377,1.3700101870757377,0.06790180383443387,0.8976471827902723,0.8976471827902733,0.8976471827902716,0.8976471827902723,0.030816589497594485,0.03708521433683943,0.03708521433683941,0.03708521433683945,0.03708521433683936,0.055457689444636235,-0.018372475107796823
0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.1035025973136309,0.19334647888138395,0.08451850490692,0.02299620267892489,0.38824479144716945,0.013102533416940036,0.18616595703899114,0.21390852115990244,1.2359747706881241,0.3456064470227626,0.06502825781643844,0.10188614548464915,0.01185441647908873,1.3915624658717607,0.43060594730799917,0.4306059473079992,0.9609565185637613,0.9609565185637615,0.6517080641167271,0.6517080641167274,0.01389253283308985,0.295355921613944,0.2953559216139442,0.29535592161394414,0.2953559216139441,0.005729876268172233,0.008162656564917634,0.008162656564917622,0.008162656564917655,0.008162656564917674,0.027231922785650155,-0.019069266220732517
1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.7567314577123171,3.108797818817632,0.09639347437884484,0.15618429615291587,1.1496593485114812,0.01771051963106326,1.2264914797425643,0.6820929919694574,2.8565052847935752,3.207257387436933,0.07809434100252549,0.355477406889105,0.018491039595483382,3.044379376380171,0.6580759141562185,0.6580759141562164,2.386303462223963,2.3863034622239527,1.3902609160703694,1.3902609160703674,0.07140957852912813,0.9246329676244495,0.9246329676244509,0.924632967624446,0.924632967624448,0.032588665337244055,0.03882091319188433,0.03882091319188446,0.03882091319188452,0.03882091319188436,0.05715117645866924,-0.018330263266784743
1.0,1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.891732172708826,3.8470522655500323,0.09797543169369466,0.18197123341145618,1.262232731500762,0.01833230729673814,1.4360908097881637,17.700237142449865,3.0699119500326137,3.794570746426214,0.07984555780493399,0.3963505867529525,0.019386494009856963,2.7551248146921714,0.25707883234350865,0.2570788323406886,2.4980459823496166,2.498045982349562,1.432665447904324,1.4326654479043068,0.07966713593704768,0.9857133985081691,0.9857133985081652,0.9857133985081605,0.9857133985081434,0.036810493743869875,0.042856642193176565,0.04285664219317717,0.04285664219317713,0.04285664219317679,0.06108858218727234,-0.018231939994095513
1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.279967889967505,4.540139482205727,0.0887997229626842,0.0606820620805645,0.6596978804885708,0.014751720068794683,0.4765702659259591,7.927661748221691,1.8618282096278556,1.108590747077215,0.06972266002414847,0.18701445719567208,0.014229822717830104,2.5121826221244725,0.8443238943122425,0.8443238943122422,1.6678587278122363,1.6678587278122354,1.0539340086298663,1.0539340086298654,0.033622935256481974,0.5803017839258885,0.580301783925888,0.5803017839258885,0.5803017839258882,0.014332546200765964,0.019290389055715958,0.019290389055715965,0.01929038905571598,0.01929038905571591,0.03809303539193384,-0.018802646336217897
1.0,1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.252369986469571,4.771702521173064,0.08820923508315019,0.05488919391072698,0.6232897817542827,0.01452344373022142,0.4320995865916628,8.347232600410793,1.782043607859293,7.731899795635391,0.06907408999542637,0.17520656236777285,0.013901040714081873,2.4364474247794896,0.8454561396941352,0.8454561396941067,1.5909912850853802,1.590991285085379,1.0126973212070551,1.0126973212070562,0.030829574496330746,0.5474643893819933,0.5474643893819929,0.5474643893819937,0.5474643893819933,0.01306893700589215,0.017760637490438613,0.01776063749043862,0.01776063749043862,0.01776063749043855,0.03660004460370206,-0.018839407113263457
1.0,1.0,1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.8749882809704497,2.9935768017789033,0.09778842817398015,0.17879763818775324,1.248661334782768,0.018258708658380966,0.6942770257186325,5.127589623171526,3.0444124382557205,3.2884296656588528,0.07963841735462981,0.39138528997510497,0.019280502574439463,3.0927250031861275,0.8322157230224804,0.8322157230224803,2.2605092801636477,2.2605092801636477,1.2032118776895313,1.2032118776895315,0.07868503634729294,0.9786123661268229,0.9786123661268228,0.9786123661268221,0.9786123661268228,0.03630487139328582,0.0423801649540071,0.04238016495400709,0.04238016495400712,0.042380164954006955,0.060623726232919777,-0.018243561278912662
1.0,1.0,1.0,1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,2.107831572146228,3.7943702087193207,0.10744553980570318,0.3988898246590003,2.0754160581843215,0.022093413428801233,4.1196332863369625,6.576847971161455,4.513681067244295,5.013810926767782,0.09038028709219907,0.7099963311763406,0.024803156255124463,2.7746637821577176,0.8397287055172373,0.8397287055172372,1.9349350766404814,1.934935076640482,0.4863432259605091,0.4863432259605085,0.13098955212771649,1.317602298552257,1.3176022985522564,1.3176022985522564,1.3176022985522566,0.064207288006607,0.06678226412110946,0.06678226412110948,0.06678226412110946,0.06678226412110924,0.08442622281184778,-0.017643958690738263
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.7153864259086719,2.836863671431231,0.0923663353464581,0.10030983122157612,1.1135990061028511,0.016136055517159503,1.1621661949577176,4.844209903468593,2.7871853957557864,2.9968903416295762,0.07364750348351397,0.34253941885207373,0.01622357300539955,3.1599854639414726,0.8302437688960006,0.8302437688960007,2.329741695045472,2.3297416950454726,1.374828936420427,1.374828936420427,0.05095845222632287,0.903954306398722,0.9039543063987229,0.903954306398722,0.9039543063987223,0.02246226111895595,0.028496191107366908,0.028496191107366915,0.028496191107366897,0.028496191107366935,0.047076885457087346,-0.018580694349720452
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,1.4486340063313576,2.852657037784421,0.10310804388807768,0.28420059279406246,0.780171688765602,0.020362486094251425,2.2966653595902806,4.872763926989721,2.1188462766465905,3.025629993086916,0.08554428496381568,0.22685283909411913,0.022310241224897547,3.153126734718763,0.8304524158644689,0.8304524158644675,2.322674318854294,2.3226743188542947,1.5353458605060395,1.5353458605060364,0.10715865021883496,0.6801698081294228,0.6801698081294226,0.6801698081294221,0.680169808129423,0.0512854116893702,0.05587323852946458,0.05587323852946457,0.055873238529464624,0.05587323852946467,0.07378637379571731,-0.017913135266252742
