e_vGLK,e_vPGI,e_vGLYCO,e_vTreha,e_vPFK,e_vALD,e_vGAPDH,e_vPGK,e_vPGM,e_vENO,e_vPYK,e_vPDC,e_vSUC,e_vGLT,e_vADH,e_vG3PDH,GLCo,ETOH,GLY,G6P,TRIO,ACE,P3G,PEP,GLCi,F6P,BPG,PYR,F16P,P2G,v_vGLK,v_vPGI,v_vGLYCO,v_vTreha,v_vPFK,v_vALD,v_vGAPDH,v_vPGK,v_vPGM,v_vENO,v_vPYK,v_vPDC,v_vSUC,v_vGLT,v_vADH,v_vG3PDH
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.24098182420308725,0.6939604133363395,0.14670406717159554,0.6559011422594064,0.7107185563223083,40.928145527646734,0.3691128225144718,0.6986934765313488,0.4243148239697815,0.5753831232579116,0.6151374177579534,2.2618134669649828,1.0448552547393468,0.10844182089138926,0.5542581956671007,1.0448552547393481,1.0448552547393468,1.7010926780103404,1.7010926780103413,1.7010926780103406,1.701092678010341,1.7010926780103395,1.7010926780103388,0.2493969141917124,2.261813466964913,1.2022988496269147,0.38861783146835016
0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.12212088698436611,0.3485831555989651,0.10999604794475064,0.3474096245622643,0.41485829023850995,71.04920881908774,0.17630030952563736,0.3586690364126313,0.27901185470756185,0.2730581658032084,0.33843226066818294,1.3791618239548231,0.7624513446837526,0.05495439914296475,0.28087804006404204,0.7624513446837532,0.762451344683753,1.3296961222320856,1.329696122232086,1.3296961222320853,1.3296961222320853,1.3296961222320856,1.329696122232085,0.18699328150607608,1.379161823954718,0.9557095592199324,0.19520656713542045
1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.2845003758570871,0.2542348191282613,0.0932367121644351,0.25605918616821505,0.3153501766633321,45.76341072994758,0.12898512711194712,0.2625558622001624,0.22303192137843925,0.1972117986314693,0.25166109831191863,2.0829052755419375,0.6461783774636477,0.1280251691356892,0.6543508644713003,0.6461783774636477,0.6461783774636477,1.1499852562154687,1.149985256215469,1.1499852562154695,1.1499852562154687,1.1499852562154687,1.149985256215469,0.15850241067953968,2.0829052755419375,0.8329804348563897,0.14237149871182633
1.0,1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.24802811652848153,0.712421293361039,0.1480702105150146,0.671361542732923,0.7242870285095399,41.7239378373896,0.38055564023633215,0.7163595248477712,0.4304018428284288,0.5927774260971709,0.6284317317400768,2.2310788894548583,1.0566657576924716,0.03348379573134501,0.5704646680155074,1.056665757692472,1.056665757692473,1.7143755911027612,1.7143755911027614,1.7143755911027607,1.7143755911027614,1.7143755911027605,1.7143755911027598,0.2517193578755248,2.23107888945482,1.210936875351711,0.39895592428218185
1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.35275745086440935,0.9617755674223666,0.16340943001963978,0.8719297029719213,0.8922154273971187,53.032767225898574,0.5487081244697469,0.9505899193025865,0.5025357451376389,0.8411153881195065,0.7968620773061169,1.8453810105303459,1.1998348754484776,0.1587408528889842,0.24340264109644244,1.1998348754484773,1.1998348754484771,1.8610754331404291,1.86107543314043,1.8610754331404287,1.861075433140429,1.8610754331404296,1.8610754331404293,0.2777960310333876,1.8453810105303468,1.305483371073654,0.5385943177565253
1.0,1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.2723109588236655,0.34211945930569804,0.10899137945832107,0.34125062445415627,0.40835536722297866,44.42728657862249,0.5694864698279669,0.3521260707519252,0.2754879526958162,0.26778314189442176,0.3326573588939573,2.130520472427956,0.7553501303684454,0.12253993147064948,0.6263152052944306,0.7553501303684452,0.7553501303684456,1.3191133635257002,1.3191133635257002,1.3191133635257004,1.3191133635257,1.3191133635257,1.3191133635257,0.18528534507914582,2.1305204724279556,0.9485426733674084,0.19158689721119093
1.0,1.0,1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.2718796391037252,0.34565400075168007,0.10954299869027763,0.3446203952243844,0.41191680014686993,44.379764481905475,0.566435809152903,0.3557047565016104,0.277420025024331,1.2264296989062322,0.3358183143082591,2.1322387052521066,0.7592465277782936,0.12234583759667635,0.625323169938568,0.7592465277782936,0.7592465277782938,1.3249268151356464,1.3249268151356468,1.3249268151356461,1.3249268151356466,1.3249268151356468,1.3249268151356466,0.18622309777347196,2.1322387052521057,0.9524806195887027,0.19356624042094087
1.0,1.0,1.0,1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.2549575258637016,1.2729471689225942,0.09006598670464341,0.2412118751732491,0.298520219692476,42.50137001127473,0.45342399743977146,0.2471134008498498,0.21308583435188252,0.8367960736055706,0.23733197400697187,2.201561320657725,0.914025815050414,0.11473088663866571,0.5864023094865136,0.9140258150505867,0.9140258150506153,1.1152012155034616,1.1152012155032767,1.115201215503276,1.1152012155032724,1.1152012155032593,1.115201215503257,0.1531121773978938,2.201561320661414,0.8089768607075242,0.7128504145966528
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.25288608858117806,1.1751324513415096,0.09861479267202082,0.2828935164630888,0.34528509099535387,42.26949148671399,0.44043837659275037,1.9074750136523346,0.24036009926026336,0.7948979182723702,0.27739957256965153,2.210313517743474,0.9332387704085232,0.11379873986153013,0.5816380037367095,0.9332387704085231,0.9332387704085229,1.2084033680658006,1.2084033680658008,1.2084033680658008,1.2084033680658004,1.2084033680658006,1.2084033680658008,0.1676451475424354,2.2103135177434714,0.87311307298093,0.6580741727512455
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.25073425098981733,1.0782564569823887,0.10743760690278113,2.4512660372851562,0.3984408132669249,42.028143720389764,0.42713369189112527,1.6227418609585775,0.2700815529800997,0.7525866277035884,0.3238802810846907,2.2194697192246866,0.953261751726249,0.1128304129454178,0.5766887772765799,0.9532617517262474,0.9532617517262453,1.3026998875423708,1.3026998875423654,1.302699887542359,1.3026998875423668,1.302699887542367,1.3026998875423668,0.18264393173472793,2.219469719224885,0.9374120240729088,0.6038236159101378
