e_vGLK,e_vPGI,e_vGLYCO,e_vTreha,e_vPFK,e_vALD,e_vGAPDH,e_vPGK,e_vPGM,e_vENO,e_vPYK,e_vPDC,e_vSUC,e_vGLT,e_vADH,e_vG3PDH,e_vATP,e_vAK,CO2,GLCo,ETOH,GLY,ADP,G6P,NAD,TRIO,ACE,P2G,F6P,BPG,GLCi,PYR,PEP,F16P,P3G,AMP,NADH,ATP,v_vGLK,v_vPGI,v_vGLYCO,v_vTreha,v_vPFK,v_vALD,v_vGAPDH,v_vPGK,v_vPGM,v_vENO,v_vPYK,v_vPDC,v_vSUC,v_vGLT,v_vADH,v_vG3PDH,v_vATP,v_vAK
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,1.2921003878620843,1.0332456136818133,1.5455597670249495,0.7775235367088309,0.1701144516135019,0.044843711119032355,0.11281281458550198,0.00032957388691956123,0.09875869199169002,8.523152463551886,0.07361684247063688,0.6019076395836986,0.35648403785929905,0.2995089871836464,0.0444402329750504,2.508390624954269,88.14952688218202,77.34952688218202,6.0,2.4,77.349526882182,77.34952688218205,136.4968074417193,136.4968074417194,136.49680744171934,136.4968074417193,136.49680744171934,136.49680744171934,3.6404492645289404,88.149526882182,129.2159089126621,18.20224632264471,84.53276406095888,0.0
1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,1.1871923539170393,1.2468273051412226,1.5459134754957993,0.8378246399560456,0.17411879859543855,0.05228867452101863,0.14378198598197203,0.00042848626588289513,0.04764923018877685,9.631865117902501,0.08993754316062443,0.6965440601737206,0.41071383814388385,0.23703081307682927,0.044086524504200586,2.675776833006131,91.56983566575005,80.76983566575002,6.0,2.4,80.76983566575002,80.76983566575001,142.9089598817881,142.908959881788,142.90895988178812,142.9089598817881,142.90895988178806,142.90895988178812,3.7261422899423846,91.56983566575002,135.4566753019038,18.630711449711956,90.17367927230663,-2.220446049250313e-16
1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,1.300002215729043,2.2386756623759565,1.5455325758650258,0.7731297333832565,0.1698057383077796,0.044340136304021206,0.11074810721476473,0.0003232018252270167,0.1029313082405347,8.447389032680528,0.0725471552085049,0.595271110474771,0.35278329775184303,0.3047846183171642,0.044467424134974065,2.4952131659537926,87.88124144482678,77.08124144482679,6.0,2.4,77.08124144482683,77.0812414448268,135.99326889072117,135.99326889072114,135.99326889072114,135.99326889072123,135.9932688907212,135.9932688907212,3.633842799786483,87.8812414448268,128.7255832911473,18.1692139989324,84.08868369264282,-1.1102230246251565e-16
1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,1.2903693865982544,0.7708424675257287,1.5455657043603612,0.7784879299525328,0.17018189538167858,0.04495492894644126,0.11326963280814434,0.00033098708958603063,0.09785142189295008,8.539872201159374,0.07385372099104345,0.6033690956701947,0.35730076301595665,0.2983650698173574,0.04443429563963863,2.511265543584388,88.20807233757239,77.40807233757235,6.0,2.4,77.40807233757069,77.40807233757235,136.6066818693052,136.6066818693051,136.60668186930525,136.60668186930516,136.60668186930513,136.60668186930516,3.6418925611679214,88.20807233757237,129.32289674696955,18.209462805839603,84.62964881879388,0.0
1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,1.0599558774257472,1.4196830578767048,1.5461761560349463,0.8635084360199994,0.17541180511468402,0.05672679328543704,0.17357523922654375,0.0005353786082749845,0.08681438715729917,9.746892732148991,0.10400476109764979,0.7342567774345214,0.4400665391396796,0.1765604284671411,0.043823843965053566,2.8634836941071113,88.92638865188451,81.1263886518845,3.0,2.4,81.12638865188453,81.1263886518845,143.48371415649774,143.4837141564978,143.48371415649785,143.4837141564978,143.48371415649777,143.4837141564978,3.7538126294542375,88.9263886518845,135.97608889759036,18.76906314727121,96.49940049140966,-1.1102230246251565e-16
1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,1.4977427090673592,0.7882685122766894,1.5450362432799898,0.7072601132494583,0.16500397808603703,0.036885893620561,0.07562776792370493,0.00021588338544762466,0.1172588464107846,7.483542451294904,0.05545661126749853,0.5016450145004737,0.29868304859216643,0.4743996681714586,0.04496375672001007,2.127857622761182,86.97199686081507,73.17199686081344,9.0,2.4,73.17199686091773,73.17199686081446,128.68856806642268,128.68856806645897,128.68856806642265,128.6885680664227,128.68856806643043,128.68856806642256,3.531085131041192,86.97199686081426,121.62639780434102,17.655425655205985,71.70880188705183,-1.9095836023552692e-14
1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,1.1337015498828493,1.2916474557852982,1.5459833200182687,0.8387971807027311,0.17402889620451684,0.05295472826869771,0.15279620364215005,0.00046082646036689235,0.09002726568847023,9.458069680330215,0.09355158561557665,0.695808283226751,0.4141213525763101,0.20982445034522515,0.0440166799817312,2.756473999771925,88.71611554759356,80.31611554759358,6.0,1.2,80.31611554759355,80.3161155475936,142.01113920130382,142.01113920130393,142.01113920130388,142.01113920130388,142.01113920130382,142.01113920130385,3.72421837877666,88.71611554759359,134.56270244374986,18.6210918938833,92.89317379231387,1.1102230246251565e-16
1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,1.4377885505144006,0.8461272110160131,1.5451746562584598,0.7241379348794904,0.16627957007869026,0.03873117945176933,0.0845625554152679,0.00024298342396281958,0.11054675599487322,7.714041360331857,0.059740179682560464,0.524763750512818,0.312070870654516,0.41372560273915693,0.044825343741540014,2.2484858467464424,87.39566611546535,74.19566611546533,6.0,3.5999999999999996,74.19566611546533,74.19566611546533,130.5994182325108,130.59941823251083,130.5994182325109,130.59941823251083,130.59941823251086,130.59941823251083,3.5583827996839714,87.39566611546535,123.48265263314426,17.791913998419894,75.77397303535511,1.1102230246251565e-16
1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,1.3040048686039667,2.854103673116743,1.5455187436831745,0.7709090937889843,0.16964881410966298,0.04408757722395226,0.44566965133781267,0.000320022636488285,0.10506469058104136,8.40935464469719,0.0720124502266154,0.5919306937128274,0.3509255420104516,0.3074911329369355,0.04448125631682531,2.4885039984590978,87.74468472766335,76.94468472766333,6.0,2.4,76.94468472766333,76.94468472766334,135.73694634559268,135.73694634559268,135.73694634559274,135.73694634559268,135.73694634559266,135.73694634559274,3.6304846219467874,87.74468472766333,128.4759771016992,18.152423109733945,83.8625847480716,-1.1102230246251565e-16
1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,1.2908080689509545,0.8372865201909353,1.5455642003059535,0.7782434605263933,0.17016480940860682,0.04492671220438198,0.0771036444761921,0.00033062834967508253,0.09808112006207233,8.535630736339494,0.07379360176517236,0.6029984595227694,0.35709357479588855,0.29865457264840634,0.04443579969404632,2.5105373584006387,88.19324293846009,77.39324293846005,6.0,2.4,77.3932429384604,77.39324293846005,136.57885127019924,136.57885127019915,136.57885127019918,136.5788512701992,136.5788512701992,136.5788512701992,3.6415269213441857,88.19324293846007,129.295797427511,18.207634606720926,84.60510897810153,-2.220446049250313e-16
