vADH,gt,0.1x,0.2x,0.3x,0.4x,0.5x,1.01x,1.5x,3x,5x,7x,10x
1.0,vSUC,vPGM,vPDC,vGLK,vGLT,vGLT,vSUC,vGLT,vGLT,vGLT,vGLT,vALD
2.0,vPFK,vGLK,vGAPDH,vGLT,vGAPDH,vSUC,vGAPDH,vTreha,vTreha,vTreha,vALD,vPFK
3.0,vPDC,vGAPDH,vPFK,vGAPDH,vTreha,vPFK,vENO,vPFK,vPFK,vALD,vTreha,vGLT
4.0,vGLT,vTreha,vALD,vPGI,vPGI,vPDC,vPGK,vSUC,vALD,vPGI,vPGI,vPDC
5.0,vPGI,vSUC,vENO,vPYK,vPDC,vGAPDH,vPYK,vPGI,vGLK,vPFK,vPFK,vSUC
6.0,vTreha,vPFK,vGLK,vPDC,vPFK,vPGI,vPGM,vGAPDH,vPGK,vGLK,vPYK,vGAPDH
7.0,vGAPDH,vPGI,vSUC,vSUC,vSUC,vTreha,vPDC,vPGK,vPGI,vPGM,vPGK,vTreha
8.0,vGLK,vALD,vPYK,vALD,vPYK,vPYK,vPGI,vGLK,vPDC,vPGK,vPGM,vG3PDH
9.0,vG3PDH,vPYK,vPGI,vPFK,vG3PDH,vGLK,vPFK,vG3PDH,vPYK,vENO,vGLK,vPGI
10.0,vPGK,vENO,vPGK,vPGK,vGLK,vG3PDH,vALD,vPDC,vPGM,vPYK,vPDC,vPGM
11.0,vALD,vGLT,vGLT,vTreha,vALD,vENO,vTreha,vPGM,vGLYCO,vGLYCO,vENO,vPGK
12.0,vPGM,vGLYCO,vTreha,vG3PDH,vGLYCO,vPGM,vG3PDH,vPYK,vSUC,vGAPDH,vGLYCO,vGLK
13.0,vENO,vG3PDH,vPGM,vENO,vENO,vPGK,vGLK,vGLYCO,vGAPDH,vSUC,vG3PDH,vGLYCO
14.0,vPYK,vPDC,vGLYCO,vPGM,vPGK,vGLYCO,vGLT,vALD,vG3PDH,vG3PDH,vSUC,vPYK
15.0,vGLYCO,vPGK,vG3PDH,vGLYCO,vPGM,vALD,vGLYCO,vENO,vENO,vPDC,vGAPDH,vENO
,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH
