vADH,gt,0.1x,0.2x,0.3x,0.4x,0.5x,1.01x,1.5x,3x,5x,7x,10x
1.0,vSUC,vGLK,vPGM,vGLT,vGLT,vGLT,vSUC,vGLT,vGLT,vGLT,vGLT,vPGI
2.0,vGAPDH,vPDC,vGLK,vGLK,vPGI,vSUC,vPGK,vSUC,vTreha,vTreha,vPGI,vGLT
3.0,vPGI,vTreha,vTreha,vPGI,vSUC,vGAPDH,vPDC,vGAPDH,vPGI,vPGI,vTreha,vPGM
4.0,vGLT,vGLT,vENO,vGAPDH,vGAPDH,vPGI,vPYK,vPGI,vGLK,vGLK,vPYK,vGAPDH
5.0,vPGK,vENO,vALD,vPYK,vPDC,vPFK,vGAPDH,vTreha,vPYK,vALD,vPGK,vGLK
6.0,vPFK,vALD,vSUC,vPDC,vTreha,vTreha,vPGM,vPGK,vGAPDH,vPGM,vPDC,vTreha
7.0,vTreha,vPGK,vGLT,vSUC,vGLK,vG3PDH,vENO,vGLK,vPGM,vGAPDH,vGLK,vPGK
8.0,vALD,vPFK,vPGI,vPFK,vG3PDH,vPGK,vPGI,vPFK,vALD,vPYK,vALD,vENO
9.0,vPGM,vPGM,vG3PDH,vG3PDH,vPFK,vPYK,vPFK,vG3PDH,vPGK,vGLYCO,vENO,vPDC
10.0,vG3PDH,vG3PDH,vPDC,vPGK,vPGM,vPGM,vALD,vPGM,vENO,vG3PDH,vSUC,vG3PDH
11.0,vGLK,vPGI,vGLYCO,vTreha,vALD,vPDC,vG3PDH,vGLYCO,vGLYCO,vSUC,vPGM,vSUC
12.0,vPYK,vSUC,vGAPDH,vALD,vGLYCO,vGLK,vGLK,vALD,vSUC,vPFK,vGLYCO,vALD
13.0,vENO,vGLYCO,vPGK,vENO,vENO,vALD,vTreha,vPDC,vPFK,vPGK,vG3PDH,vGLYCO
14.0,vPDC,vGAPDH,vPFK,vPGM,vPYK,vGLYCO,vGLT,vPYK,vPDC,vENO,vGAPDH,vPYK
15.0,vGLYCO,vPYK,vPYK,vGLYCO,vPGK,vENO,vGLYCO,vENO,vG3PDH,vPDC,vPFK,vPFK
,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH
