vADH,gt,0.1x,0.2x,0.3x,0.4x,0.5x,1.01x,1.5x,3x,5x,7x,10x
1.0,vSUC,vGLT,vGLT,vGLT,vGLT,vALD,vENO,vALD,vENO,vALD,vALD,vALD
2.0,vPFK,vENO,vTreha,vALD,vTreha,vPDC,vPDC,vGLT,vALD,vPDC,vGLT,vGLT
3.0,vPDC,vTreha,vALD,vENO,vGLK,vPFK,vPYK,vENO,vPDC,vGLT,vPFK,vPFK
4.0,vGLT,vALD,vGLK,vPDC,vALD,vENO,vALD,vPGI,vPFK,vENO,vENO,vPGI
5.0,vPGI,vGLK,vPDC,vTreha,vPGI,vGLT,vPFK,vPFK,vPYK,vPFK,vTreha,vGLK
6.0,vTreha,vPDC,vPFK,vGLK,vPDC,vPGI,vPGM,vTreha,vSUC,vPGI,vPDC,vENO
7.0,vGAPDH,vPFK,vENO,vPYK,vPFK,vGLK,vGLT,vGLK,vPGI,vGLK,vGLK,vTreha
8.0,vGLK,vPGI,vSUC,vPFK,vSUC,vPYK,vGLK,vPDC,vPGM,vPYK,vPGI,vGAPDH
9.0,vG3PDH,vPYK,vPGI,vPGI,vGLYCO,vGAPDH,vPGI,vSUC,vGLT,vTreha,vPYK,vPDC
10.0,vPGK,vSUC,vGLYCO,vSUC,vENO,vSUC,vPGK,vPYK,vGAPDH,vGAPDH,vSUC,vSUC
11.0,vALD,vGAPDH,vPYK,vG3PDH,vG3PDH,vPGM,vGAPDH,vGAPDH,vGLK,vPGK,vG3PDH,vPGK
12.0,vPGM,vPGK,vGAPDH,vGAPDH,vPYK,vPGK,vG3PDH,vPGM,vPGK,vPGM,vGAPDH,vG3PDH
13.0,vENO,vPGM,vG3PDH,vPGM,vPGM,vTreha,vSUC,vPGK,vG3PDH,vSUC,vPGM,vPYK
14.0,vPYK,vG3PDH,vPGK,vPGK,vGAPDH,vG3PDH,vTreha,vG3PDH,vTreha,vG3PDH,vPGK,vPGM
15.0,vGLYCO,vGLYCO,vPGM,vGLYCO,vPGK,vGLYCO,vGLYCO,vGLYCO,vGLYCO,vGLYCO,vGLYCO,vGLYCO
,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH
