,r,p-value,lower,upper
0.1x,0.557142857142857,0.030961086755812082,0.08486949451784193,0.8250037957749565
0.2x,0.5607142857142856,0.02967649609447467,0.09002384493151173,0.8266555300994258
0.3x,0.6964285714285713,0.003921190506879554,0.30654318105640577,0.8861998874944095
0.4x,0.7107142857142856,0.002978994886802742,0.3319512307451145,0.8921230774090257
0.5x,0.8499999999999999,5.995888525311016e-05,0.6122712682646249,0.9467810500268267
1.01x,0.10357142857142855,0.7133796306287292,-0.4133642548208378,0.5700185760008034
1.5x,0.7499999999999999,0.001280898450935536,0.4047770164679996,0.9080965192825656
3x,0.6857142857142856,0.004772245222691258,0.2878449142684036,0.8817164076173409
5x,0.7964285714285713,0.00038046767853463354,0.49688640405098383,0.9263991533724151
7x,0.7999999999999999,0.00034226983303569167,0.5042627690704701,0.9277820616750736
10x,0.8642857142857141,3.243373143346797e-05,0.6448514035698243,0.9520882319404337
