vYAN,gt,0.1x,0.2x,0.3x,0.4x,0.5x,1.01x,1.5x,3x,5x,7x,10x
1.0,vWHI,vKIL,vSIE,vVIC,vPAP,vWHI,vWHI,vWHI,vVIC,vVIC,vLIM,vLIM
2.0,vOSC,vXRA,vTAN,vROM,vVIC,vLIM,vQUE,vLIM,vUNI,vWHI,vWHI,vNOV
3.0,vVIC,vNOV,vROM,vQUE,vWHI,vNOV,vROM,vOSC,vWHI,vLIM,vNOV,vXRA
4.0,vXRA,vROM,vOSC,vOSC,vLIM,vOSC,vOSC,vXRA,vLIM,vXRA,vXRA,vKIL
5.0,vLIM,vOSC,vLIM,vPAP,vUNI,vKIL,vLIM,vNOV,vXRA,vNOV,vKIL,vPAP
6.0,vNOV,vQUE,vUNI,vSIE,vXRA,vXRA,vPAP,vPAP,vOSC,vKIL,vQUE,vWHI
7.0,vQUE,vSIE,vXRA,vTAN,vOSC,vVIC,vTAN,vQUE,vNOV,vOSC,vROM,vOSC
8.0,vKIL,vVIC,vNOV,vZUL,vNOV,vUNI,vZUL,vZUL,vKIL,vZUL,vOSC,vQUE
9.0,vZUL,vUNI,vPAP,vUNI,vZUL,vQUE,vUNI,vSIE,vTAN,vQUE,vZUL,vZUL
10.0,vROM,vMIK,vKIL,vWHI,vTAN,vSIE,vKIL,vKIL,vZUL,vROM,vVIC,vROM
11.0,vPAP,vPAP,vQUE,vKIL,vROM,vZUL,vNOV,vVIC,vQUE,vTAN,vPAP,vTAN
12.0,vSIE,vLIM,vVIC,vNOV,vKIL,vPAP,vSIE,vROM,vPAP,vPAP,vUNI,vSIE
13.0,vTAN,vZUL,vZUL,vXRA,vQUE,vTAN,vXRA,vTAN,vROM,vSIE,vMIK,vUNI
14.0,vUNI,vTAN,vMIK,vMIK,vSIE,vROM,vVIC,vUNI,vSIE,vMIK,vTAN,vMIK
15.0,vMIK,vWHI,vWHI,vLIM,vMIK,vMIK,vMIK,vMIK,vMIK,vUNI,vSIE,vVIC
,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN
