vADH,gt,0.1x,0.2x,0.3x,0.4x,0.5x,1.01x,1.5x,3x,5x,7x,10x
1.0,vSUC,vALD,vENO,vPDC,vGLT,vGLT,vALD,vGLT,vALD,vGLT,vGLT,vALD
2.0,vGAPDH,vPFK,vPDC,vENO,vALD,vALD,vGLT,vTreha,vGLT,vTreha,vALD,vENO
3.0,vPGI,vGLT,vPYK,vALD,vPFK,vGLK,vPFK,vGLK,vPFK,vPDC,vTreha,vGLT
4.0,vGLT,vENO,vALD,vPYK,vGLK,vPFK,vPGI,vALD,vENO,vGLK,vGLK,vPFK
5.0,vPGK,vPGI,vPFK,vGLT,vTreha,vENO,vPDC,vENO,vPGI,vENO,vPFK,vPDC
6.0,vPFK,vPDC,vPGM,vPFK,vPGI,vPGI,vENO,vPFK,vGLK,vSUC,vSUC,vGLK
7.0,vTreha,vGLK,vGLT,vGLK,vPDC,vTreha,vGLK,vPGI,vTreha,vPYK,vPGI,vPGI
8.0,vALD,vSUC,vSUC,vG3PDH,vENO,vPDC,vTreha,vSUC,vPDC,vALD,vG3PDH,vPYK
9.0,vPGM,vG3PDH,vG3PDH,vPGI,vG3PDH,vPYK,vG3PDH,vPDC,vSUC,vPGI,vPDC,vG3PDH
10.0,vG3PDH,vPYK,vPGK,vPGM,vSUC,vSUC,vSUC,vG3PDH,vG3PDH,vPFK,vENO,vTreha
11.0,vGLK,vTreha,vPGI,vPGK,vPYK,vPGM,vPYK,vPYK,vPYK,vG3PDH,vGLYCO,vGAPDH
12.0,vPYK,vGAPDH,vGAPDH,vTreha,vGAPDH,vG3PDH,vGAPDH,vGLYCO,vGAPDH,vGLYCO,vPYK,vPGK
13.0,vENO,vPGK,vGLK,vSUC,vGLYCO,vGAPDH,vPGK,vPGK,vPGK,vPGM,vPGM,vPGM
14.0,vPDC,vPGM,vTreha,vGAPDH,vPGK,vPGK,vPGM,vPGM,vPGM,vGAPDH,vGAPDH,vSUC
15.0,vGLYCO,vGLYCO,vGLYCO,vGLYCO,vPGM,vGLYCO,vGLYCO,vGAPDH,vGLYCO,vPGK,vPGK,vGLYCO
,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH
