vADH,gt,0.1x,0.2x,0.3x,0.4x,0.5x,1.01x,1.5x,3x,5x,7x,10x
1.0,vPGI,vPGI,vPGI,vPGI,vPGI,vPGI,vSUC,vPGI,vPGI,vPGI,vPGI,vPGI
2.0,vSUC,vPFK,vSUC,vSUC,vSUC,vSUC,vPDC,vSUC,vSUC,vSUC,vSUC,vSUC
3.0,vGLT,vTreha,vTreha,vPFK,vPFK,vPFK,vPYK,vPFK,vGLT,vGLT,vGLT,vGLT
4.0,vPGM,vGLT,vGLT,vGLT,vTreha,vGLT,vENO,vGLT,vPFK,vTreha,vTreha,vTreha
5.0,vTreha,vGLK,vGLK,vTreha,vGLT,vTreha,vPGM,vTreha,vTreha,vPFK,vPFK,vPFK
6.0,vPDC,vGAPDH,vGAPDH,vGLK,vGLK,vGLK,vGAPDH,vGAPDH,vGAPDH,vGAPDH,vGAPDH,vGAPDH
7.0,vPFK,vPGK,vG3PDH,vGAPDH,vG3PDH,vGAPDH,vPGK,vGLK,vGLK,vGLK,vGLK,vPGM
8.0,vGLK,vPGM,vPGK,vG3PDH,vGAPDH,vG3PDH,vALD,vG3PDH,vG3PDH,vG3PDH,vPGM,vGLK
9.0,vENO,vPDC,vPGM,vPGK,vPGK,vPGK,vPFK,vALD,vALD,vPGK,vG3PDH,vENO
10.0,vPYK,vG3PDH,vPFK,vPGM,vPGM,vPGM,vPGI,vPGK,vPGK,vALD,vALD,vG3PDH
11.0,vGAPDH,vPYK,vGLYCO,vPYK,vGLYCO,vGLYCO,vTreha,vPGM,vPGM,vPGM,vPGK,vPYK
12.0,vG3PDH,vGLYCO,vPYK,vPDC,vENO,vENO,vGLT,vGLYCO,vPYK,vENO,vENO,vPDC
13.0,vPGK,vALD,vPDC,vENO,vPYK,vPYK,vG3PDH,vPDC,vENO,vPYK,vPDC,vPGK
14.0,vALD,vENO,vENO,vGLYCO,vALD,vALD,vGLK,vENO,vGLYCO,vPDC,vPYK,vALD
15.0,vGLYCO,vSUC,vALD,vALD,vPDC,vPDC,vGLYCO,vPYK,vPDC,vGLYCO,vGLYCO,vGLYCO
,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH
