,r,p-value,lower,upper
0.1x,0.5535714285714285,0.03228710377012365,0.07974029690134252,0.8233474722996503
0.2x,0.6214285714285712,0.013402006712181799,0.18168326057264012,0.8540509296864349
0.3x,0.7392857142857142,0.0016355111435407642,0.3844714098191137,0.9037852791914861
0.4x,0.8678571428571429,2.7518063955129248e-05,0.6531229747269248,0.9534068154563377
0.5x,0.9357142857142854,3.010645621400815e-07,0.8206617881255812,0.9778539085398382
1.01x,0.3178571428571428,0.24829056581701822,-0.2111212211937875,0.7028282578301045
1.5x,0.95,6.08625795805396e-08,0.8586477207458698,0.982858188745021
3x,0.982142857142857,8.15733350897873e-11,0.947949482663623,0.9939435304701254
5x,0.9607142857142855,1.3027489790343411e-08,0.8878112644654113,0.9865798912081933
7x,0.932142857142857,4.2412182315433434e-07,0.811321577773509,0.9765952639866577
10x,0.9428571428571427,1.4247676947645743e-07,0.8395284895145616,0.9803620863111928
