e_vGLK,e_vPGI,e_vGLYCO,e_vTreha,e_vPFK,e_vALD,e_vGAPDH,e_vPGK,e_vPGM,e_vENO,e_vPYK,e_vPDC,e_vSUC,e_vGLT,e_vADH,e_vG3PDH,GLCi,G6P,F6P,F16P,TRIO,BPG,P3G,P2G,PEP,PYR,ACE,GLCo,ETOH,GLY,v_vGLK,v_vPGI,v_vGLYCO,v_vTreha,v_vPFK,v_vALD,v_vGAPDH,v_vPGK,v_vPGM,v_vENO,v_vPYK,v_vPDC,v_vSUC,v_vGLT,v_vADH,v_vG3PDH
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.928145527646734,0.2409818242030872,0.3691128225144718,0.5753831232579116,0.6939604133363395,0.6986934765313488,0.6559011422594064,0.6151374177579534,0.7107185563223083,0.4243148239697815,0.1467040671715955,50.0,50.0,0.15,2.3421607232734525,0.8230441136443765,0.01,0.7545583048145381,0.8230441136443765,0.8230441136443765,1.646088227288753,1.646088227288753,1.646088227288753,1.646088227288753,1.646088227288753,1.646088227288753,0.01,2.3421607232734525,1.626088227288753,0.0
7.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.02140638881708,0.2995349266980082,0.4637511054378545,0.7173070245732077,0.8406368902008724,0.8377795491194117,0.7763133477357423,0.7174598676904573,0.8139224501497071,0.4696052550034134,0.1565938088547825,50.0,50.0,0.15,2.7402524864763875,0.8691753668249903,0.01,0.9305385598256988,0.8691753668249903,0.8691753668249903,1.7383507336499806,1.7383507336499806,1.7383507336499806,1.7383507336499806,1.7383507336499806,1.7383507336499806,0.01,2.7402524864763875,1.7183507336499806,0.0
1.0,7.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.7630616366993,0.2134500419395193,0.7248122613883298,1.088107188776205,1.1871493063253402,1.15611978937265,1.042023682006469,0.9345858307040594,1.0248019838469875,0.5558670181838652,0.1738461818378822,50.0,50.0,0.15,2.474423402957608,0.9475517119263969,0.01,0.7584358455156057,0.9475517119263969,0.9475517119263969,1.8951034238527937,1.8951034238527937,1.8951034238527937,1.8951034238527937,1.8951034238527937,1.8951034238527937,0.01,2.474423402957608,1.8751034238527937,0.0
1.0,1.0,7.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.35385497638674,0.1930606611690024,0.2910706155055816,0.4550098117610828,0.5621926978276692,0.5711587372680016,0.5427286205344615,0.5162822463861697,0.6081613993014687,0.3768587091640342,0.135625184323673,50.0,50.0,0.15,2.5816361089275204,0.770262465931317,0.01,0.9006868214981019,0.770262465931317,0.770262465931317,1.540524931862634,1.540524931862634,1.540524931862634,1.540524931862634,1.540524931862634,1.540524931862634,0.01,2.5816361089275204,1.520524931862634,0.0
1.0,1.0,1.0,7.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.032836621197525,0.0782445713163403,0.1080286832549165,0.1637788195930981,0.2117530199729359,0.2188996996798997,0.2139735945115212,0.2108854817048662,0.2671334950783549,0.194115361150053,0.0838380777264986,50.0,50.0,0.15,3.4348294808911994,0.5061468505326996,0.01,1.45934131517925,0.5061468505326996,0.5061468505326996,1.0122937010653992,1.0122937010653992,1.0122937010653992,1.0122937010653992,1.0122937010653992,1.0122937010653992,0.01,3.4348294808911994,0.9922937010653992,0.0
1.0,1.0,1.0,1.0,7.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,38.7445929632369,0.2219008627114104,0.2655682163983024,0.8994658414781012,1.0168738542064053,1.001335273738464,0.9143958470533786,0.8316494939289514,0.9260710925535296,0.5164308441466431,0.1661975988646064,50.0,50.0,0.15,2.4324035764693566,0.9131242493934023,0.01,0.7546396635379773,0.9131242493934023,0.9131242493934023,1.8262484987868046,1.8262484987868046,1.8262484987868046,1.8262484987868046,1.8262484987868046,1.8262484987868046,0.01,2.4324035764693566,1.8062484987868046,0.0
1.0,1.0,1.0,1.0,1.0,7.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,38.92652823222567,0.2234760909912007,0.2736498095775006,0.309915285437847,0.9869568354681408,0.9738239245964404,0.8914133066172284,0.812857659902094,0.9078148958794656,0.5089628984547996,0.1647053570396396,50.0,50.0,0.15,2.424716174259484,0.9063488265410508,0.01,0.7541836738592167,0.9063488265410508,0.9063488265410508,1.8126976530821015,1.8126976530821015,1.8126976530821015,1.8126976530821015,1.8126976530821015,1.8126976530821015,0.01,2.424716174259484,1.7926976530821015,0.0
1.0,1.0,1.0,1.0,1.0,1.0,7.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,39.95885938693869,0.23246503266283,0.3213391837663081,0.438452694801085,0.4218554344357954,1.3018262877726468,1.1597879435242653,1.0276088838563873,1.1123273010604688,0.5895910055870678,0.1800965021375915,50.0,50.0,0.15,2.3816820918795334,0.9753205474388504,0.01,0.6981807722203416,0.9753205474388504,0.9753205474388504,1.9506410948777009,1.9506410948777009,1.9506410948777009,1.9506410948777009,1.9506410948777009,1.9506410948777009,0.01,2.3816820918795334,1.9306410948777009,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.23033286558759,0.2348429862048271,0.3344171670879844,0.475127725473127,0.4925228517721346,0.3267714341331735,0.9900109075904372,0.8929167278354423,0.9850857908599416,0.540189997785727,0.1708511469660574,50.0,50.0,0.15,2.3705279853691716,0.9341299323377857,0.01,0.7131990265156931,0.9341299323377857,0.9341299323377857,1.8682598646755715,1.8682598646755715,1.8682598646755715,1.8682598646755715,1.8682598646755715,1.8682598646755715,0.01,2.3705279853691716,1.8482598646755715,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.47374313985316,0.2369800371213406,0.3463408817453463,0.5090983142322995,0.5594384546355838,0.4426221517552359,0.260061243898302,0.785717153622176,0.8813133185829355,0.498018305544057,0.1624920154812925,50.0,50.0,0.15,2.3605835225566274,0.896263453853312,0.01,0.7271600343516578,0.896263453853312,0.896263453853312,1.792526907706624,1.792526907706624,1.792526907706624,1.792526907706624,1.792526907706624,1.792526907706624,0.01,2.3605835225566274,1.772526907706624,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.5,1.0,1.0,1.0,1.0,1.0,1.0,40.665562843131255,0.238667391094876,0.3558714190126985,0.536615306967341,0.6146542812760962,0.5438993736122208,0.410812321752074,0.2538665854553706,0.8058211218680645,0.4661306635726007,0.1558569040035391,50.0,50.0,0.15,2.3527841920628076,0.8657690854414495,0.01,0.7385075533106792,0.8657690854414495,0.8657690854414495,1.731538170882899,1.731538170882899,1.731538170882899,1.731538170882899,1.731538170882899,1.731538170882899,0.01,2.3527841920628076,1.711538170882899,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.5,1.0,1.0,1.0,1.0,1.0,40.690323307581465,0.2388854057088342,0.3571103509588644,0.5402161670599221,0.6219461777142442,0.5576673798843071,0.4319025327854071,0.2839033165650499,0.1741890469825807,0.4620983239620519,0.1549973117485014,50.0,50.0,0.15,2.3517798302207686,0.8617894535820689,0.01,0.73999518831935,0.8617894535820689,0.8617894535820689,1.7235789071641379,1.7235789071641379,1.7235789071641379,1.7235789071641379,1.7235789071641379,1.7235789071641379,0.01,2.3517798302207686,1.7035789071641378,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.5,1.0,1.0,1.0,1.0,40.79095146680413,0.2397719183453471,0.3621661159074371,0.5549669853734546,0.651976473461067,0.6153520864102334,0.5217848277332597,0.4141949000425824,0.3813173237707971,0.0738325113223525,0.1514964464661291,50.0,50.0,0.15,2.347703643872708,0.8455116549183951,0.01,0.7460959944771566,0.8455116549183951,0.8455116549183951,1.6910233098367902,1.6910233098367902,1.6910233098367902,1.6910233098367902,1.6910233098367902,1.6910233098367902,0.01,2.347703643872708,1.6710233098367901,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.5,1.0,1.0,1.0,40.89553773961433,0.2406941272295722,0.3674561018773186,0.5704985002165691,0.6838714489456003,0.6783757339346249,0.6227473345242738,0.56476348483034,0.6270790298331531,0.3335873625826369,0.0486981636777914,50.0,50.0,0.15,2.3434766370286493,0.8284132538760195,0.01,0.7525316915763149,0.8284132538760195,0.8284132538760195,1.656826507752039,1.656826507752039,1.656826507752039,1.656826507752039,1.656826507752039,1.656826507752039,0.01,2.3434766370286493,1.636826507752039,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.5,1.0,1.0,132.0915685863131,0.4593715794396487,0.7154765335476401,1.0753117396513647,1.1759546958266347,1.14603315088721,1.0337893443935244,0.9280138122666944,1.0185597413654524,0.5534190823133508,0.1733823574088134,50.0,50.0,0.15,3.75497892162282,0.9454781004984276,0.01,1.3997504105621965,0.9454781004984276,0.9454781004984276,1.8909562009968552,1.8909562009968552,1.8909562009968552,1.8909562009968552,1.8909562009968552,1.8909562009968552,0.01,3.75497892162282,1.8709562009968552,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.5,1.0,40.88610160126533,0.2406108878419154,0.3669773343334637,0.569088733778575,0.680964797978098,0.6725564336332897,0.613305633890951,0.5505004770186319,0.6035224401477607,0.3082394233692995,0.0215459202140055,50.0,50.0,0.15,2.3438576152472734,0.8299635793919373,0.01,0.7519470179276682,0.8299635793919373,0.8299635793919373,1.6599271587838746,1.6599271587838746,1.6599271587838746,1.6599271587838746,1.6599271587838746,1.6599271587838746,0.01,2.3438576152472734,1.6399271587838746,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.5,39.34313166157404,0.2270932990195958,0.2925144785168543,0.3597830308985283,0.2759324516622233,0.2847696321726133,0.2773368504189432,0.2720868086710995,0.3391364457407881,0.236837395291302,0.0975360264882608,50.0,50.0,0.15,2.4072304921345333,0.5790235089378679,0.01,0.9091034915983328,0.5790235089378679,0.5790235089378679,1.1580470178757358,1.1580470178757358,1.1580470178757358,1.1580470178757358,1.1580470178757358,1.1580470178757358,0.01,2.4072304921345333,1.1380470178757358,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,125.45612579797064,0.4494047342705287,0.7000787198498957,1.0541386509742987,1.1573218089275816,1.1292174691098569,1.0200369689375184,0.9170171374384988,1.0080968110279946,0.5493026818830236,0.1725992139038611,375.0,50.0,0.15,3.693704730831604,0.9419728124969492,0.01,1.3708659591673276,0.9419728124969492,0.9419728124969492,1.8839456249938984,1.8839456249938984,1.8839456249938984,1.8839456249938984,1.8839456249938984,1.8839456249938984,0.01,3.693704730831604,1.8639456249938984,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.928145527646734,0.2409818242030872,0.3691128225144718,0.5753831232579116,0.6939604133363395,0.6986934765313488,0.6559011422594064,0.6151374177579534,0.7107185563223083,0.4243148239697815,0.1467040671715955,50.0,375.0,0.15,2.3421607232734525,0.8230441136443765,0.01,0.7545583048145381,0.8230441136443765,0.8230441136443765,1.646088227288753,1.646088227288753,1.646088227288753,1.646088227288753,1.646088227288753,1.646088227288753,0.01,2.3421607232734525,1.626088227288753,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.928145527646734,0.2409818242030872,0.3691128225144718,0.5753831232579116,0.6939604133363395,0.6986934765313488,0.6559011422594064,0.6151374177579534,0.7107185563223083,0.4243148239697815,0.1467040671715955,50.0,50.0,1.125,2.3421607232734525,0.8230441136443765,0.01,0.7545583048145381,0.8230441136443765,0.8230441136443765,1.646088227288753,1.646088227288753,1.646088227288753,1.646088227288753,1.646088227288753,1.646088227288753,0.01,2.3421607232734525,1.626088227288753,0.0
