e_vGLK,e_vPGI,e_vGLYCO,e_vTreha,e_vPFK,e_vALD,e_vGAPDH,e_vPGK,e_vPGM,e_vENO,e_vPYK,e_vPDC,e_vSUC,e_vGLT,e_vADH,e_vG3PDH,GLCi,G6P,F6P,F16P,TRIO,BPG,P3G,P2G,PEP,PYR,ACE,GLCo,ETOH,GLY,v_vGLK,v_vPGI,v_vGLYCO,v_vTreha,v_vPFK,v_vALD,v_vGAPDH,v_vPGK,v_vPGM,v_vENO,v_vPYK,v_vPDC,v_vSUC,v_vGLT,v_vADH,v_vG3PDH
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.92814553,0.240981824,0.369112823,0.575383123,0.693960413,0.698693477,0.655901142,0.615137418,0.710718556,0.424314824,0.146704067,50,50,0.15,2.2822357193861262,1.050295433212919,0.01,0.6109701430866037,1.050295433212919,1.050295433212919,1.2242054823006758,1.2242054823006758,1.2242054823006758,1.2242054823006758,1.2242054823006758,1.2242054823006758,0.01,2.2822357193861262,1.2042054823006758,0.8763853841251623
1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.24774066,0.263367125,0.405419604,0.630348868,0.751822582,0.753906183,0.704055518,0.656388985,0.752660443,0.442996835,0.150859673,50,50,0.15,2.432977810934971,1.086832109948809,0.01,0.6680728504930811,1.086832109948809,1.086832109948809,1.2504099551419658,1.2504099551419658,1.2504099551419658,1.2504099551419658,1.2504099551419658,1.2504099551419658,0.01,2.432977810934971,1.2304099551419658,0.9232542647556521
1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,39.8704248,0.231691652,0.463587225,0.717065001,0.840394136,0.837551688,0.776118439,0.717296413,0.813759742,0.469535599,0.15657907,50,50,0.15,2.324300591741242,1.1393605888584089,0.01,0.5874700014414166,1.1393605888584089,1.1393605888584089,1.2859329771486336,1.2859329771486336,1.2859329771486336,1.2859329771486336,1.2859329771486336,1.2859329771486336,0.01,2.324300591741242,1.2659329771486336,0.9927882005681841
1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.3900502,0.236244723,0.361413428,0.563642403,0.681419657,0.68666519,0.645345596,0.606032901,0.701397169,0.420108482,0.145753009,50,50,0.15,2.3035130807407924,1.0421072843470234,0.01,0.6257028981968846,1.0421072843470234,1.0421072843470234,1.2181608597807676,1.2181608597807676,1.2181608597807676,1.2181608597807676,1.2181608597807676,1.2181608597807676,0.01,2.3035130807407924,1.1981608597807676,0.8660537089132792
1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.33430109,0.201295997,0.304495532,0.475930741,0.585614832,0.594018609,0.563223615,0.53439395,0.627182466,0.385864063,0.137788326,50,50,0.15,2.4723697499370947,0.9757747188972224,0.01,0.7432975155199362,0.9757747188972224,0.9757747188972224,1.1668322455993982,1.1668322455993982,1.1668322455993982,1.1668322455993982,1.1668322455993982,1.1668322455993982,0.01,2.4723697499370947,1.1468322455993982,0.7847171921950467
1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.19926784,0.23457058,0.332908942,0.670099428,0.792824052,0.79275477,0.737653998,0.684905677,0.781385529,0.455570132,0.15359553,50,50,0.15,2.311117618837212,1.1116132740706126,0.01,0.5947521723832998,1.1116132740706126,1.1116132740706126,1.2674798571128154,1.2674798571128154,1.2674798571128154,1.2674798571128154,1.2674798571128154,1.2674798571128154,0.01,2.311117618837212,1.2474798571128154,0.9557466910284098
1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.2506283,0.235020996,0.335404167,0.477920415,0.785559996,0.785888384,0.731732141,0.679894892,0.776353524,0.453380156,0.153122444,50,50,0.15,2.3090672584876435,1.1072842411313764,0.01,0.5958915086781337,1.1072842411313764,1.1072842411313764,1.2645383457843162,1.2645383457843162,1.2645383457843162,1.2645383457843162,1.2645383457843162,1.2645383457843162,0.01,2.3090672584876435,1.2445383457843162,0.9500301364784365
1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.60206071,0.238108475,0.352703116,0.527431738,0.596126517,0.86075166,0.79592548,0.733872875,0.83022742,0.47655905,0.158058189,50,50,0.15,2.2950997563384603,1.0776967015963592,0.01,0.6037015273710507,1.0776967015963592,1.0776967015963592,1.2950192485459666,1.2950192485459666,1.2950192485459666,1.2950192485459666,1.2950192485459666,1.2950192485459666,0.01,2.2950997563384603,1.2750192485459666,0.8603741546467518
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.68491031,0.23883774,0.356839331,0.539428002,0.620348803,0.554643402,0.757906263,0.70199339,0.798497343,0.462978239,0.155185293,50,50,0.15,2.291822623393833,1.0707300165032883,0.01,0.6055463034452724,1.0707300165032883,1.0707300165032883,1.2773334143626065,1.2773334143626065,1.2773334143626065,1.2773334143626065,1.2773334143626065,1.2773334143626065,0.01,2.291822623393833,1.2573334143626065,0.86412661864397
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.76087663,0.239506884,0.360651611,0.550538689,0.642934337,0.597815709,0.494202386,0.673813907,0.770238046,0.450711506,0.152544007,50,50,0.15,2.288822989609839,1.0643449791505035,0.01,0.6072390052296679,1.0643449791505035,1.0643449791505035,1.260935995141379,1.260935995141379,1.260935995141379,1.260935995141379,1.260935995141379,1.260935995141379,0.01,2.288822989609839,1.240935995141379,0.867753963159628
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,40.82774371,0.240096245,0.364022948,0.560407354,0.663116584,0.637157302,0.556392959,0.46531729,0.746006224,0.440058969,0.150213447,50,50,0.15,2.2861867798727507,1.0587269858286332,0.01,0.6087298970220588,1.0587269858286332,1.0587269858286332,1.2463569690026979,1.2463569690026979,1.2463569690026979,1.2463569690026979,1.2463569690026979,1.2463569690026979,0.01,2.2861867798727507,1.2263569690026979,0.8710970026545686
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,40.82724901,0.240091883,0.363997952,0.560334035,0.662966221,0.636861513,0.555921199,0.464616936,0.462886148,0.440137285,0.150230709,50,50,0.15,2.2862062692707776,1.0587685420760624,0.01,0.6087188635973577,1.0587685420760624,1.0587685420760624,1.2464653345791534,1.2464653345791534,1.2464653345791534,1.2464653345791534,1.2464653345791534,1.2464653345791534,0.01,2.2862062692707776,1.2264653345791534,0.8710717495729714
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,40.86729496,0.240445008,0.366024011,0.566284028,0.675188944,0.661038149,0.594688669,0.52248562,0.557417691,0.258896142,0.148832439,50,50,0.15,2.2846293040280523,1.055404983972783,0.01,0.6096121600276347,1.055404983972783,1.055404983972783,1.2376685284955595,1.2376685284955595,1.2376685284955595,1.2376685284955595,1.2376685284955595,1.2376685284955595,0.01,2.2846293040280523,1.2176685284955595,0.8731414394500066
