vYAN,gt,0.1x,0.2x,0.3x,0.4x,0.5x,1.01x,1.5x,3x,5x,7x,10x
1.0,vLIM,vLIM,vLIM,vLIM,vLIM,vLIM,vWHI,vLIM,vLIM,vLIM,vLIM,vLIM
2.0,vWHI,vOSC,vWHI,vWHI,vWHI,vWHI,vQUE,vWHI,vWHI,vWHI,vWHI,vWHI
3.0,vXRA,vNOV,vNOV,vNOV,vOSC,vOSC,vLIM,vOSC,vXRA,vXRA,vXRA,vXRA
4.0,vSIE,vXRA,vXRA,vXRA,vNOV,vNOV,vVIC,vNOV,vNOV,vNOV,vNOV,vNOV
5.0,vNOV,vWHI,vKIL,vOSC,vXRA,vXRA,vTAN,vXRA,vOSC,vOSC,vOSC,vOSC
6.0,vVIC,vKIL,vOSC,vKIL,vKIL,vKIL,vOSC,vKIL,vQUE,vQUE,vKIL,vKIL
7.0,vOSC,vQUE,vZUL,vZUL,vZUL,vZUL,vPAP,vQUE,vKIL,vKIL,vQUE,vVIC
8.0,vKIL,vZUL,vQUE,vQUE,vQUE,vQUE,vUNI,vZUL,vZUL,vZUL,vZUL,vQUE
9.0,vTAN,vROM,vMIK,vROM,vROM,vROM,vNOV,vPAP,vPAP,vPAP,vSIE,vSIE
10.0,vUNI,vSIE,vROM,vSIE,vSIE,vSIE,vROM,vROM,vROM,vROM,vROM,vZUL
11.0,vQUE,vVIC,vPAP,vMIK,vMIK,vMIK,vXRA,vSIE,vSIE,vVIC,vUNI,vUNI
12.0,vZUL,vPAP,vVIC,vVIC,vUNI,vTAN,vSIE,vMIK,vVIC,vSIE,vVIC,vTAN
13.0,vROM,vMIK,vSIE,vPAP,vVIC,vUNI,vKIL,vTAN,vTAN,vUNI,vTAN,vROM
14.0,vPAP,vTAN,vUNI,vTAN,vTAN,vVIC,vZUL,vVIC,vUNI,vTAN,vPAP,vPAP
15.0,vMIK,vUNI,vTAN,vUNI,vPAP,vPAP,vMIK,vUNI,vMIK,vMIK,vMIK,vMIK
,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN
