v19,gt,0.1x-prior,0.2x-prior,0.3x-prior,0.4x-prior,0.5x-prior,1.5x-prior,3x-prior,5x-prior,7x-prior,10x-prior,0.1x-post,0.2x-post,0.3x-post,0.4x-post,0.5x-post,1.5x-post,3x-post,5x-post,7x-post,10x-post
1.0,v18,v18,v18,v18,v18,v18,v18,v18,v18,v18,v18,v18,v18,v18,v18,v18,v18,v18,v18,v18,v18
2.0,v1,v14,v14,v14,v14,v14,v14,v14,v14,v14,v14,v16,v16,v16,v16,v16,v16,v16,v16,v16,v16
3.0,v7,v15,v15,v15,v15,v15,v15,v15,v15,v15,v15,v8,v8,v8,v8,v8,v8,v8,v8,v8,v8
4.0,v14,v16,v16,v16,v16,v16,v16,v16,v16,v16,v16,v14,v14,v14,v14,v14,v14,v14,v14,v14,v14
5.0,v5,v17,v17,v17,v17,v17,v17,v17,v17,v17,v17,v4,v4,v4,v4,v4,v4,v4,v4,v4,v4
6.0,v4,v8,v8,v8,v8,v8,v8,v8,v8,v8,v8,v1,v1,v1,v1,v1,v1,v1,v1,v1,v1
7.0,v9,v4,v4,v4,v4,v4,v4,v4,v4,v4,v4,v13,v13,v13,v13,v13,v13,v13,v13,v13,v13
8.0,v3,v5,v5,v5,v5,v5,v5,v5,v5,v5,v5,v15,v15,v15,v15,v15,v15,v15,v15,v15,v15
9.0,v8,v13,v13,v13,v13,v13,v13,v13,v13,v13,v13,v17,v17,v17,v17,v17,v17,v17,v17,v17,v17
10.0,v10,v1,v1,v1,v1,v1,v1,v1,v1,v1,v1,v5,v5,v5,v5,v5,v5,v5,v5,v5,v5
11.0,v12,v7,v7,v7,v7,v7,v7,v7,v7,v7,v7,v3,v3,v3,v3,v3,v3,v3,v3,v3,v3
12.0,v13,v6,v6,v6,v6,v6,v6,v6,v6,v6,v6,v6,v6,v6,v6,v6,v6,v6,v6,v6,v6
13.0,v15,v12,v12,v12,v12,v12,v12,v12,v12,v12,v12,v9,v9,v9,v9,v9,v9,v9,v9,v9,v9
14.0,v6,v11,v11,v11,v11,v11,v11,v11,v11,v11,v11,v2,v2,v2,v2,v2,v2,v2,v2,v2,v2
15.0,v16,v10,v10,v10,v10,v10,v10,v10,v10,v10,v10,v7,v7,v7,v7,v7,v7,v7,v7,v7,v7
16.0,v11,v9,v9,v9,v9,v9,v9,v9,v9,v9,v9,v12,v12,v12,v12,v12,v12,v12,v12,v12,v12
17.0,v17,v3,v3,v3,v3,v3,v3,v3,v3,v3,v3,v11,v11,v11,v11,v11,v11,v11,v11,v11,v11
18.0,v2,v2,v2,v2,v2,v2,v2,v2,v2,v2,v2,v10,v10,v10,v10,v10,v10,v10,v10,v10,v10
,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19
