v19,gt,0.1x,0.2x,0.3x,0.4x,0.5x,1.01x,1.5x,3x,5x,7x,10x
1.0,v2,v8,v6,v2,v2,v2,v21,v2,v2,v7,v4,v16
2.0,v7,v21,v8,v4,v4,v4,v18,v13,v4,v5,v2,v2
3.0,v15,v14,v21,v13,v13,v13,v17,v7,v13,v4,v7,v4
4.0,v21,v15,v4,v5,v5,v5,v16,v3,v3,v13,v13,v21
5.0,v5,v7,v3,v3,v9,v7,v15,v9,v5,v3,v5,v13
6.0,v4,v5,v13,v6,v3,v12,v8,v5,v7,v9,v3,v3
7.0,v9,v6,v2,v9,v12,v11,v14,v4,v9,v2,v9,v15
8.0,v13,v4,v14,v8,v8,v15,v5,v10,v12,v12,v16,v12
9.0,v8,v10,v15,v21,v21,v9,v4,v21,v6,v6,v12,v7
10.0,v12,v2,v7,v15,v18,v10,v7,v15,v15,v16,v21,v9
11.0,v10,v12,v10,v14,v7,v8,v6,v8,v21,v15,v15,v5
12.0,v14,v13,v9,v11,v14,v18,v2,v14,v11,v10,v6,v6
13.0,v6,v11,v5,v7,v17,v14,v11,v16,v14,v11,v11,v17
14.0,v11,v3,v12,v17,v11,v3,v10,v11,v16,v21,v14,v11
15.0,v16,v9,v11,v18,v6,v6,v9,v18,v18,v14,v17,v10
16.0,v17,v18,v18,v16,v16,v17,v12,v17,v8,v17,v10,v8
17.0,v3,v17,v17,v10,v10,v16,v13,v12,v17,v18,v8,v14
18.0,v18,v16,v16,v12,v15,v21,v3,v6,v10,v8,v18,v18
,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19
