v19,gt,0.1x,0.2x,0.3x,0.4x,0.5x,1.01x,1.5x,3x,5x,7x,10x
1.0,v2,v6,v18,v10,v21,v15,v15,v21,v15,v17,v21,v12
2.0,v7,v8,v16,v12,v17,v21,v18,v17,v17,v16,v17,v15
3.0,v15,v7,v17,v9,v15,v17,v16,v18,v21,v8,v18,v11
4.0,v21,v14,v5,v21,v10,v18,v21,v2,v16,v18,v15,v9
5.0,v5,v16,v21,v5,v12,v2,v8,v4,v6,v15,v16,v21
6.0,v4,v18,v7,v4,v18,v4,v17,v7,v8,v14,v3,v8
7.0,v9,v17,v2,v6,v11,v5,v2,v5,v7,v5,v2,v2
8.0,v13,v5,v8,v16,v8,v8,v14,v9,v4,v4,v10,v16
9.0,v8,v15,v4,v11,v4,v14,v4,v16,v10,v21,v13,v10
10.0,v12,v10,v11,v18,v9,v16,v6,v15,v14,v2,v11,v17
11.0,v10,v21,v6,v17,v6,v3,v5,v3,v5,v6,v7,v14
12.0,v14,v4,v14,v7,v16,v6,v11,v13,v2,v13,v4,v5
13.0,v6,v2,v3,v8,v2,v7,v7,v11,v18,v3,v8,v4
14.0,v11,v12,v12,v2,v14,v12,v3,v6,v13,v12,v6,v3
15.0,v16,v9,v9,v14,v5,v11,v13,v12,v11,v10,v9,v13
16.0,v17,v3,v10,v3,v7,v9,v12,v14,v12,v7,v12,v6
17.0,v3,v11,v15,v15,v13,v10,v10,v10,v9,v11,v14,v7
18.0,v18,v13,v13,v13,v3,v13,v9,v8,v3,v9,v5,v18
,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19
