v_ACE_OUT,gt,0.1x-prior,0.2x-prior,0.3x-prior,0.4x-prior,0.5x-prior,1.5x-prior,3x-prior,5x-prior,7x-prior,10x-prior,0.1x-post,0.2x-post,0.3x-post,0.4x-post,0.5x-post,1.5x-post,3x-post,5x-post,7x-post,10x-post
1.0,vACS,vXCH_ACE2,vXCH_ACE1,vXCH_ACE1,vXCH_ACE2,vXCH_ACE2,vXCH_ACE2,vXCH_ACE2,vGLC_feed,vATP_MAINTENANCE,vXCH_ACE1,vGLT,vGLT,vGLT,vGLT,vGLT,vPFK,vACS,vACK,vACS,vXCH_ACE1
2.0,vGLT,vXCH_ACE1,vXCH_ACE2,vXCH_ACE2,vXCH_ACE1,vXCH_ACE1,vXCH_ACE1,vATP_MAINTENANCE,vPNT_req,vXCH_ACE2,vGLC_feed,vPGK,vPTA,vPTA,vADK,vACS,vATP_MAINTENANCE,vACK,vACEA,vACK,vGLC_feed
3.0,vACK,vATP_MAINTENANCE,vATP_MAINTENANCE,vATP_MAINTENANCE,vATP_syn,vATP_syn,vCYTBO,vXCH_ACE1,vATP_syn,vXCH_ACE1,vPTS_1,vACS,vACS,vXCH_ACE1,vPTA,vGLC_feed,vGLT,vXCH_ACE1,vACEB,vTPI,vPIT
4.0,vGLC_feed,vACN_1,vPTA,vPTA,vPGK,vPTA,vACK,vACK,vATP_MAINTENANCE,vACK,vPTS_0,vPTA,vXCH_ACE1,vACS,vACS,vXCH_ACE1,vATP_syn,vGLT,vXCH_ACE2,vXCH_ACE1,vACK
5.0,vATP_MAINTENANCE,vACN_2,vGLT,vXCH_P,vENO,vACN_1,vADK,vCYTBO,vLPD,vNDHII,vCYTBO,vGLC_feed,vPYK,vATP_MAINTENANCE,vATP_MAINTENANCE,vPTA,vXCH_ACE2,vPIT,vPTA,vPIT,vACS
6.0,vATP_syn,vGLT,vACN_1,vACN_1,vGPM,vACS,vATP_MAINTENANCE,vGLC_feed,vCYTBO,vPIT,vATP_syn,vXCH_P,vGLC_feed,vPYK,vGDH,vATP_MAINTENANCE,vPGI,vCYTBO,vATP_syn,vATP_MAINTENANCE,vXCH_P
7.0,vPTA,vPTA,vACN_2,vGLT,vGDH,vACN_2,vACS,vADK,vXCH_ACE2,vXCH_P,vLPD,vATP_syn,vPIT,vPFK,vCYTBO,vACK,vPDH,vATP_MAINTENANCE,vXCH_ACE1,vGDH,vLPD
8.0,vNADH_req,vXCH_P,vXCH_P,vACN_2,vFUMA,vGLT,vATP_syn,vACS,vXCH_ACE1,vADK,vPNT_req,vATP_MAINTENANCE,vATP_MAINTENANCE,vPGI,vPCK,vXCH_ACE2,vENO,vGDH,vATP_MAINTENANCE,vXCH_P,vACEA
9.0,vGROWTH,vGDH,vACS,vPIT,vSDH,vADK,vGLC_feed,vPIT,vNDHII,vACS,vATP_MAINTENANCE,vXCH_ACE1,vGDH,vRPI,vACK,vACN_1,vACS,vPFK,vGLT,vXCH_ACE2,vATP_syn
10.0,vNDHII,vFUMA,vSDH,vFUMA,vACN_1,vGDH,vGLT,vXCH_P,vACK,vZWF,vNDHII,vNADH_req,vPGK,vGDH,vPGK,vATP_syn,vXCH_ACE1,vGLC_feed,vXCH_P,vGLC_feed,vCYTBO
