vYAN,gt,0.1x-prior,0.2x-prior,0.3x-prior,0.4x-prior,0.5x-prior,1.5x-prior,3x-prior,5x-prior,7x-prior,10x-prior,0.1x-post,0.2x-post,0.3x-post,0.4x-post,0.5x-post,1.5x-post,3x-post,5x-post,7x-post,10x-post
1.0,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vROM,vROM,vROM,vROM,vROM,vROM,vROM,vROM,vROM,vROM
2.0,vOSC,vVIC,vVIC,vVIC,vVIC,vVIC,vVIC,vVIC,vVIC,vVIC,vVIC,vSIE,vSIE,vSIE,vSIE,vSIE,vSIE,vSIE,vSIE,vSIE,vSIE
3.0,vVIC,vUNI,vUNI,vUNI,vUNI,vUNI,vUNI,vUNI,vUNI,vUNI,vUNI,vTAN,vTAN,vTAN,vTAN,vTAN,vTAN,vTAN,vTAN,vTAN,vTAN
4.0,vALP,vTAN,vTAN,vTAN,vTAN,vTAN,vTAN,vTAN,vTAN,vTAN,vTAN,vUNI,vUNI,vUNI,vUNI,vUNI,vUNI,vUNI,vUNI,vUNI,vUNI
5.0,vLIM,vSIE,vSIE,vSIE,vSIE,vSIE,vSIE,vSIE,vSIE,vSIE,vSIE,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI
6.0,vNOV,vQUE,vQUE,vQUE,vQUE,vQUE,vQUE,vQUE,vQUE,vQUE,vQUE,vVIC,vVIC,vVIC,vVIC,vVIC,vVIC,vVIC,vVIC,vVIC,vVIC
7.0,vQUE,vROM,vROM,vROM,vROM,vROM,vROM,vROM,vROM,vROM,vROM,vQUE,vQUE,vQUE,vQUE,vQUE,vQUE,vQUE,vQUE,vQUE,vQUE
8.0,vKIL,vOSC,vOSC,vOSC,vOSC,vOSC,vOSC,vOSC,vOSC,vOSC,vOSC,vLIM,vLIM,vLIM,vLIM,vLIM,vLIM,vLIM,vLIM,vLIM,vLIM
9.0,vZUL,vLIM,vLIM,vLIM,vLIM,vLIM,vLIM,vLIM,vLIM,vLIM,vLIM,vKIL,vKIL,vKIL,vKIL,vKIL,vKIL,vKIL,vKIL,vKIL,vKIL
10.0,vROM,vPAP,vPAP,vPAP,vPAP,vPAP,vPAP,vPAP,vPAP,vPAP,vPAP,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV
11.0,vPAP,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV,vOSC,vOSC,vOSC,vOSC,vOSC,vOSC,vOSC,vOSC,vOSC,vOSC
12.0,vSIE,vKIL,vKIL,vKIL,vKIL,vKIL,vKIL,vKIL,vKIL,vKIL,vKIL,vPAP,vPAP,vPAP,vPAP,vPAP,vPAP,vPAP,vPAP,vPAP,vPAP
13.0,vTAN,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vALP,vALP,vALP,vALP,vALP,vALP,vALP,vALP,vALP,vALP
14.0,vUNI,vALP,vALP,vALP,vALP,vALP,vALP,vALP,vALP,vALP,vALP,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL
15.0,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK
,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN
