vYAN,gt,0.1x,0.2x,0.3x,0.4x,0.5x,1.01x,1.5x,3x,5x,7x,10x
1.0,vWHI,vOSC,vOSC,vOSC,vOSC,vOSC,vWHI,vOSC,vWHI,vWHI,vWHI,vWHI
2.0,vOSC,vWHI,vWHI,vWHI,vWHI,vWHI,vTAN,vWHI,vOSC,vXRA,vXRA,vXRA
3.0,vVIC,vZUL,vXRA,vXRA,vXRA,vXRA,vSIE,vLIM,vXRA,vOSC,vLIM,vLIM
4.0,vXRA,vNOV,vNOV,vNOV,vNOV,vNOV,vVIC,vXRA,vLIM,vLIM,vNOV,vNOV
5.0,vLIM,vXRA,vZUL,vZUL,vLIM,vLIM,vUNI,vQUE,vNOV,vNOV,vOSC,vOSC
6.0,vNOV,vKIL,vKIL,vKIL,vZUL,vZUL,vQUE,vNOV,vQUE,vQUE,vPAP,vPAP
7.0,vQUE,vQUE,vQUE,vLIM,vKIL,vQUE,vLIM,vPAP,vPAP,vPAP,vQUE,vQUE
8.0,vKIL,vLIM,vLIM,vQUE,vQUE,vKIL,vOSC,vZUL,vROM,vKIL,vKIL,vVIC
9.0,vZUL,vUNI,vUNI,vROM,vROM,vROM,vROM,vROM,vKIL,vZUL,vZUL,vKIL
10.0,vROM,vROM,vROM,vSIE,vSIE,vSIE,vNOV,vKIL,vZUL,vROM,vVIC,vZUL
11.0,vPAP,vSIE,vSIE,vVIC,vVIC,vVIC,vPAP,vSIE,vSIE,vVIC,vROM,vROM
12.0,vSIE,vTAN,vVIC,vTAN,vUNI,vUNI,vXRA,vTAN,vVIC,vSIE,vSIE,vSIE
13.0,vTAN,vMIK,vTAN,vPAP,vMIK,vTAN,vKIL,vVIC,vTAN,vUNI,vUNI,vUNI
14.0,vUNI,vVIC,vMIK,vMIK,vPAP,vMIK,vZUL,vUNI,vUNI,vTAN,vTAN,vTAN
15.0,vMIK,vPAP,vPAP,vUNI,vTAN,vPAP,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK
,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN
