,r,p-value,lower,upper
0.1x,-0.12142857142857141,0.6664011137233894,-0.6196557971014495,0.4217279191777603
0.2x,0.05357142857142857,0.8496099367776072,-0.4775458761847146,0.5738229388317798
0.3x,0.010714285714285713,0.9697698761545686,-0.6570659242939054,0.5993258493703968
0.4x,0.6857142857142856,0.004772245222691258,0.21079940711462453,0.9455609099307462
0.5x,0.6392857142857141,0.010288446619594207,0.11429731067480614,0.945733497302444
1.01x,0.2928571428571428,0.289471667212401,-0.42028985507246386,0.7709504430587464
1.5x,0.8714285714285712,2.3236477821632676e-05,0.5579710144927538,0.9853793913634595
3x,0.7214285714285712,0.002398868072673344,0.2702599016856254,0.9346672058707488
5x,0.8357142857142855,0.00010444687327713345,0.44756812676958,1.0
7x,0.4678571428571427,0.0786302311543806,-0.1579619669611986,0.8804401879078546
10x,-0.19999999999999998,0.4748139645221684,-0.69211301121239,0.440595792260706
