e_vKIL,e_vLIM,e_vMIK,e_vNOV,e_vOSC,e_vPAP,e_vQUE,e_vROM,e_vSIE,e_vTAN,e_vUNI,e_vVIC,e_vWHI,e_vALP,e_vYAN,e_vZUL,Ao__,L__,Z__,B__,E__,K__,G__,I__,Ai__,C__,F__,J__,D__,H__,v_vKIL,v_vLIM,v_vMIK,v_vNOV,v_vOSC,v_vPAP,v_vQUE,v_vROM,v_vSIE,v_vTAN,v_vUNI,v_vVIC,v_vWHI,v_vALP,v_vYAN,v_vZUL
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.3142597089908176,0.1126668724079814,0.05484248506948794,0.11414554078877549,0.14628244481602734,48.973830827344486,0.9142498574372078,0.11650330607404588,0.11493781868860999,0.08698522303093918,0.1124828517363654,1.9737253335023028,0.38671380309867426,0.14141686904586792,0.7227973306788805,0.3867138030986746,0.3867138030986743,0.7103341576488789,0.7103341576488789,0.7103341576488789,0.7103341576488791,0.710334157648879,0.7103341576488788,0.0932322246181295,1.9737253335023028,0.5238697084126199,0.06309344854846959
0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.12642680676320744,0.08836040728377183,0.04557594017257845,0.08947251210462574,0.11508247100346845,93.46238421185974,0.3445739560432692,0.0913384150473605,0.09254472380081837,0.0682826349350389,0.08795507926109085,0.9620492275312892,0.3235938533770916,0.05689206304344335,0.2907816555553771,0.32359385337709173,0.3235938533770918,0.5977058786752713,0.5977058786752711,0.5977058786752713,0.5977058786752711,0.5977058786752715,0.5977058786752713,0.07747909829338336,0.9620492275312894,0.44274768208850457,0.04948182807891223
1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.3218877674984177,0.08766985042201263,0.04529642861698279,0.08877139941259522,0.11418950003172224,49.78597832161593,0.33408209246057086,0.0906235569956548,0.09188960839451449,0.06775142075022536,0.08725812399583278,1.947213672839132,0.32168044697212217,0.14484949537428796,0.7403418652463606,0.3216804469721222,0.32168044697212234,0.5942657777079174,0.5942657777079174,0.5942657777079173,0.5942657777079173,0.5942657777079176,0.5942657777079176,0.07700392864887075,1.947213672839132,0.4402579204101759,0.04909511623632708
1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.32779881301784114,0.11388473998345962,0.055279306423276116,0.11538114893233042,0.14783257412509726,50.412521465895644,0.9549430667190654,0.11776421178264619,0.11602633754262055,0.08792283334246158,0.11371060380720802,1.9270524536447788,0.3896760205911047,0.029501893171605707,0.7539372699410346,0.38967602059110423,0.3896760205911045,0.7155765867914717,0.7155765867914715,0.7155765867914717,0.7155765867914715,0.7155765867914716,0.7155765867914715,0.0939748209195694,1.927052453644779,0.5276269449523326,0.0637754543907374
1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.5970010771596767,0.13239724976940054,0.06162830127918302,0.13414865900631165,0.1712197563763491,77.1798845436555,1.7552113627498598,0.13692856151453014,0.1321922913803143,0.10218656012427599,0.1323412151155137,1.2505192236342901,0.43262774792553266,0.2686504847218545,0.27462049549345124,0.43262774792553266,0.43262774792553266,0.791113035980201,0.7911130359802011,0.791113035980201,0.7911130359802013,0.7911130359802011,0.7911130359802009,0.10476811217461113,1.2505192236342897,0.5815768116309786,0.0741424598708643
1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.32623959347704046,0.07485637665381459,0.03993158146671684,0.07576354072135848,0.09756653933174446,50.24748379813294,1.0333372807126224,0.07736100709729604,0.07954008974151158,0.05789353456908289,0.07433350291661255,1.932338791234754,0.2848288441756995,0.14680781706466822,0.750351064997193,0.2848288441756997,0.2848288441756997,0.5277381174252632,0.527738117425263,0.5277381174252631,0.5277381174252631,0.5277381174252633,0.5277381174252633,0.06788368849341862,1.9323387912347538,0.3919707404384259,0.04191957092613617
1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.315320347220749,0.10898028377306818,0.053504984098333465,0.1104047153268829,0.14158188111759062,49.08700400202084,0.9243723000235142,0.11268639190817425,0.11162359296504068,0.47023710630112475,0.10876520214223687,1.9700049897413516,0.3776372362765676,0.14189415624933704,0.7252367986077226,0.37763723627656787,0.377637236276568,0.6942455136402178,0.6942455136402176,0.6942455136402179,0.694245513640218,0.6942455136402178,0.6942455136402178,0.09095847296716689,1.9700049897413503,0.5123285677058842,0.06102895891291819
1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.3005836232375674,0.6734920385662131,0.04840549962232578,0.09670693817480784,0.12427707902359489,47.507083173651225,0.7904768733741891,0.09871512617129774,0.09924286419130611,0.33376929428857455,0.09514749630864323,2.0227190265728634,0.5047717292231478,0.13526263045690531,0.6913423334464049,0.504771729223148,0.5047717292231478,0.6323879168492161,0.6323879168492159,0.6323879168492162,0.632387916849216,0.6323879168492162,0.6323879168492161,0.08228934935795382,2.022719026572863,0.4678092181333085,0.37715554159707937
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.30714730053025596,0.40355524937117654,0.05147752838691953,0.10485363838782381,0.13458622843053245,48.212786901392136,0.8483572900586976,0.854548991003685,0.10665309975407693,0.20923351604566115,0.10324718719463473,1.998964705811658,0.4478708381338652,0.13821628523861518,0.7064387912195886,0.44787083813386486,0.44787083813386525,0.6697507366198713,0.6697507366198716,0.6697507366198715,0.6697507366198714,0.6697507366198714,0.6697507366198716,0.0875117982577632,1.9989647058116582,0.49472714010434515,0.22599093964785888
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.31111622319172727,0.2412584408270053,0.053339927483742264,0.8933641098210863,0.14100654832643444,48.63793106774112,0.8847065577306865,0.4382467902116424,0.11121654279393257,0.1395238315820771,0.10831072554404422,1.984817390202372,0.4136804630841493,0.1400023004362773,0.7155673133409727,0.41368046308414924,0.4136804630841493,0.6922561993051755,0.6922561993051752,0.6922561993051755,0.6922561993051755,0.6922561993051756,0.6922561993051753,0.09067787672236184,1.9848173902023714,0.5109004458604518,0.13510472686312297
