e_v1,e_v2,e_v3,e_v4,e_v5,e_v6,e_v7,e_v8,e_v9,e_v10,e_v11,e_v12,e_v13,e_v14,e_v15,e_v16,e_v17,e_v18,e_v19,A,J,P,Q,D,B,O,F,H,M,E,R,I,C,N,G,L,v_v1,v_v2,v_v3,v_v4,v_v5,v_v6,v_v7,v_v8,v_v9,v_v10,v_v11,v_v12,v_v13,v_v14,v_v15,v_v16,v_v17,v_v18,v_v19
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.7031845545428707,2.8238978649718387,0.09571445836710794,0.1458234953278161,1.1027973646311313,0.01744420352289328,1.1431679951507936,4.820768865930121,2.7663243750566213,2.9734023327925887,0.07734343301161636,0.3386790212995642,0.01810750880332944,3.1656298888532004,0.8300707151527561,0.8300707151527563,2.335559173700444,2.335559173700444,1.370010187075739,1.370010187075738,0.06790180383443392,0.8976471827902726,0.8976471827902727,0.8976471827902722,0.8976471827902724,0.030816589497594492,0.03708521433683943,0.037085214336839444,0.03708521433683943,0.037085214336839464,0.055457689444636235,-0.018372475107796823
0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.15457780527876097,0.3452246163486428,0.08589558705707834,0.03406816129361164,0.4786799847337224,0.013631515053788876,0.272098043372435,0.4334863190608976,1.4533280327877827,0.5607357049636724,0.06653623392339819,0.12946506574279307,0.012616366437629917,1.812419684222555,0.5780617714230409,0.578061771423041,1.2343579127995146,1.2343579127995148,0.8123936891019212,0.812393689101921,0.02010504349776862,0.40185918019982503,0.40185918019982464,0.40185918019982525,0.4018591801998249,0.008353803891890338,0.011751239605878266,0.011751239605878283,0.011751239605878266,0.011751239605878242,0.030734722233955087,-0.018983482628076826
1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.7317375060253428,2.975211604854739,0.09608050761415346,0.15135804619647564,1.1279579391557362,0.01758772868385304,1.1876141801991815,1.230303250548899,2.814846909401888,3.0981676321094525,0.07774818169130458,0.34768197623049124,0.01831420436098243,3.10051651462209,0.73737711480989,0.7373771148098898,2.3631393998122,2.3631393998122,1.381092318214142,1.381092318214141,0.06978997733342673,0.9122571042646319,0.9122571042646321,0.9122571042646322,0.912257104264632,0.03176881013456347,0.03802116719886322,0.0380211671988632,0.0380211671988632,0.03802116719886328,0.056370885745717476,-0.018349718546854254
1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.8619646153334359,3.6819847968787034,0.09764127016741035,0.1763244740735927,1.2380332931350508,0.018200810227231384,1.3899243591120216,14.189798109071193,3.0244011075462116,3.6653370591451786,0.07947543731586056,0.3875039737791982,0.01919712143768131,2.81688649876848,0.3417478242884648,0.3417478242884646,2.475138674480015,2.475138674480015,1.4242223133471377,1.4242223133471377,0.07791329381690815,0.9730030673159692,0.973003067315968,0.973003067315969,0.9730030673159688,0.03590819194315631,0.042005101873751866,0.042005101873751845,0.04200510187375184,0.04200510187375179,0.06025780853701006,-0.01825270666325819
1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.36299288916969374,3.9946701987531346,0.09044261662180517,0.07790768246422959,0.7612537988672163,0.015388211766715502,0.6091935169894612,6.939571066683664,2.0791398944589385,1.4756660086815474,0.07152898891906713,0.2205220389470565,0.015146527713705516,2.7012166983724106,0.8411329772416046,0.8411329772416046,1.8600837211308057,1.8600837211308054,1.1532707403443148,1.153270740344315,0.04151138419252522,0.6653015965939659,0.6653015965939659,0.6653015965939664,0.6653015965939657,0.017973266560001564,0.02353811763252362,0.02353811763252363,0.023538117632523607,0.02353811763252355,0.042238507332745076,-0.018700389700221438
1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.3383179827962572,4.137669228807477,0.08997361644535402,0.07281873794281263,0.7321653252149494,0.015206306182451878,0.5699324191167916,7.1985677196472295,2.0176323199135613,5.885531518248771,0.07101305743687492,0.2108411685945166,0.014884541849329474,2.6501467462196193,0.8420516091211157,0.8420516091211154,1.8080951370985043,1.8080951370985046,1.1269766756398862,1.1269766756398865,0.03924220865938525,0.6418762527992328,0.6418762527992325,0.6418762527992327,0.6418762527992324,0.016915433510424648,0.022326775148960643,0.022326775148960632,0.022326775148960636,0.0223267751489606,0.041056353020277124,-0.01872957787131648
1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.8032089480867547,2.9258468262987547,0.09695796572712859,0.16511455109379228,1.189262103552865,0.01793217917707746,0.8340216433243995,5.0051032218659515,2.9320825179832877,3.160683871256481,0.07871894581781362,0.36977416526694595,0.01881025823557011,3.1215782411361928,0.8313896378754516,0.831389637875452,2.2901886032607415,2.290188603260741,1.2691453852583718,1.2691453852583718,0.07434276450299088,0.9467004534993778,0.9467004534993777,0.9467004534993784,0.9467004534993781,0.0340804844931311,0.04026228000985977,0.04026228000985981,0.04026228000985972,0.04026228000985992,0.05855745511827151,-0.01829517510841175
1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,1.7609712505202528,3.613986255852695,0.1053338011046532,0.339245274055744,1.868412227613038,0.021248955632680727,3.344268638741384,6.2502545617579015,4.159030643066747,4.5889040099451,0.08802355761696563,0.6274379583169907,0.02358692921186094,2.8427973400439983,0.8383295422623952,0.8383295422623844,2.0044677977816137,2.004467797781612,0.638042963939303,0.6380429639392919,0.11933778415382432,1.2470870496884947,1.2470870496884945,1.2470870496884934,1.2470870496884947,0.057856294764773865,0.061481489389050265,0.06148148938905033,0.06148148938905036,0.06148148938905047,0.07925647096471326,-0.017774981575662926
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.711716421288278,2.832980459828123,0.09337976194057941,0.11316333347395277,1.110358023048273,0.01653113197543799,1.1564527502672257,4.837189319774744,2.780930900639862,2.9898457323419825,0.07476503145315737,0.3413803877405704,0.01679255079827856,3.161674655709098,0.830192107742036,0.8301921077398992,2.331482547968949,2.3314825479688994,1.3733928748175874,1.3733928748175595,0.05602222049328755,0.9020674526580263,0.9020674526580257,0.9020674526580397,0.9020674526580601,0.02492088364159568,0.031101336851694902,0.031101336851695666,0.031101336851695652,0.031101336851695496,0.04961899246369206,-0.01851765561199637
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,1.199974816267036,2.8220557015778627,0.1010417996286644,0.2392877842172011,0.8614761018256927,0.019542839816734287,1.9129801492896303,4.817438457654575,2.2870265437536457,2.970072946817806,0.08324702916922329,0.25436302944211664,0.021129822020642095,3.1664328415894913,0.8300459976291665,0.8300459976291664,2.3363868439603253,2.3363868439603253,1.499378214540503,1.499378214540503,0.09597731813056319,0.7410313112892586,0.741031311289258,0.7410313112892589,0.7410313112892586,0.045330058382341616,0.05064725974822153,0.050647259748221554,0.050647259748221554,0.05064725974822154,0.06868869962234767,-0.018041439874126104
