e_vGLK,e_vPGI,e_vGLYCO,e_vTreha,e_vPFK,e_vALD,e_vGAPDH,e_vPGK,e_vPGM,e_vENO,e_vPYK,e_vPDC,e_vSUC,e_vGLT,e_vADH,e_vG3PDH,GLCi,G6P,F6P,F16P,TRIO,BPG,P3G,P2G,PEP,PYR,ACE,GLCo,ETOH,GLY,v_vGLK,v_vPGI,v_vGLYCO,v_vTreha,v_vPFK,v_vALD,v_vGAPDH,v_vPGK,v_vPGM,v_vENO,v_vPYK,v_vPDC,v_vSUC,v_vGLT,v_vADH,v_vG3PDH
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.928145527646734,0.2409818242030872,0.3691128225144718,0.5753831232579116,0.6939604133363395,0.6986934765313488,0.6559011422594064,0.6151374177579534,0.7107185563223083,0.4243148239697815,0.1467040671715955,50.0,50.0,0.15,2.2432465438930205,1.0360010605489647,0.01,0.598622741672028,1.0360010605489647,1.0360010605489647,1.7221176678570733,1.7221176678570733,1.7221176678570733,1.7221176678570733,1.7221176678570733,1.7221176678570733,0.01,2.2432465438930205,1.7021176678570733,0.34988445324085604
0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,71.04920881908774,0.1221208869843661,0.1763003095256373,0.2730581658032084,0.3485831555989651,0.3586690364126313,0.3474096245622643,0.3384322606681829,0.4148582902385099,0.2790118547075618,0.1099960479447506,50.0,50.0,0.15,1.3678404697126196,0.7559902657582973,0.01,0.30092510197716116,0.7559902657582973,0.7559902657582973,1.34613076323111,1.34613076323111,1.34613076323111,1.34613076323111,1.34613076323111,1.34613076323111,0.01,1.3678404697126196,1.32613076323111,0.1658497682854847
1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,45.76341072994758,0.2845003758570871,0.1289851271119471,0.1972117986314693,0.2542348191282613,0.2625558622001624,0.256059186168215,0.2516610983119186,0.3153501766633321,0.2230319213784392,0.0932367121644351,50.0,50.0,0.15,2.0658069857926407,0.6407026057625076,0.01,0.7075521900150666,0.6407026057625076,0.6407026057625076,1.164198725386416,1.164198725386416,1.164198725386416,1.164198725386416,1.164198725386416,1.164198725386416,0.01,2.0658069857926407,1.1441987253864159,0.1172064861385993
1.0,1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,41.7239378373896,0.2480281165284815,0.3805556402363321,0.5927774260971709,0.712421293361039,0.7163595248477712,0.671361542732923,0.6284317317400768,0.7242870285095399,0.4304018428284288,0.1480702105150146,50.0,50.0,0.15,2.2127642624031836,1.0477114802741425,0.01,0.5775263910645206,1.0477114802741425,1.0477114802741425,1.7355647537288565,1.7355647537288565,1.7355647537288565,1.7355647537288565,1.7355647537288565,1.7355647537288565,0.01,2.2127642624031836,1.7155647537288565,0.3598582068194285
1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53.032767225898574,0.3527574508644093,0.5487081244697469,0.8411153881195065,0.9617755674223666,0.9505899193025864,0.8719297029719213,0.7968620773061169,0.8922154273971187,0.5025357451376389,0.1634094300196397,50.0,50.0,0.15,1.8302325255817513,1.1896673704898462,0.01,0.31528257754595257,1.1896673704898462,1.1896673704898462,1.8840777613448794,1.8840777613448794,1.8840777613448794,1.8840777613448794,1.8840777613448794,1.8840777613448794,0.01,1.8302325255817513,1.8640777613448793,0.49525697963481297
1.0,1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,44.42728657862249,0.2723109588236655,0.5694864698279669,0.2677831418944217,0.342119459305698,0.3521260707519252,0.3412506244541562,0.3326573588939573,0.4083553672229786,0.2754879526958162,0.108991379458321,50.0,50.0,0.15,2.1130313159203933,0.7489492277499473,0.01,0.677041044085223,0.7489492277499473,0.7489492277499473,1.3354172048350736,1.3354172048350736,1.3354172048350736,1.3354172048350736,1.3354172048350736,1.3354172048350736,0.01,2.1130313159203933,1.3154172048350736,0.162481250664821
1.0,1.0,1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,44.37976448190548,0.2718796391037252,0.566435809152903,1.2264296989062322,0.34565400075168,0.3557047565016104,0.3446203952243844,0.3358183143082591,0.4119168001468699,0.277420025024331,0.1095429986902776,50.0,50.0,0.15,2.114735444001985,0.7528126067496825,0.01,0.6759614186261513,0.7528126067496825,0.7528126067496825,1.3413025089446824,1.3413025089446824,1.3413025089446824,1.3413025089446824,1.3413025089446824,1.3413025089446824,0.01,2.114735444001985,1.3213025089446824,0.16432270455468267
1.0,1.0,1.0,1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,42.50137001127473,0.2549575258637016,0.4534239974397714,0.8367960736055706,1.2729471689225942,0.2471134008498498,0.2412118751732491,0.2373319740069718,0.298520219692476,0.2130858343518825,0.0900659867046434,50.0,50.0,0.15,2.183488999368878,0.9062802808967008,0.01,0.6336043592360887,0.9062802808967008,0.9062802808967008,1.1289847644751316,1.1289847644751316,1.1289847644751316,1.1289847644751316,1.1289847644751316,1.1289847644751316,0.01,2.183488999368878,1.1089847644751316,0.6835757973182699
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,42.26949148671399,0.252886088581178,0.4404383765927503,0.7948979182723702,1.1751324513415096,1.9074750136523344,0.2828935164630888,0.2773995725696515,0.3452850909953538,0.2403600992602633,0.0986147926720208,50.0,50.0,0.15,2.192169350840187,0.9253304240019653,0.01,0.6284194634191109,0.9253304240019653,0.9253304240019653,1.2233388673908923,1.2233388673908923,1.2233388673908923,1.2233388673908923,1.2233388673908923,1.2233388673908923,0.01,2.192169350840187,1.2033388673908922,0.6273219806130383
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,42.02814372038976,0.2507342509898173,0.4271336918911252,0.7525866277035884,1.0782564569823887,1.6227418609585775,2.451266037285156,0.3238802810846907,0.3984408132669249,0.2700815529800997,0.1074376069027811,50.0,50.0,0.15,2.201250390292982,0.945183728836698,0.01,0.6230333307281418,0.945183728836698,0.945183728836698,1.3188008632640071,1.3188008632640071,1.3188008632640071,1.3188008632640071,1.3188008632640071,1.3188008632640071,0.01,2.2012503902929814,1.2988008632640071,0.5715665944093888
