e_vKIL,e_vLIM,e_vMIK,e_vNOV,e_vOSC,e_vPAP,e_vQUE,e_vROM,e_vSIE,e_vTAN,e_vUNI,e_vVIC,e_vWHI,e_vXRA,e_vYAN,e_vZUL,Ao__,L__,M__,B__,E__,K__,G__,I__,Ai__,C__,F__,J__,D__,H__,v_vKIL,v_vLIM,v_vMIK,v_vNOV,v_vOSC,v_vPAP,v_vQUE,v_vROM,v_vSIE,v_vTAN,v_vUNI,v_vVIC,v_vWHI,v_vXRA,v_vYAN,v_vZUL
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.24098182420310876,0.6939604133364174,0.1467040671715973,0.6559011422594796,0.7107185563223736,40.928145527626405,0.3691128225145076,0.6986934765314271,0.42431482396980436,0.5753831232579731,0.6151374177580189,2.261813466963064,1.0448552547393812,0.10844182089139895,0.5542581956671501,1.0448552547393724,1.0448552547393737,1.7010926780103914,1.7010926780103932,1.7010926780103999,1.70109267801041,1.7010926780104159,1.7010926780103979,0.24939691419171542,2.2618134669657044,1.202298849626926,0.3886178314683938
5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.2950422507948298,0.8299053892099512,0.15593767982510146,0.7676837734880365,0.8067057919851772,32.628650322840095,0.45653005552820203,0.827699288467413,0.4665107282005166,0.7066307246101436,0.7102164505683128,2.6174219566334718,1.1274585901195817,0.13276901285767342,0.6785971768281085,1.127458590119582,1.1274585901195822,1.7901701622815913,1.7901701622815902,1.7901701622815906,1.7901701622815909,1.7901701622815906,1.7901701622815906,0.26509405570267247,2.617421956633473,1.259982050876246,0.4647470179575727
1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.21605889047128873,1.132843409665442,0.1715485388041948,1.0018800059263455,0.9942096116003571,38.06707335563024,0.6801156589308119,1.107074479620111,0.5438130451549104,1.0265580466093862,0.9024585235901936,2.376874346885013,1.2857769500050042,0.09722650071207993,0.49693544808396406,1.285776950005005,1.2857769500050051,1.937161590597362,1.9371615905973618,1.9371615905973627,1.937161590597362,1.9371615905973618,1.9371615905973627,0.29163251596713113,2.376874346885013,1.3538965586630995,0.6343923094126476
1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.20853132463625007,0.6059268738203786,0.1395899514282955,0.5808607283329742,0.6433854911031999,37.18735885637468,0.3162897200995528,0.613775185410862,0.3934592431812477,0.4942379401893495,0.5499037095764256,2.413762214384748,0.9853226406264345,0.4691954804315627,0.4796220466633751,0.985322640626434,0.9853226406264344,1.6313262319134565,1.631326231913456,1.6313262319134563,1.6313262319134567,1.6313262319134563,1.6313262319134563,0.23730291742810233,2.413762214384747,1.1567203970572515,0.33931904933941204
1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.10246845314474946,0.2870393343217199,0.09962288832516653,0.2881681871316144,0.3510979335425929,23.631102834079865,0.1452821653348701,0.2961165542376254,0.2436735970764938,0.22331462718647663,0.282434479493497,3.09289296329594,0.6900077370382165,0.046110803915137256,1.1783872111646188,0.690007737038186,0.6900077370381636,1.219273446856201,1.219273446856202,1.2192734468562019,1.2192734468561885,1.2192734468561888,1.2192734468562578,0.1693589101527831,3.092892963279791,0.8805556265508252,0.16074202722016318
1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.22371719741683185,0.9824288872853385,0.16447508625719362,0.8879193632134743,0.9050258636093246,38.95434783832153,0.2748938838304705,0.9696513998210008,0.5078169253771169,0.862836472036616,0.8099936213764515,2.3404043835689192,1.210632536614601,0.10067273883757434,0.5145495540587133,1.2106325366146,1.210632536614602,1.8711048963494137,1.8711048963494137,1.8711048963494161,1.8711048963494186,1.8711048963494188,1.8711048963494008,0.27960764663722915,2.3404043835697625,1.3118896030749247,0.5501601768797896
1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.2251145950840528,0.9564544607896828,0.1631307128941236,0.8677959773070822,0.8888910008155785,39.11544051891399,0.28214164362535266,0.9456710690084791,0.5011604781759444,0.332204092085656,0.7934606294300399,2.3338603940831972,1.1970316889087296,0.10130156778782376,0.5177635686933214,1.1970316889087291,1.19703168890873,1.8584488797752368,1.8584488797752365,1.858448879775236,1.8584488797752368,1.8584488797752365,1.8584488797752368,0.2773222119200101,2.3338603940831955,1.3038044559352164,0.5356144980422224
1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.23327964000385046,0.44562571169006154,0.17693584666197976,1.0986185145515797,1.0672626115399884,40.051931804921175,0.3257969535521465,1.2258080344567743,0.5723645332535087,0.4508850479095333,0.9795118269949656,2.296278881179023,1.1182166991595694,0.10497583800173271,0.536543172008856,1.1182166991595703,1.1182166991595697,1.9868829997727047,1.9868829997727055,1.9868829997727053,1.9868829997727049,1.9868829997727049,1.9868829997727038,0.3007909393253656,2.296278881179011,1.3853011211219732,0.2495503985464345
1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.23539946374626347,0.509630266502978,0.16867914862540845,0.9539563020334523,0.9571421068058404,40.293766513279486,0.3375063752381641,0.3556846381321037,0.5290111041058249,0.4838801539721435,0.8638083074323757,2.286699974086551,1.0979326821647881,0.10592975868581857,0.541418766616406,1.097932682164838,1.0979326821648716,1.9104724150879095,1.9104724150880779,1.9104724150882046,1.9104724150881387,1.910472415087986,1.9104724150877708,0.28675455266319433,2.286699974082147,1.3369633097614053,0.28539294924166775
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.23731260332774187,0.5701519463684275,0.16118675578909528,0.2881030128804851,0.8660008809202947,40.51157521670097,0.3482111430491842,0.4618655749263468,0.49163708139909656,0.5144726916264002,0.7701113803645084,2.2781162915224646,1.0796876447173684,0.10679067149748385,0.5458189876538062,1.0796876447173689,1.079687644717369,1.8400901994684182,1.8400901994684187,1.8400901994684182,1.8400901994684182,1.840090199468418,1.8400901994684178,0.274017484841462,2.2781162915224655,1.2920552297854941,0.31928508996631944
