e_vKIL,e_vLIM,e_vMIK,e_vNOV,e_vOSC,e_vPAP,e_vQUE,e_vROM,e_vSIE,e_vTAN,e_vUNI,e_vVIC,e_vWHI,e_vALP,e_vYAN,e_vZUL,Ao__,L__,Z__,B__,E__,K__,G__,I__,Ai__,C__,F__,J__,D__,H__,v_vKIL,v_vLIM,v_vMIK,v_vNOV,v_vOSC,v_vPAP,v_vQUE,v_vROM,v_vSIE,v_vTAN,v_vUNI,v_vVIC,v_vWHI,v_vALP,v_vYAN,v_vZUL
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.24098182420310876,0.6939604133364174,0.1467040671715973,0.6559011422594796,0.7107185563223736,40.928145527626405,0.3691128225145076,0.6986934765314271,0.42431482396980436,0.5753831232579731,0.6151374177580189,2.261813466963064,1.0448552547393812,0.10844182089139895,0.5542581956671501,1.0448552547393724,1.0448552547393737,1.7010926780103914,1.7010926780103932,1.7010926780103999,1.70109267801041,1.7010926780104159,1.7010926780103979,0.24939691419171542,2.2618134669657044,1.202298849626926,0.3886178314683938
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,1.158839410429737e-82,3.76118066846857e-81,5.706566830666539e-80,1.4651791679845175e-80,6.002776335559508e-80,199.9999999999994,5.205627061692758e-82,7.637595899385456e-81,8.014280693017954e-80,1.66240029552735e-81,2.7648739431676693e-80,0.0,-2.224050737897859e-82,5.2147773469338166e-83,2.665330643988395e-82,1.4064992726516733e-81,6.6433671813739095e-81,2.2962093000915355e-80,4.690084615720512e-80,9.287528186311202e-80,1.795135400174465e-79,3.679269669320618e-79,6.19238064623024e-79,9.701163612133117e-80,3.097455758283558e-15,6.048960840506531e-79,2.1062611743423994e-81
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.3605719945924086,-5.949073844816183e-61,-8.372192406755665e-60,-2.2224000331585587e-60,-8.889600132634235e-60,53.84528257416691,-8.74310349577153e-62,-1.1803363945623339e-60,-1.1788867613279773e-59,-2.6860040536590884e-61,-4.125880643002144e-60,1.820888572691664,0.0,0.16225739756658386,0.8293155875625396,-2.7176451045759045e-61,-1.1028367450586392e-60,-3.717808744428832e-60,-7.371889358017791e-60,-1.4291158468896273e-59,-2.702942465977891e-59,-5.466992570969149e-59,-9.114070340895405e-59,-1.423272709148463e-59,1.820888572691663,-8.874523951161005e-59,-3.331481353097063e-61
1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.2512090120591833,0.7206800203948824,0.14866879115579887,0.6782482715217744,0.7302993274761886,42.08143383895159,0.3857171220395089,0.7242472359569706,0.4330856657626336,0.6006020658963338,0.6343381783027588,2.217443903131579,1.0618824476593374,0.0,0.5777807277361215,1.061882447659337,1.0618824476593371,1.7201840838975395,1.7201840838975397,1.7201840838975393,1.72018408389754,1.7201840838975397,1.7201840838975393,0.25273694496485805,2.2174439031315796,1.2147101939678233,0.4035808114211342
1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.4686117937054682,1.1930002678323004,0.1740866487974694,1.0463191370408786,1.0280516354795248,64.76454337603155,0.7297171274190226,1.161386864023308,0.5571390624431222,1.0948172223388069,0.9380105013698519,1.525240012773232,1.314364705605771,0.2108753071674607,0.0,1.3143647056057701,1.3143647056057706,1.9606492612254518,1.9606492612254522,1.960649261225453,1.9606492612254527,1.9606492612254522,1.960649261225452,0.295947302955698,1.5252400127732308,1.3687546553140568,0.6680801499860883
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.3605719945924085,-3.41718310085187e-56,-7.4269590373399e-55,-1.6589532776322763e-55,-7.537351490947918e-55,53.845282574166895,1.4422879783696343,-7.850130108438286e-56,-1.0327827431992377e-54,-1.3252844155290605e-56,-3.351637582578278e-55,1.8208885726916637,-1.8802141019754821e-16,0.16225739756658383,0.8293155875625395,0.0,-4.333095490908056e-56,-1.80376671144045e-55,-4.369241358941962e-55,-9.852526583852482e-55,-2.0835655879746434e-54,-4.5589630623138373e-54,-7.962822412297958e-54,-1.262583036347783e-54,1.820888572691663,-7.872576579580294e-54,-1.9136225364770472e-56
1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.3605719945924086,5.2724812942089805e-65,2.2079329080465434e-63,4.021261453656017e-64,2.138501055450933e-63,53.84528257416695,1.4422879783696356,1.6128440722070768e-64,3.0202855814406075e-63,5.769151913478551,9.049284770061861e-64,1.8208885726916668,-1.1281284611852887e-15,0.16225739756658386,0.8293155875625396,-1.9292102044008227e-15,0.0,1.5380601809771977e-64,7.168838763758257e-64,2.110728313368662e-63,5.25830562663703e-63,1.2727552872835186e-62,2.320204213163233e-62,3.7534859436791235e-63,1.8208885726916615,2.340408882529336e-62,2.9525895247570293e-65
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.2760497799946238,2.5774002538313963,5.0509330110901006e-61,8.285689039143505e-62,4.774404144560309e-61,44.83851431744672,0.5963062792111495,2.9710183675013578e-62,6.86549574909645e-61,1.336886462832642,1.9736019278293827e-61,2.1157234600456416,0.721672071072791,0.12422240099758072,0.6349144939876348,0.7216720710727911,0.7216720710727911,0.0,1.0615234071042683e-61,4.0220210634840574e-61,1.1076012661988136e-60,2.8133877907033004e-60,5.266596746544489e-60,8.586586118853171e-61,2.115723460045641,5.353988991755507e-60,1.443344142145582
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.2760497799946238,2.577400253831396,-9.842631827531775e-69,-1.2617416327541728e-69,-8.849991938429584e-69,44.838514317446766,0.5963062792111495,10.309601015325653,-1.3184938304161698e-68,1.336886462832642,-3.461674554535709e-69,2.115723460045645,0.721672071072791,0.12422240099758072,0.6349144939876348,0.7216720710727911,0.7216720710727912,-8.021271439567638e-15,0.0,-4.755875929442946e-69,-1.7738307292982045e-68,-5.1094567733980264e-68,-1.008082352644203e-67,-1.6732474106804017e-68,2.1157234600456394,-1.043318973718368e-67,1.4433441421455817
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.2760497799946238,2.5774002538313963,2.2285519028062718e-82,41.238404061302354,1.8281586790368072e-82,44.838514317446716,0.5963062792111495,10.309601015325606,2.903323655430808e-82,1.336886462832642,6.427953077945043e-83,2.115723460045641,0.721672071072791,0.12422240099758072,0.6349144939876348,0.7216720710727911,0.7216720710727911,-2.468083519866974e-15,2.013622873159403e-15,0.0,2.6377300601012954e-82,1.0141415439647766e-81,2.205414538945486e-81,3.7885382347706616e-82,2.1157234600456416,2.362265016974648e-81,1.443344142145582
