,r,p-value,lower,upper
0.1x,0.23426212590299278,0.3494541429806418,-0.3225398655679613,0.7696694651622711
0.2x,0.054695562435500514,0.8293348337875046,-0.4222529098441508,0.49147525116672186
0.3x,0.2507739938080495,0.31551339595948574,-0.2904454685099846,0.7445456117097907
0.4x,0.5665634674922602,0.014226822697300039,0.1516303992146597,0.7801333442408378
0.5x,0.40350877192982454,0.09680965248246655,-0.010551116009920087,0.6864636508809131
1.01x,-0.07533539731682146,0.7663922813478388,-0.6318376364062304,0.48903089170049935
1.5x,0.5500515995872033,0.018027593361137465,0.10989059142824836,0.7995929018789142
3x,0.8224974200206397,2.7926170666106315e-05,0.5161780104712043,0.9373594816962549
5x,0.8183694530443757,3.3103070471624634e-05,0.5321788769901977,0.918752113683663
7x,0.6119711042311662,0.006950274712161289,0.2502933554099777,0.8002293686580888
10x,0.3023735810113519,0.22262935502892162,-0.240516912182264,0.7397780398042728
