,r,p-value,lower,upper
0.1x-prior,0.2982456140350877,0.229322411766133,-0.27253668763102723,0.6876050139434418
0.2x-prior,0.2672858617131063,0.28360817850986736,-0.2896538436524454,0.7020149889926658
0.3x-prior,0.2280701754385965,0.3627002084947103,-0.3511430334155939,0.7157512752908809
0.4x-prior,0.1991744066047472,0.428158031919205,-0.34974090847225464,0.6313116220083247
0.5x-prior,0.27966976264189886,0.2610264770684414,-0.2982141576418275,0.7080443880689974
1.5x-prior,0.20743034055727552,0.4088537259590216,-0.3096159806252518,0.6933013990936687
3x-prior,0.16408668730650156,0.5152947310342115,-0.3952348203397522,0.6873872311464698
5x-prior,0.2239422084623323,0.37168616375621744,-0.3375820989495311,0.730699022824161
7x-prior,0.15583075335397317,0.5369306230900768,-0.3653211884699503,0.6458425468262227
10x-prior,0.1847265221878225,0.4630613329179911,-0.3949005126185123,0.6622610358011817
0.1x-post,0.6904024767801857,0.0015160249841227721,0.30399410111994174,0.8853463833455604
0.2x-post,0.9050567595459237,2.455885947367801e-07,0.6785695645690426,0.993750162591051
0.3x-post,0.8658410732714137,3.4345106049678616e-06,0.6300552289914376,0.9656814998870566
0.4x-post,0.760577915376677,0.0002479065453786046,0.3954514706949917,0.9079973772620019
0.5x-post,0.5149638802889577,0.028748754882630335,0.018889484626326735,0.8326534170153418
1.5x-post,0.9174406604747163,8.355803529821193e-08,0.6711152120187305,0.9938273686030431
3x-post,0.8245614035087718,2.5608231598810946e-05,0.5466302234429974,0.9427509711476513
5x-post,0.7337461300309597,0.0005283926713947288,0.4076600165613691,0.9086105096987844
7x-post,0.7131062951496387,0.0008932304748108589,0.2999141519250781,0.9363141398583524
10x-post,0.8142414860681115,3.9076829456376884e-05,0.4624498110533775,0.960380300345608
