,r,p-value,lower,upper
0.1x,0.5499999999999999,0.033655357815007086,0.0746360684148468,0.8216865405212721
0.2x,0.6107142857142855,0.01559283142117561,0.16493308765315154,0.8493084272730522
0.3x,0.7499999999999999,0.001280898450935536,0.4047770164679996,0.9080965192825656
0.4x,0.8964285714285712,6.066143021729969e-06,0.7211931580733906,0.9638391156066737
0.5x,0.9178571428571428,1.4176968515006258e-06,0.7745675526164535,0.9715300559730629
1.01x,0.5785714285714285,0.02384665876299661,0.11617944496788934,0.8348460274094847
1.5x,0.982142857142857,8.15733350897873e-11,0.947949482663623,0.9939435304701254
3x,0.9571428571428571,2.2736751556259742e-08,0.8780245861286863,0.9853423028349276
5x,0.9535714285714283,3.792440041183125e-08,0.8683036247935226,0.9841017389285451
7x,0.9249999999999998,7.987462113818468e-07,0.7928243923908446,0.9740688082475351
10x,0.914285714285714,1.853112130892652e-06,0.7655278031837217,0.9702560405468729
