,r,p-value,lower,upper
0.1x-prior,0.3285714285714285,0.23180969720615968,-0.23254113345521027,0.7568162982700921
0.2x-prior,0.2285714285714285,0.41256617049636035,-0.41050940358556115,0.6875226449275362
0.3x-prior,0.2714285714285714,0.3277893068411728,-0.37478847537272564,0.7604787364496982
0.4x-prior,0.28928571428571426,0.29566536100437785,-0.2967450271247739,0.7583691684249306
0.5x-prior,0.2607142857142857,0.34797945986279355,-0.3335753176043557,0.7190163538092651
1.5x-prior,0.24642857142857136,0.37595051597380524,-0.3212996389891697,0.7323990905611066
3x-prior,0.18214285714285713,0.5158816817070392,-0.3853251041748565,0.6697549603340991
5x-prior,0.10714285714285714,0.7039010016261615,-0.515577346703929,0.6485982177830005
7x-prior,0.1607142857142857,0.5671967045803448,-0.4105896761466381,0.6811634018155759
10x-prior,0.21071428571428572,0.450957865215285,-0.38583953919776326,0.708119430906316
0.1x-post,0.6249999999999999,0.012727453511233668,0.19127961929766985,0.8715888240200165
0.2x-post,0.5142857142857142,0.04983923347142065,-0.1284929915360203,0.9021739130434785
0.3x-post,0.6392857142857141,0.010288446619594207,0.14846080973274836,0.9162151018380527
0.4x-post,0.6464285714285712,0.009214550689979985,0.1563214519293656,0.9033811294034344
0.5x-post,0.6249999999999999,0.012727453511233668,0.11372644235939351,0.9121118012422357
1.5x-post,0.5464285714285714,0.035066660216709886,-0.02406289346084814,0.8953171113755386
3x-post,0.6464285714285712,0.009214550689979985,0.11546384621465652,0.945157895088005
5x-post,0.6357142857142856,0.0108607461687898,0.09679223983776389,0.9418312858312861
7x-post,0.7857142857142856,0.0005164547475705882,0.4000000000000001,0.9781430700447092
10x-post,0.8964285714285712,6.066143021729969e-06,0.6180765374331552,0.9926890416766025
