,r,p-value,lower,upper
0.1x,0.03214285714285714,0.9094621170945906,-0.5883831594795139,0.6125044710277402
0.2x,0.04285714285714285,0.8794603130258999,-0.5698010849909584,0.6344772081292785
0.3x,0.4642857142857142,0.08125098075549496,-0.12811465207486902,0.8909336609336611
0.4x,0.6749999999999999,0.00576349921805083,0.21134975556247712,0.9050020782152356
0.5x,0.8464285714285712,6.923823609737207e-05,0.5611510791366906,0.9674502712477397
1.01x,-0.035714285714285705,0.8994469934720875,-0.6709009276607413,0.5261315555251267
1.5x,0.7571428571428571,0.0010811081941858346,0.24402906581283076,0.9601467293026182
3x,0.6749999999999999,0.00576349921805083,0.1318045797553994,0.8907153502235469
5x,0.7249999999999999,0.0022270323137542148,0.3754230289657334,0.9200698529411766
7x,0.4892857142857142,0.06416038631454055,-0.014441741223251191,0.8383011115838741
10x,0.4535714285714285,0.08948590014302728,-0.11441764603564782,0.8294241844496713
