ENZYME_ADH,ENZYME_AK,ENZYME_ATPase,ENZYME_ENO,ENZYME_FBA,ENZYME_GPD,ENZYME_GPM,ENZYME_GPP,ENZYME_HXK_GLK1,ENZYME_HXK_HXK1,ENZYME_HXK_HXK2,ENZYME_PDC_PDC1,ENZYME_PDC_PDC5,ENZYME_PDC_PDC6,ENZYME_PFK,ENZYME_PGI,ENZYME_PGK,ENZYME_PGM,ENZYME_PYK,ENZYME_TDH_TDH1,ENZYME_TDH_TDH2,ENZYME_TDH_TDH3,ENZYME_TPI,ENZYME_TPP,ENZYME_TPS,ENZYME_UGP,ENZYME_acetate_branch,ENZYME_succinate_branch,ENZYME_udp_to_utp,ENZYME_HXT,ACE,EtOH,F26bP,GLCx,GLY,SUC,TRH,ADH1,ADH5,CDC19,ENO1,ENO2,FBA1,GLK1,GPD1,GPD2,GPM1,HOR2,HXK1,HXK2,PDC1,PDC5,PDC6,PFK1,PFK2,PGI1,PGK1,PGM1,PGM2,PYK2,RHR2,TDH1,TDH2,TDH3,TPI1,TPS1,TPS2,UGP1,ADP,ATP,AcAld,BPG,DHAP,F16bP,F6P,G1P,G3P,G6P,GAP,GLC,NAD,P2G,P3G,PEP,PYR,T6P,UDP,UTP,EX_ADH,EX_AK,ATPase,ENO,FBA,EX_GPD,GPM,EX_GPP,HXK_GLK1,HXK_HXK1,HXK_HXK2,PDC_PDC1,PDC_PDC5,PDC_PDC6,PFK,PGI,PGK,PGM,PYK,EX_TDH_TDH1,EX_TDH_TDH2,EX_TDH_TDH3,TPI,EX_TPP,EX_TPS,EX_UGP,EX_acetate_branch,EX_succinate_branch,udp_to_utp,EX_HXT
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55.75006335,55.47257785,0.003,74,0.15,0,0.003846971,0.040977128,0.001062496,0.512097527,0.171592989,0.493611573,0.334598664,0.011271741,0.001708778,0.000198351,0.182500075,0.001368367,0.004195186,0.015332838,0.266952695,0.003088686,0.001635216,0.011696257,0.009759155,0.034572677,0.064414228,0.000815574,0.000314672,0.001517484,0.012795119,0.087716161,0,1.051101187,0.073589455,0.00084812,0.000664963,0.001628055,1.144234804,2.415212718,0.537517849,0.025471395,0.031412829,0.698108717,2.422255457,4.955245011,0.014163787,5.27E-05,0.386343323,0.006505293,0.141680982,0.260823805,0.061308027,0.012515943,0.10085183,0.15557426,0.70479454,2.592114621,0.733513901,1.33E-15,0.525334351,0.748910102,0.405085888,0.061261674,0.748910102,0.061261674,0.000167611,0.018030401,0.49509726,0.718721454,0.008125437,0.006828575,0.405085888,0.405085888,0.748910102,0.054104692,0.748910102,0.052547695,0,0.696362407,0.343824214,0.054104692,0.054104692,0.054104692,0.000161564,0.015234637,0.054104692,0.513295273
0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55.75006335,55.47257785,0.003,74,0.15,0,0.003846971,0.040977128,0.001062496,0.512097527,0.171592989,0.493611573,0.334598664,0.011271741,0.001708778,0.000198351,0.182500075,0.001368367,0.004195186,0.015332838,0.266952695,0.003088686,0.001635216,0.011696257,0.009759155,0.034572677,0.064414228,0.000815574,0.000314672,0.001517484,0.012795119,0.087716161,0,1.051101187,0.073589455,0.00084812,0.000664963,0.001550529,1.144275731,2.415633843,0.537243396,0.027238354,0.031399226,0.697806401,2.421404968,4.956813702,0.014157999,5.26E-05,0.386302346,0.006502468,0.141608522,0.260838491,0.061286973,0.01250913,0.100811977,0.155583876,0.70423855,2.590843182,0.733302847,0,0.525196083,0.748705457,0.404985171,0.061264884,0.748705457,0.061264884,0.000167525,0.018023968,0.494956672,0.71852505,0.008123311,0.006827264,0.404985171,0.404985171,0.748705457,0.054081497,0.748705457,0.052533349,0,0.696172108,0.343720287,0.054081497,0.054081497,0.054081497,0.000172778,0.015229832,0.054081497,0.513148164
1.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55.75006335,55.47257785,0.003,74,0.15,0,0.003846971,0.040977128,0.001062496,0.512097527,0.171592989,0.493611573,0.334598664,0.011271741,0.001708778,0.000198351,0.182500075,0.001368367,0.004195186,0.015332838,0.266952695,0.003088686,0.001635216,0.011696257,0.009759155,0.034572677,0.064414228,0.000815574,0.000314672,0.001517484,0.012795119,0.087716161,0,1.051101187,0.073589455,0.00084812,0.000664963,0.001550529,1.144201427,2.414868759,0.537741841,0.024029797,0.03142393,0.698355419,2.422949307,4.953965883,0.01416851,5.27E-05,0.386376755,0.006507599,0.14174012,0.260811823,0.061325205,0.012521505,0.100884347,0.155566427,0.705248428,2.593151991,0.733686061,1.33E-15,0.525447117,0.749077033,0.405168044,0.061259055,0.749077033,0.061259055,0.000167681,0.018035651,0.495211952,0.718881662,0.008127171,0.006829644,0.405168044,0.405168044,0.749077033,0.05412362,0.749077033,0.052559397,0,0.696517636,0.343908989,0.05412362,0.05412362,0.05412362,0.000152415,0.015238556,0.05412362,0.513415284
1,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55.75006335,55.47257785,0.003,74,0.15,0,0.003846971,0.040977128,0.001062496,0.512097527,0.171592989,0.493611573,0.334598664,0.011271741,0.001708778,0.000198351,0.182500075,0.001368367,0.004195186,0.015332838,0.266952695,0.003088686,0.001635216,0.011696257,0.009759155,0.034572677,0.064414228,0.000815574,0.000314672,0.001517484,0.012795119,0.087716161,0,1.051101187,0.073589455,0.00084812,0.000664963,0.001550529,1.144234804,2.415212718,0.537517849,0.025471395,0.031412829,0.698108717,2.422255457,4.955245011,0.014163787,5.27E-05,0.386343323,0.006505293,0.141680982,0.260823805,0.061308027,0.012515943,0.10085183,0.15557426,0.70479454,2.592114621,0.733513901,0,0.525334351,0.748910102,0.405085888,0.061261674,0.748910102,0.061261674,0.000167611,0.018030401,0.49509726,0.718721454,0.008125437,0.006828575,0.405085888,0.405085888,0.748910102,0.054104692,0.748910102,0.052547695,0,0.696362407,0.343824214,0.054104692,0.054104692,0.054104692,0.000161564,0.015234637,0.054104692,0.513295273
1,1.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55.75006335,55.47257785,0.003,74,0.15,0,0.003846971,0.040977128,0.001062496,0.512097527,0.171592989,0.493611573,0.334598664,0.011271741,0.001708778,0.000198351,0.182500075,0.001368367,0.004195186,0.015332838,0.266952695,0.003088686,0.001635216,0.011696257,0.009759155,0.034572677,0.064414228,0.000815574,0.000314672,0.001517484,0.012795119,0.087716161,0,1.051101187,0.073589455,0.00084812,0.000664963,0.001550529,1.144234804,2.415212718,0.537517849,0.025471395,0.031412829,0.698108717,2.422255457,4.955245011,0.014163787,5.27E-05,0.386343323,0.006505293,0.141680982,0.260823805,0.061308027,0.012515943,0.10085183,0.15557426,0.70479454,2.592114621,0.733513901,-1.47E-15,0.525334351,0.748910102,0.405085888,0.061261674,0.748910102,0.061261674,0.000167611,0.018030401,0.49509726,0.718721454,0.008125437,0.006828575,0.405085888,0.405085888,0.748910102,0.054104692,0.748910102,0.052547695,0,0.696362407,0.343824214,0.054104692,0.054104692,0.054104692,0.000161564,0.015234637,0.054104692,0.513295273
1,1,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55.75006335,55.47257785,0.003,74,0.15,0,0.003846971,0.040977128,0.001062496,0.512097527,0.171592989,0.493611573,0.334598664,0.011271741,0.001708778,0.000198351,0.182500075,0.001368367,0.004195186,0.015332838,0.266952695,0.003088686,0.001635216,0.011696257,0.009759155,0.034572677,0.064414228,0.000815574,0.000314672,0.001517484,0.012795119,0.087716161,0,1.051101187,0.073589455,0.00084812,0.000664963,0.001550529,0.991238136,1.965552842,0.886021069,0.022862076,0.050931529,1.131864719,2.904145677,3.993464315,0.017881001,0.000100544,0.423004799,0.009692098,0.235546464,0.271293688,0.082830212,0.018283977,0.125852461,0.167381752,1.615374584,3.567063296,0.841949685,9.99E-16,0.554038297,0.857898475,0.460721194,0.063543913,0.857898475,0.063543913,0.000244485,0.023049779,0.597637774,0.825293903,0.009271734,0.007509672,0.460721194,0.460721194,0.857898475,0.080105422,0.857898475,0.060277451,0,0.797621024,0.397177281,0.080105422,0.080105422,0.080105422,0.000125623,0.015823167,0.080105422,0.620932038
1,1,1.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55.75006335,55.47257785,0.003,74,0.15,0,0.003846971,0.040977128,0.001062496,0.512097527,0.171592989,0.493611573,0.334598664,0.011271741,0.001708778,0.000198351,0.182500075,0.001368367,0.004195186,0.015332838,0.266952695,0.003088686,0.001635216,0.011696257,0.009759155,0.034572677,0.064414228,0.000815574,0.000314672,0.001517484,0.012795119,0.087716161,0,1.051101187,0.073589455,0.00084812,0.000664963,0.001550529,1.32921546,2.570147192,0.324092745,0.035006806,0.018759762,0.416920317,1.85095036,6.472864776,0.010505816,2.75E-05,0.355652506,0.004179663,0.084711487,0.230636284,0.04222139,0.008580537,0.075433379,0.155699971,0.320754603,1.6717697,0.591709904,-6.66E-16,0.446113506,0.605491287,0.330050465,0.054609643,0.605491287,0.054609643,0.00011115,0.013335486,0.386449254,0.579518816,0.006606182,0.005842849,0.330050465,0.330050465,0.605491287,0.034922712,0.605491287,0.04242153,0,0.563069757,0.275440822,0.034922712,0.034922712,0.034922712,0.000257943,0.013523439,0.034922712,0.39989589
1,1,1,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55.75006335,55.47257785,0.003,74,0.15,0,0.003846971,0.040977128,0.001062496,0.512097527,0.171592989,0.493611573,0.334598664,0.011271741,0.001708778,0.000198351,0.182500075,0.001368367,0.004195186,0.015332838,0.266952695,0.003088686,0.001635216,0.011696257,0.009759155,0.034572677,0.064414228,0.000815574,0.000314672,0.001517484,0.012795119,0.087716161,0,1.051101187,0.073589455,0.00084812,0.000664963,0.001550529,1.150594713,2.422081686,0.533269468,0.025668357,0.0312109,0.693621175,2.40788723,4.981210718,0.015869857,5.55E-05,0.385677507,0.006461354,0.140564067,0.260730191,0.060981826,0.012403789,0.110318844,0.155794585,0.696292878,2.571188518,0.73013141,0,0.523050628,0.745523571,0.403382391,0.06124121,0.745523571,0.06124121,0.000166195,0.017924513,0.492779505,0.715399282,0.008089471,0.006806375,0.403382391,0.403382391,0.745523571,0.053743911,0.745523571,0.05229373,0,0.693229841,0.34214118,0.053743911,0.053743911,0.053743911,0.000163718,0.015228444,0.053743911,0.510870213
1,1,1,1.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55.75006335,55.47257785,0.003,74,0.15,0,0.003846971,0.040977128,0.001062496,0.512097527,0.171592989,0.493611573,0.334598664,0.011271741,0.001708778,0.000198351,0.182500075,0.001368367,0.004195186,0.015332838,0.266952695,0.003088686,0.001635216,0.011696257,0.009759155,0.034572677,0.064414228,0.000815574,0.000314672,0.001517484,0.012795119,0.087716161,0,1.051101187,0.073589455,0.00084812,0.000664963,0.001550529,1.139081443,2.409517235,0.541002894,0.025317053,0.031578355,0.701787241,2.433948571,4.934293257,0.012831269,5.04E-05,0.386885604,0.006541246,0.142597403,0.260892385,0.061574222,0.012608023,0.093457406,0.155400566,0.711796822,2.609168282,0.736259969,-2.00E-15,0.527182862,0.751659066,0.406467865,0.061276664,0.751659066,0.061276664,0.000168771,0.018116716,0.496982072,0.721418651,0.008154626,0.006846553,0.406467865,0.406467865,0.751659066,0.054399847,0.751659066,0.05275371,0,0.698905356,0.345191201,0.054399847,0.054399847,0.054399847,0.000159861,0.015239235,0.054399847,0.515267558
1,1,1,1,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55.75006335,55.47257785,0.003,74,0.15,0,0.003846971,0.040977128,0.001062496,0.512097527,0.171592989,0.493611573,0.334598664,0.011271741,0.001708778,0.000198351,0.182500075,0.001368367,0.004195186,0.015332838,0.266952695,0.003088686,0.001635216,0.011696257,0.009759155,0.034572677,0.064414228,0.000815574,0.000314672,0.001517484,0.012795119,0.087716161,0,1.051101187,0.073589455,0.00084812,0.000664963,0.001550529,1.183350918,2.474379511,0.502708135,0.026549944,0.027989608,0.622035054,2.286718852,5.211395809,0.013267094,4.57E-05,0.380171208,0.006138861,0.132617293,0.254348074,0.058589375,0.011492841,0.094660429,0.158977691,0.637476256,2.395471372,0.701253026,1.33E-15,0.503175231,0.716301035,0.388072375,0.059843714,0.716301035,0.059843714,0.000154594,0.017035785,0.473070056,0.687031118,0.007781777,0.006614293,0.388072375,0.388072375,0.716301035,0.05109403,0.716301035,0.050240442,0,0.666060593,0.328228661,0.05109403,0.05109403,0.05109403,0.000174162,0.014873848,0.05109403,0.490260435
