e_vGLK,e_vPGI,e_vGLYCO,e_vTreha,e_vPFK,e_vALD,e_vGAPDH,e_vPGK,e_vPGM,e_vENO,e_vPYK,e_vPDC,e_vSUC,e_vGLT,e_vADH,e_vG3PDH,e_vATP,Glyc,Trh,CO2,SUCC,GLCo,ETOH,GLY,SUM_P,F26BP,ATP,ADP,AMP,GLCi,G6P,F6P,F16P,TRIO,BPG,P3G,P2G,PEP,PYR,ACE,P,NAD,NADH,v_vGLK,v_vPGI,v_vGLYCO,v_vTreha,v_vPFK,v_vALD,v_vGAPDH,v_vPGK,v_vPGM,v_vENO,v_vPYK,v_vPDC,v_vSUC,v_vGLT,v_vADH,v_vG3PDH,v_vATP
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,50.0,50.0,0.15,4.1,0.02,2.5106762976056243,1.2907243799754342,0.29859932241894116,0.09865903546457674,1.0321498562002211,0.11260040178178472,0.5967196123443345,0.7733917715646463,0.000308171446826485,0.32690590909683226,0.04023209829174135,0.0737466767199609,8.528588624165275,0.1699002558907463,6.312076975186683,1.5455005260445411,0.04449947395545493,88.15595394708859,77.3559539470886,6.0,2.4,77.35595394708858,77.35595394708861,136.53258051386732,136.53258051386734,136.5325805138672,136.53258051386732,136.53258051386723,136.53258051386712,3.6358654760619706,88.15595394708858,129.2608495617426,18.179327380309847,84.60979122930955
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,50.0,50.0,0.15,4.1,0.02,2.506846705972343,1.2930289455635524,0.3001243484641041,0.09882615016863303,1.0339951523200532,0.11295802838928834,0.6054482822366499,0.7803311537019948,0.00034413575492313445,0.37666768015627283,0.047990831049045,0.08466660388609414,8.519482843038272,0.17025907797160153,6.306722357508239,1.5455996826181742,0.0444003173818276,88.14517687577961,77.34517687577988,6.0,2.4,77.34517687578018,77.34517687578006,136.47263240859894,136.47263240860192,136.47263240859846,136.47263240859846,136.47263240859925,136.47263240859834,3.6435442685922723,88.14517687577988,129.18554387136112,18.21772134296035,84.48073399126797
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,50.0,50.0,0.15,4.1,0.02,2.5095775369114928,1.2913860490317985,0.29903641405670833,0.09870691063312746,1.032674542146891,0.11270213083147153,0.5992056345730744,0.7753743097775364,0.0003184368832386343,0.34107974643200983,0.042441932736842165,0.06518585663904512,8.525974845831335,0.17000323606965043,6.310541122854784,1.5455290263266575,0.04447097367334233,88.1528662601923,77.35286626019227,6.0,2.4,77.35286626019223,77.35286626019229,136.51538626093196,136.5153862609321,136.51538626093202,136.51538626093196,136.51538626093205,136.51538626093196,3.638069251890519,88.1528662601923,129.23924775715093,18.190346259452582,84.57276299391731
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,50.0,50.0,0.15,4.1,0.02,2.5071240238920725,1.2928622122303057,0.30001376387762146,0.09881402488083434,1.0338599612178618,0.11293184175838707,0.6048101436595977,0.7798258533340426,0.0003415138887540233,0.3730300963513023,0.04742362979521438,0.08267492045169075,11.805225926392488,0.1702331037080325,6.307110260014451,1.5455925189476925,0.04440748105230756,88.14595873804474,77.34595873804471,6.0,2.4,77.34595873804476,77.3459587380447,136.4769753793299,136.47697537932916,136.47697537932987,136.4769753793299,136.47697537932976,136.47697537932987,3.642988419351895,88.14595873804468,129.19099854062617,18.214942096759493,84.49007960516285
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,50.0,50.0,0.15,4.1,0.02,2.5089901748565135,1.2917396046624463,0.2992702204810398,0.09873252697168015,1.0329565878482592,0.11275680127686166,0.6005406101161811,0.7764368951250231,0.0003239419595963007,0.34869065537465155,0.043628583078128585,0.06935116791265052,6.979540300972071,0.17005827627718614,6.309719954375473,1.5455442448233478,0.044455755176654496,88.15121423265789,77.35121423265389,6.0,2.4,77.35121423264583,77.35121423265204,136.50619290365552,136.5061929033689,136.506192903645,136.5061929036411,136.5061929035798,136.50619290358725,3.639247112331783,88.15121423265504,129.22769867903807,18.19623556166009,84.55296889266451
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,50.0,50.0,0.15,4.1,0.02,2.5711013978017605,1.2537729430719635,0.2751256591262756,0.09629408138347408,1.0710650736833192,0.11935521253743493,0.6099759904919484,0.7833584586983692,0.00035452934998220936,0.36668577883881487,0.04629116931206136,0.07732859984552194,8.67150415852078,0.1823593260199853,6.395975738675484,1.5483397337740155,0.0416602662259856,88.30874288697399,77.50874288697403,6.0,2.4,77.50874288697383,77.50874288697418,137.45628267822372,137.45628267822292,137.45628267822363,137.4562826782237,137.4562826782245,137.45628267822926,3.5122406191449165,88.30874288697407,130.43180143991927,17.561203095724302,86.64611710591933
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,50.0,50.0,0.15,4.1,0.02,2.449982038860954,1.3267173975812718,0.3233005635577739,0.10118974442715997,1.0005939623192237,0.10719056046226705,0.5947304581128046,0.772337588992007,0.0003086032799833313,0.3475991531256949,0.043589687505070626,0.07045921905625387,8.388091043696814,0.15967245739236388,6.226681475303179,1.5428537938993874,0.04714620610060972,87.99302488392084,77.1930248839208,6.0,2.4,77.19302488392084,77.19302488392078,135.59260153276037,135.5926015327602,135.5926015327604,135.59260153276037,135.5926015327603,135.59260153276037,3.7586896470162454,87.9930248839208,128.07522223872795,18.79344823508124,82.56439470961415
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,0.0,0.0,1.0,0.0,50.0,50.0,0.15,4.1,0.02,2.0776880145258225,1.5211512926567905,0.5011606928173866,0.09765227806682816,0.685359542967142,0.0640184840930427,0.42454256895420583,0.6500709819438584,0.00018416811447436514,0.26162216137779765,0.03215191046579964,0.04826342918179688,6.58518999957102,0.1601455054207226,5.676527321708435,1.544633030208021,0.045366969791979045,79.39883975678438,68.59883975678437,6.0,2.4,68.59883975678439,68.5988397567844,120.06211043355141,120.06211043355134,120.06211043355141,120.06211043355141,120.06211043355135,120.06211043355142,3.4271138160034633,79.39883975678438,113.20788280154444,17.135569080017333,70.01808608952022
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,50.0,50.0,0.15,4.1,0.02,2.924054239496124,1.0168270441932536,0.1591187163106218,0.10205474143602475,1.7204810878700696,0.21328840977406793,0.8942782828896854,0.9528148535659711,0.0006798292358704351,0.5322840637315438,0.06932588329362711,0.12999882514204583,12.095969398383115,0.18064688238694326,6.864935523185502,1.5465297521238992,0.043470247876099495,96.7312169170738,85.93121691707375,6.0,2.4,85.93121691707398,85.93121691707381,152.5332174187446,152.53321741874439,152.53321741874467,152.53321741874464,152.53321741874464,152.53321741874464,3.8658432830805856,96.7312169170738,144.80153085258337,19.329216415402936,98.5406278710194
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.0,0.0,1.0,0.0,50.0,50.0,0.15,4.1,0.02,2.4875624621211943,1.3045654753824054,0.3078720624964,0.09961004980758456,1.0213311335244946,0.11075819400845287,0.599313742918646,0.775648609703969,0.0003218617693978618,0.3532521001212551,0.04438681755847542,0.07245989556167294,8.474658303306706,0.17209099212378876,6.279690399624794,1.5446080527037194,0.045391947296279433,88.09465810688569,77.29465810688568,6.0,2.4,77.29465810688575,77.29465810688573,136.175580056526,136.17558005652572,136.17558005652597,136.17558005652603,136.17558005652594,136.175580056526,3.682747231449079,88.09465810688567,128.8100855936278,18.413736157245403,83.83085497348425
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.0,1.0,0.0,0.0,1.0,0.0,50.0,50.0,0.15,4.1,0.02,2.5257164944440014,1.2816302257388423,0.29265327981715594,0.09806318909726157,1.0433958283682654,0.11456576254412394,0.6040966300987495,0.7791062362775739,0.00033619970433169146,0.3592296829171952,0.045232499273932865,0.07460700018728239,8.563782066153806,0.16846513659752949,6.333063214626845,1.5463405188000015,0.043659481199998,88.19440039369131,77.39440039369137,6.0,2.4,77.39440039369133,77.39440039369134,136.76303117144704,136.76303117144744,136.76303117144707,136.76303117144707,136.7630311714471,136.7630311714471,3.605153923187131,88.19440039369137,129.5527233250729,18.025769615935662,85.11664586276285
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.0,0.0,1.0,0.0,50.0,50.0,0.15,4.1,0.02,2.608596337844003,1.2302937878229525,0.2611098743330442,0.0949129219786671,1.1039137208236063,0.12512986674194976,0.6333688645305786,0.801205223403181,0.0003708206922191795,0.37314704884992334,0.04721199804369492,0.07972621237186928,8.76163476305307,0.16050309428159845,6.447486463510958,1.5427502982175862,0.04724970178241308,88.3982118160549,77.5982118160549,6.0,2.4,77.59821181605493,77.59821181605489,138.0225925439787,138.02259254397853,138.02259254397882,138.02259254397876,138.0225925439787,138.02259254397876,3.4347662176262066,88.3982118160549,131.15306010872638,17.173831088131028,87.9096965853429
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.0,0.0,0.0,1.0,0.0,50.0,50.0,0.15,4.1,0.02,2.4119201702455157,1.348702977661127,0.3393768520933569,0.10283057565125704,0.9745082707096888,0.1026506929065875,0.5755159748516618,0.7572319675369891,0.0002959781234059753,0.3420985300957889,0.04281649329227654,0.0685401816500264,8.301807479480969,0.17921792148249635,6.172543318152159,1.54794127399903,0.04205872600096927,87.88769950671491,77.08769950671487,6.0,2.4,77.08769950671496,77.08769950671493,134.99908141480273,134.9990814148025,134.9990814148028,134.9990814148027,134.99908141480265,134.9990814148027,3.8352635197254217,87.88769950671491,127.32855437535179,19.17631759862712,81.28170973727389
