,0
gt,0.0
0.1x,11.286203088638851
0.2x,9.142034816769906
0.3x,7.4918527398118195
0.4x,6.708720347239979
0.5x,6.049053680573307
1.5x,5.761565851106149
3x,5.952425799430941
5x,6.642092466097604
7x,6.920425799430943
10x,7.389759132764272
