,0
gt,0.0
0.1x,85.98918751885815
0.2x,86.37552085219144
0.3x,85.31967054884741
0.4x,84.08848641731664
0.5x,83.53348641731674
1.5x,83.86148641731673
3x,81.47748641731671
5x,81.5678197506501
7x,83.61967054884741
10x,84.09215308398339
