,0
gt,0.0
0.1x,71.04300338732745
0.2x,70.08767005399416
0.3x,68.04869912708051
0.4x,68.26543061759725
0.5x,69.59099724658519
1.5x,72.26891233012358
3x,62.056997246585155
5x,71.38426276012923
7x,77.28195506096931
10x,87.48960083594444
