,0
gt,0.0
0.1x,29.64082891490356
0.2x,30.385950374598725
0.3x,31.955283707932043
0.4x,34.61728370793204
0.5x,38.483244427951874
1.5x,42.85016662202963
3x,15.414471521729126
5x,9.960628074127431
7x,8.910086145530702
10x,9.360623236602141
