,0
gt,0.0
0.1x,60.17754427274998
0.2x,60.79663274991248
0.3x,61.36296232437902
0.4x,59.171970091995604
0.5x,63.031690194759534
1.5x,59.74671746820823
3x,59.76280247205214
5x,61.93813070707802
7x,62.13517300103071
10x,60.61624454936664
