,0
gt,0.0
0.1x,0.08134063709054545
0.2x,0.0624971038044353
0.3x,0.049815285622617125
0.4x,0.04121869471352621
0.5x,0.034707890053249625
1.5x,0.029993301504624047
3x,0.03560139843338366
5x,0.04435708025156546
7x,0.04987980752429273
10x,0.055391171160656366
