e_vGLK,e_vPGI,e_vGLYCO,e_vTreha,e_vPFK,e_vALD,e_vGAPDH,e_vPGK,e_vPGM,e_vENO,e_vPYK,e_vPDC,e_vSUC,e_vGLT,e_vADH,e_vG3PDH,e_vATP,e_vAK,CO2,GLCo,ETOH,GLY,ADP,G6P,NAD,TRIO,ACE,P2G,F6P,BPG,GLCi,PYR,PEP,F16P,P3G,AMP,NADH,ATP,v_vGLK,v_vPGI,v_vGLYCO,v_vTreha,v_vPFK,v_vALD,v_vGAPDH,v_vPGK,v_vPGM,v_vENO,v_vPYK,v_vPDC,v_vSUC,v_vGLT,v_vADH,v_vG3PDH,v_vATP,v_vAK
1,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1,1,50,50,0.15,1.287585039,1.029715894,1.54536496,0.764091775,0.169412119,0.029939123,0.112128025,0.000260118,0.098433036,8.540983409,0.074043978,0.585140059,0.26087902,0.296533824,0.04463504,2.515881137,88.17053253,77.37053253,6,2.4,77.37053253,77.37053253,136.6139684,136.6139684,136.6139684,136.6139684,136.6139684,136.6139684,3.62541934,88.17053253,129.3631297,18.1270967,84.78519431,-2.22E-16
1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1,50,50,0.15,1.289656823,1.031311935,1.54545449,0.770209633,0.169734176,0.036696558,0.112437869,0.00029171,0.09858197,8.532804761,0.045024322,0.592742225,0.304227776,0.297895395,0.04454551,2.512447782,88.16092466,77.36092466,6,2.4,77.36092466,77.36092466,136.5602925,136.5602925,136.5602925,136.5602925,136.5602925,136.5602925,3.632311363,88.16092466,129.2956698,18.16155682,84.66949024,1.11E-16
1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1,50,50,0.15,1.291166145,1.032499708,1.545519557,0.774714543,0.169969007,0.041705919,0.112668237,0.00031502,0.09869099,4.540059696,0.062602541,0.59837763,0.336359035,0.29889108,0.044480443,2.509942775,88.15389303,77.35389303,6,2.4,77.35389303,77.35389303,136.5211023,136.5211023,136.5211023,136.5211023,136.5211023,136.5211023,3.637336752,88.15389303,129.2464288,18.18668376,84.58507153,-1.11E-16
1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1,1,50,50,0.15,1.437675324,0.903897562,1.532586911,0.755884243,0.12947712,0.039810879,0.090740779,0.000249384,0.110727913,7.94258123,0.061315863,0.571862135,0.32052712,0.413620231,0.057413089,2.248704446,87.38417877,76.58417877,6,2.4,76.58417877,76.58417877,132.3872798,132.3872798,132.3872798,132.3872798,132.3872798,132.3872798,4.156215551,87.38417877,124.0748487,20.78107776,75.78133982,2.22E-16
1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1,50,50,0.15,1.181114413,5.787352802,1.555038036,505.2736658,0.237435086,400.4542247,0.742144197,2.451776981,0.237685357,260194.9013,1119.477619,9300502.596,2708.839548,0.233796351,0.034961964,2.685089237,119.994631,109.194631,6,2.4,109.194631,99.80643906,174.2006585,174.2006606,174.2005919,174.2005821,174.200555,174.1939999,5.081110835,119.994631,164.0317782,25.41221253,90.48750727,3.51E-10
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,1,50,50,0.15,1.252440814,1.0724132,1.548432621,0.783563483,0.163917412,0.046342735,0.11958895,0.000355433,0.096212295,8.676643809,0.077462082,0.610259432,0.367048213,0.274312442,0.041567379,2.573246744,88.31403598,77.51403598,6,2.4,77.51403598,77.51403598,137.4889089,137.4889089,137.4889089,137.4889089,137.4889089,137.4889089,3.50783262,88.31403598,130.4732436,17.5391631,86.71841528,2.22E-16
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,50,50,0.15,1.532112646,0.810904239,1.55473883,0.694584199,0.21141155,0.036724322,0.075010386,0.000205882,0.122071233,7.534458022,0.054326821,0.497033907,0.298025956,0.514401447,0.03526117,2.053485906,86.67068767,75.87068767,6,2.4,75.87068767,75.87068767,129.1203395,129.1203395,129.1203395,129.1203395,129.1203395,129.1203395,4.524207164,86.67068767,120.0719252,22.62103582,69.20247504,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,50,50,0.15,1.708854977,0.672388503,1.544793792,0.69134803,0.163992661,0.034286297,0.054264119,0.000145352,0.170172469,7.448324747,0.046320643,0.483098584,0.28192162,0.855998911,0.045206208,1.535146112,83.76691855,72.96691855,6,2.4,72.96691855,72.96691855,128.3866224,128.3866224,128.3866224,128.3866224,128.3866224,128.3866224,3.509442939,83.76691855,121.3677365,17.5472147,77.60163595,-1.11E-15
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,50,50,0.15,1.292100388,1.033245614,1.545559767,0.777523537,0.170114452,0.044843711,0.112812815,0.000329574,0.098758692,8.523152464,0.073616842,0.60190764,0.356484038,0.299508987,0.044440233,2.508390625,88.14952688,77.34952688,6,2.4,77.34952688,77.34952688,136.4968074,136.4968074,136.4968074,136.4968074,136.4968074,136.4968074,3.640449265,88.14952688,129.2159089,18.20224632,84.53276406,1.67E-16
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,50,50,0.15,1.292100388,1.033245614,1.545559767,0.777523537,0.170114452,0.044843711,0.112812815,0.000329574,0.098758692,8.523152464,0.073616842,0.60190764,0.356484038,0.299508987,0.044440233,2.508390625,88.14952688,77.34952688,6,2.4,77.34952688,77.34952688,136.4968074,136.4968074,136.4968074,136.4968074,136.4968074,136.4968074,3.640449265,88.14952688,129.2159089,18.20224632,84.53276406,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,75,50,0.15,1.270019972,1.07453715,1.545635056,0.789882323,0.17097021,0.046287905,0.118765237,0.000348087,0.098942029,8.739892348,0.076710191,0.620766622,0.36707271,0.285225033,0.044364944,2.544754994,88.89045909,78.09045909,6,2.4,78.09045909,78.09045909,137.8871057,137.8871057,137.8871057,137.8871057,137.8871057,137.8871057,3.658762491,88.89045909,130.5695807,18.29381246,85.75824331,2.22E-16
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,75,0.15,1.428099823,0.911843312,1.533588599,0.757312363,0.192553001,0.040126899,0.092077997,0.000254094,0.109773612,7.982114695,0.062057136,0.573855756,0.322810017,0.404820913,0.056411401,2.267079264,87.44472512,76.64472512,6,2.4,76.64472512,76.64472512,132.6862792,132.6862792,132.6862792,132.6862792,132.6862792,132.6862792,4.120634218,87.44472512,124.4450107,20.60317109,76.4005712,2.22E-16
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.225,1.277168311,1.04964233,1.544902402,0.783074916,0.167762823,0.045399301,0.115662982,0.000339063,0.097777612,8.58099936,0.075033703,0.609217621,0.360406177,0.289777229,0.045097598,2.533054459,88.21283854,77.41283854,6,2.4,77.41283854,77.41283854,136.875055,136.875055,136.875055,136.875055,136.875055,136.875055,3.590124415,88.21283854,129.6948062,17.95062207,85.36393528,-1.11E-16
