v19,gt,0.1x,0.2x,0.3x,0.4x,0.5x,1.01x,1.5x,3x,5x,7x,10x
1.0,v2,v8,v15,v2,v2,v2,v21,v2,v7,v7,v7,v7
2.0,v15,v15,v21,v15,v15,v15,v18,v7,v2,v2,v2,v2
3.0,v7,v21,v8,v8,v7,v7,v17,v15,v15,v15,v15,v15
4.0,v4,v7,v2,v7,v8,v21,v16,v21,v5,v5,v5,v5
5.0,v21,v2,v7,v21,v21,v8,v15,v5,v21,v21,v21,v4
6.0,v5,v14,v5,v5,v5,v5,v8,v4,v4,v4,v4,v21
7.0,v12,v4,v14,v14,v14,v4,v14,v8,v9,v9,v9,v9
8.0,v13,v9,v4,v4,v4,v14,v4,v9,v12,v12,v16,v12
9.0,v9,v5,v9,v9,v13,v13,v5,v16,v13,v13,v13,v16
10.0,v8,v18,v13,v13,v9,v9,v7,v13,v16,v16,v12,v13
11.0,v14,v13,v6,v12,v12,v12,v9,v12,v6,v6,v6,v11
12.0,v11,v17,v12,v18,v6,v11,v6,v6,v18,v11,v10,v10
13.0,v10,v6,v10,v11,v10,v6,v2,v14,v11,v10,v11,v6
14.0,v16,v10,v17,v10,v11,v10,v10,v11,v10,v17,v14,v18
15.0,v17,v11,v18,v6,v18,v16,v11,v10,v17,v18,v18,v14
16.0,v6,v12,v11,v17,v17,v18,v13,v18,v8,v14,v17,v3
17.0,v18,v16,v16,v16,v16,v17,v12,v17,v14,v8,v8,v8
18.0,v3,v3,v3,v3,v3,v3,v3,v3,v3,v3,v3,v17
,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19
