e_vGLK,e_vPGI,e_vGLYCO,e_vTreha,e_vPFK,e_vALD,e_vGAPDH,e_vPGK,e_vPGM,e_vENO,e_vPYK,e_vPDC,e_vSUC,e_vGLT,e_vADH,e_vG3PDH,GLCi,G6P,F6P,F16P,TRIO,BPG,P3G,P2G,PEP,PYR,ACE,GLCo,ETOH,GLY,v_vGLK,v_vPGI,v_vGLYCO,v_vTreha,v_vPFK,v_vALD,v_vGAPDH,v_vPGK,v_vPGM,v_vENO,v_vPYK,v_vPDC,v_vSUC,v_vGLT,v_vADH,v_vG3PDH
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.92814553,0.240981824,0.369112823,0.575383123,0.693960413,0.698693477,0.655901142,0.615137418,0.710718556,0.424314824,0.146704067,50,50,0.15,1.0871543447874799,1.0571543447874798,0.01,0.01,1.0571543447874798,1.0571543447874798,1.7121655415847992,1.7121655415847992,1.7121655415847992,1.7121655415847992,1.7121655415847992,1.7121655415847992,0.01,1.0871543447874799,1.6921655415847991,0.4021431479901605
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53.43013489,0.180004596,0.269796988,0.421682252,0.524409002,0.534102597,0.509301799,0.486531881,0.576675091,0.361731508,0.131923506,50,50,0.15,0.9652121088033423,0.9352121088033423,0.01,0.01,0.9352121088033423,0.9352121088033423,1.5651162560320226,1.5651162560320226,1.5651162560320226,1.5651162560320226,1.5651162560320226,1.5651162560320226,0.01,0.9652121088033423,1.5451162560320226,0.3053079615746619
1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,43.43817667,0.263365865,0.214424758,0.334014936,0.422166737,0.432691604,0.416473752,0.402463358,0.485935196,0.316457714,0.12029817,50,50,0.15,0.876492294378531,0.846492294378531,0.01,0.01,0.846492294378531,0.846492294378531,1.446227782202432,1.446227782202432,1.446227782202432,1.446227782202432,1.446227782202432,1.446227782202432,0.01,0.876492294378531,1.426227782202432,0.24675680655462995
1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,41.49123831,0.245962746,0.377202858,0.587687608,0.707033941,0.711209069,0.66685933,0.624565267,0.720345983,0.428638167,0.147675603,50,50,0.15,1.0956385988523833,1.0656385988523833,0.01,0.01,1.0656385988523833,1.0656385988523833,1.721676971608368,1.721676971608368,1.721676971608368,1.721676971608368,1.721676971608368,1.721676971608368,0.01,1.0956385988523833,1.701676971608368,0.4096002260963987
1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,48.36038633,0.308523969,0.478176752,0.738561896,0.861862502,0.85767448,0.793302691,0.731681808,0.828054541,0.475635352,0.157864463,50,50,0.15,1.1890833539346708,1.1590833539346708,0.01,0.01,1.1590833539346708,1.1590833539346708,1.8203261686182117,1.8203261686182117,1.8203261686182117,1.8203261686182117,1.8203261686182117,1.8203261686182117,0.01,1.1890833539346708,1.8003261686182117,0.4978405392511298
1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,42.67757154,0.256534205,0.463426918,0.394908695,0.493627773,0.503747769,0.481726908,0.461786861,0.550246558,0.348812059,0.128692026,50,50,0.15,0.9400294469964366,0.9100294469964366,0.01,0.01,0.9100294469964366,0.9100294469964366,1.5323625553204314,1.5323625553204314,1.5323625553204314,1.5323625553204314,1.5323625553204314,1.5323625553204314,0.01,0.9400294469964366,1.5123625553204314,0.2876963386724418
1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,42.60620907,0.255895371,0.45936148,0.856151164,0.500801841,0.510835921,0.488181732,0.467596058,0.556471118,0.351873751,0.129463815,50,50,0.15,0.9460038086017579,0.9160038086017579,0.01,0.01,0.9160038086017579,0.9160038086017579,1.5402055090259994,1.5402055090259994,1.5402055090259994,1.5402055090259994,1.5402055090259994,1.5402055090259994,0.01,0.9460038086017579,1.5202055090259994,0.2918021081775164
1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,41.72738342,0.248058729,0.410849205,0.701649227,0.964206388,0.417479536,0.402372417,0.389496171,0.471687282,0.309101333,0.118326185,50,50,0.15,1.0197654656139312,0.9897654656139313,0.01,0.01,0.9897654656139313,0.9897654656139313,1.425765867546214,1.425765867546214,1.425765867546214,1.425765867546214,1.425765867546214,1.425765867546214,0.01,1.0197654656139312,1.405765867546214,0.5537650636816487
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,41.56533681,0.246619981,0.402208664,0.675002383,0.905680834,1.169766476,0.4452867,0.428794133,0.514651813,0.331071794,0.124144604,50,50,0.15,1.0334047379224702,1.0034047379224702,0.01,0.01,1.0034047379224702,1.0034047379224702,1.4858901927064971,1.4858901927064971,1.4858901927064971,1.4858901927064971,1.4858901927064971,1.4858901927064971,0.01,1.0334047379224702,1.4658901927064971,0.5209192831384433
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,41.40828935,0.245227499,0.393922366,0.649696131,0.850832243,1.039240992,1.253807051,0.469779023,0.558806939,0.353019648,0.129751707,50,50,0.15,1.0466347842353336,1.0166347842353336,0.01,0.01,1.0166347842353336,1.0166347842353336,1.5431278221180758,1.5431278221180758,1.5431278221180758,1.5431278221180758,1.5431278221180758,1.5431278221180758,0.01,1.0466347842353336,1.5231278221180757,0.49014174635259145
