v19,gt,0.1x,0.2x,0.3x,0.4x,0.5x,1.01x,1.5x,3x,5x,7x,10x
1.0,v2,v8,v4,v2,v2,v2,v21,v2,v2,v2,v4,v2
2.0,v15,v21,v8,v4,v4,v4,v15,v7,v5,v13,v13,v13
3.0,v7,v14,v5,v13,v5,v13,v17,v13,v13,v4,v2,v4
4.0,v4,v15,v21,v21,v13,v7,v18,v3,v4,v3,v7,v3
5.0,v21,v4,v15,v8,v7,v8,v8,v5,v7,v12,v5,v12
6.0,v5,v7,v14,v15,v8,v21,v16,v12,v3,v9,v3,v9
7.0,v12,v6,v6,v5,v21,v5,v14,v11,v12,v16,v16,v7
8.0,v13,v2,v2,v14,v9,v15,v4,v10,v15,v15,v21,v5
9.0,v9,v5,v7,v9,v15,v9,v5,v9,v6,v5,v12,v16
10.0,v8,v13,v13,v6,v14,v14,v6,v4,v21,v21,v15,v21
11.0,v14,v18,v3,v3,v6,v3,v7,v18,v16,v6,v9,v10
12.0,v11,v12,v12,v7,v12,v12,v2,v21,v11,v17,v6,v6
13.0,v10,v9,v18,v18,v10,v6,v11,v6,v10,v18,v17,v15
14.0,v16,v10,v9,v12,v3,v10,v10,v17,v9,v7,v18,v18
15.0,v17,v3,v10,v17,v17,v11,v9,v15,v8,v8,v14,v14
16.0,v6,v11,v17,v16,v18,v16,v12,v14,v17,v10,v10,v11
17.0,v18,v17,v11,v10,v16,v18,v3,v8,v18,v14,v11,v8
18.0,v3,v16,v16,v11,v11,v17,v13,v16,v14,v11,v8,v17
,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19
