v19,gt,0.1x,0.2x,0.3x,0.4x,0.5x,1.01x,1.5x,3x,5x,7x,10x
1.0,v2,v15,v8,v8,v8,v8,v5,v2,v2,v2,v15,v18
2.0,v15,v5,v5,v14,v14,v14,v15,v7,v18,v15,v18,v16
3.0,v7,v6,v14,v2,v15,v10,v7,v4,v15,v7,v7,v17
4.0,v4,v8,v4,v16,v10,v2,v17,v5,v7,v4,v2,v5
5.0,v21,v2,v11,v15,v9,v15,v21,v8,v17,v5,v9,v9
6.0,v5,v12,v9,v17,v21,v11,v16,v9,v16,v9,v17,v21
7.0,v12,v21,v18,v9,v5,v9,v12,v6,v13,v16,v21,v6
8.0,v13,v11,v2,v7,v12,v6,v2,v15,v9,v21,v6,v12
9.0,v9,v18,v21,v21,v4,v21,v13,v12,v4,v6,v11,v11
10.0,v8,v14,v10,v4,v17,v18,v6,v18,v21,v12,v4,v15
11.0,v14,v10,v17,v5,v3,v13,v4,v14,v10,v13,v10,v10
12.0,v11,v9,v6,v13,v6,v5,v3,v13,v6,v8,v16,v2
13.0,v10,v17,v7,v10,v13,v4,v9,v11,v12,v10,v13,v8
14.0,v16,v13,v12,v6,v7,v3,v18,v10,v3,v14,v12,v14
15.0,v17,v4,v3,v11,v18,v17,v11,v21,v8,v3,v5,v13
16.0,v6,v7,v15,v18,v11,v7,v8,v3,v11,v11,v8,v7
17.0,v18,v16,v13,v12,v16,v16,v14,v16,v5,v18,v14,v4
18.0,v3,v3,v16,v3,v2,v12,v10,v17,v14,v17,v3,v3
,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19
