v19,gt,0.1x,0.2x,0.3x,0.4x,0.5x,1.01x,1.5x,3x,5x,7x,10x
1.0,v2,v2,v15,v15,v2,v2,v21,v2,v7,v7,v7,v7
2.0,v7,v7,v21,v21,v7,v7,v15,v7,v2,v2,v2,v2
3.0,v15,v15,v2,v2,v12,v21,v16,v21,v21,v5,v5,v5
4.0,v21,v21,v7,v7,v5,v12,v17,v5,v15,v21,v21,v21
5.0,v5,v4,v8,v13,v4,v13,v18,v15,v5,v4,v15,v4
6.0,v4,v13,v5,v8,v13,v5,v8,v4,v4,v15,v4,v15
7.0,v9,v5,v13,v12,v9,v15,v14,v12,v12,v12,v12,v12
8.0,v13,v12,v4,v4,v8,v4,v2,v13,v9,v13,v9,v9
9.0,v8,v9,v9,v14,v11,v8,v4,v9,v13,v9,v16,v3
10.0,v12,v11,v14,v5,v14,v14,v6,v8,v16,v16,v13,v16
11.0,v10,v6,v12,v18,v3,v9,v5,v18,v11,v11,v6,v6
12.0,v14,v18,v18,v9,v10,v11,v7,v16,v6,v6,v3,v11
13.0,v6,v17,v17,v11,v15,v6,v12,v14,v10,v10,v11,v10
14.0,v11,v10,v11,v17,v21,v10,v9,v6,v14,v14,v10,v13
15.0,v16,v14,v10,v10,v17,v18,v10,v10,v8,v17,v14,v14
16.0,v17,v3,v16,v16,v6,v17,v13,v11,v17,v8,v17,v17
17.0,v3,v8,v3,v3,v16,v16,v11,v17,v18,v18,v8,v18
18.0,v18,v16,v6,v6,v18,v3,v3,v3,v3,v3,v18,v8
,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19
