v19,gt,0.1x,0.2x,0.3x,0.4x,0.5x,1.01x,1.5x,3x,5x,7x,10x
1.0,v2,v6,v16,v16,v17,v15,v18,v17,v17,v17,v15,v15
2.0,v15,v7,v18,v21,v21,v18,v15,v21,v15,v8,v10,v2
3.0,v7,v8,v17,v10,v15,v17,v21,v18,v21,v16,v11,v12
4.0,v4,v14,v7,v9,v18,v21,v16,v2,v16,v5,v21,v17
5.0,v21,v5,v5,v17,v16,v16,v17,v4,v7,v21,v4,v16
6.0,v5,v10,v2,v18,v2,v9,v8,v7,v6,v14,v17,v11
7.0,v12,v18,v4,v8,v8,v8,v14,v16,v18,v18,v18,v8
8.0,v13,v16,v21,v12,v12,v2,v4,v5,v8,v4,v16,v4
9.0,v9,v12,v6,v5,v10,v11,v6,v15,v10,v6,v2,v9
10.0,v8,v4,v11,v4,v11,v14,v5,v9,v9,v15,v13,v5
11.0,v14,v9,v8,v14,v4,v5,v2,v12,v14,v7,v12,v14
12.0,v11,v17,v3,v6,v6,v4,v7,v3,v4,v12,v3,v3
13.0,v10,v21,v14,v11,v14,v12,v11,v13,v2,v3,v9,v21
14.0,v16,v2,v9,v7,v9,v10,v10,v11,v5,v13,v7,v13
15.0,v17,v15,v12,v2,v7,v3,v3,v6,v11,v10,v8,v10
16.0,v6,v11,v10,v15,v13,v7,v13,v14,v3,v2,v6,v6
17.0,v18,v3,v15,v3,v5,v6,v12,v8,v13,v9,v14,v7
18.0,v3,v13,v13,v13,v3,v13,v9,v10,v12,v11,v5,v18
,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19
