e_vPGI,e_vPFK,e_vFBA,e_vTPI,e_vGDH,e_vPGK,e_vGPM,e_vENO,e_vPYK,e_vZWF,e_vPGL,e_vGND,e_vRPE,e_vRPI,e_vX5P_GAP_TKT,e_vF6P_E4P_TKT,e_vS7P_R5P_TKT,e_vF6P_GAP_TAL,e_vS7P_E4P_TAL,e_vFBP,e_vPPC,e_vPCK,e_vPPS,e_vMAD,e_vPDH,e_vGLT,e_vACN_1,e_vACN_2,e_vICD,e_vLPD,e_vSK,e_vSDH,e_vFUMA,e_vMQO,e_vMDH,e_vACEA,e_vACEB,e_vACEK_1,e_vACEK_2,e_vEDD,e_vEDA,e_vNADH_req,e_vPNT_req,e_vADK,e_vATP_syn,e_vCYA,e_vDOS,e_vACK,e_vACS,e_vPTA,e_vPTS_0,e_vPTS_1,e_vPTS_2,e_vPTS_3,e_vPTS_4,e_vGLC_feed,e_vCYTBO,e_vSQR,e_vNDHII,e_vGROWTH,e_vATP_MAINTENANCE,e_vXCH_GLC,e_vPIT,e_vXCH_P,e_vXCH_ACE1,e_v_ACE_OUT,e_vXCH_ACE2,e_vGL6P_HYDROLYSIS,COA,HCO3,MG,MgADP,MgATP,MgFDP,ASP,CYS,MN,Hin,H2O,O2,Px,P,Hout,ADP,Q,NAD,PYR,GAP,NADP,F6P,ACCOA,PEP,PGN,MAL,SUC,OAA,ACEx,tkt,RU5P,G6P,AMP,ICIT,DAP,eiia,GLCx,ACEx_0,Pp,PGA3,ei,icd,S7P,ACO,GL6P,SUCCOA,FAD,E4P,PGA2,KDPG,ACEp,FUM,eiicb,X5P,ACP,BPG,GLCp,GLX,R5P,hprP,talC3,CIT,CAMP,AKG,FDP,ATP,FADH2,eiP,icdP,eiiaP,hpr,QH2,NADH,NADPH,tal,tktC2,eiicbP,v_vPGI,v_vPFK,v_vFBA,v_vTPI,v_vGDH,v_vPGK,v_vGPM,v_vENO,v_vPYK,v_vZWF,v_vPGL,v_vGND,v_vRPE,v_vRPI,v_vX5P_GAP_TKT,v_vF6P_E4P_TKT,v_vS7P_R5P_TKT,v_vF6P_GAP_TAL,v_vS7P_E4P_TAL,v_vFBP,v_vPPC,v_vPCK,v_vPPS,v_vMAD,v_vPDH,v_vGLT,v_vACN_1,v_vACN_2,v_vICD,v_vLPD,v_vSK,v_vSDH,v_vFUMA,v_vMQO,v_vMDH,v_vACEA,v_vACEB,v_vACEK_1,v_vACEK_2,v_vEDD,v_vEDA,v_vNADH_req,v_vPNT_req,v_vADK,v_vATP_syn,v_vCYA,v_vDOS,v_vACK,v_vACS,v_vPTA,v_vPTS_0,v_vPTS_1,v_vPTS_2,v_vPTS_3,v_vPTS_4,v_vGLC_feed,v_vCYTBO,v_vSQR,v_vNDHII,v_vGROWTH,v_vATP_MAINTENANCE,v_vXCH_GLC,v_vPIT,v_vXCH_P,v_vXCH_ACE1,v_v_ACE_OUT,v_vXCH_ACE2,v_vGL6P_HYDROLYSIS
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.4,1.0,0.0,0.0,0.0,1.17,0.085,0.3,3.16227766e-05,1.0,0.21,10.0,9.763893606361394,1.8606434066478956e-05,0.5983165674559837,0.3261170120204333,1.4115433982783028,0.23689126864809543,0.11718311812904532,0.16783711193880493,0.2617657113321052,0.1547435458305361,0.9970380869621182,0.13159933467747667,1.0321558649636269,0.21605641845143123,0.1278395275548045,0.00018671868224687143,0.013830807931082675,0.34182568819897796,0.8611272210488369,0.18625546298419368,0.10578350332558732,0.437094100679657,0.014201854738238102,0.027104987944664777,0.00018671660737445012,9.982852725411945,0.6962739831899637,0.00033401281371812637,0.0005427446023074901,0.1419844411956152,0.032150130471514014,0.0032616408218897005,0.04108803528313818,0.2539137404979666,0.13129981929398069,0.3782970058886344,0.08681755672753214,0.00018671764481066068,0.2131155602283494,4.719096686844497e-05,0.5060166967596842,0.014390890434119293,0.06541025404561909,0.004033369722031375,0.00881041277267467,0.10684139941317665,0.00525081182793544,0.05721904798957234,0.08953139278468299,0.9231302439706943,0.5978733707756366,0.28180820465361406,2.57219788833461,0.7460862595788664,0.0063811629592384865,0.051457255919404435,0.4805685449381707,0.0001912117814749769,0.6738829876310457,0.15845660241791615,0.08916288768868294,0.002780951975583472,0.05616919198744213,0.00034262139457970635,0.16830106063207542,0.18424018488436364,0.18412475674617645,0.1841247567461775,0.3882542782554217,0.3882542782554199,0.3649983693993718,0.3649983693993721,0.1581132020257561,0.05850641223502316,0.05850638102439104,0.04214761875659062,0.016924567539238582,0.02522305121735226,0.016924567539238523,0.005655061635516077,0.011269505903722199,0.011269505903723174,0.011269505903722239,0.00011542813818807915,0.07942287229202388,0.11058653038880027,1.5057718746715477e-05,0.022166952121958104,0.38256151111623315,0.2263544558443353,0.22635445584433614,0.22635445584433497,0.1284385529074932,0.11165026367413178,0.1116502636741335,0.20956616661097396,0.209566166610973,2.79644046428498,2.5111253468591217,0.09791590293684214,0.09791590293684217,0.0017079410545783815,0.0017079410545783815,0.016358793478432526,0.016358793478432533,0.37763981334290536,-0.05077645415671623,0.025983284787118387,1.7672337391562172,0.007641231117842381,0.007641231117842381,0.01832700632450398,0.018326995950529276,0.018327006324503965,0.22999999999999998,0.2300000000000002,0.22999999999999776,0.23,0.23000000000000004,0.23,0.7019457467236486,0.2095661666109739,0.5313703960675602,2.7521785628461347e-05,1.2554426275809534,0.23000000000000004,0.05719027053594257,0.05719027053593885,1.037397470559659e-08,1.037397470572445e-08,1.0373974705716171e-08,3.1210631948603254e-08
3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.4,1.0,0.0,0.0,0.0,1.17,0.085,0.3,3.16227766e-05,1.0,0.21,10.0,9.693378569539556,1.8619531098084333e-05,0.6031552822477592,0.32732106649999004,1.412450034758134,0.23556223562270975,0.11753411869982061,0.16902752440499016,0.2700536724276906,0.15404165092910332,1.0374865577456658,0.12495775991964399,1.0330885875275957,0.21488734393536071,0.13255387204292596,0.00018636505117959056,0.013701547351979974,0.3446999926547137,0.7942997574698245,0.1889380714578997,0.10549352644177826,0.43842603859302437,0.014159277803627421,0.027104773981129853,0.00018636298023696723,9.982771928484333,0.7244480236499808,0.00032447209167142595,0.0005440426320698186,0.1451897215856974,0.03205994796012853,0.0030935776590867675,0.04074365198164081,0.2552183426688835,0.13352275616765083,0.3936476332530669,0.0850689862840954,0.00018636401570827876,0.213291060631174,4.71759102754168e-05,0.5108784259837852,0.014206064434998366,0.06735083458818475,0.0040331567404701734,0.00859114984587377,0.10791210159632217,0.005251409633942698,0.05729053758663828,0.08927408911971273,0.9212921717374413,0.6038150073869935,0.2836489217778193,2.5665146373023813,0.7447816574079495,0.006390703681285187,0.05145595788964211,0.4806111218727814,0.00019061397546771882,0.672678933151489,0.157549965938085,0.08797247522249771,0.0027094623785175326,0.05629845256654483,0.00034263645117273454,0.17087863050272414,0.18546450504704642,0.18535042152808587,0.185350421528085,0.38935797285334095,0.3893579728529081,0.36599242058721354,0.36599242058721365,0.15685830627502492,0.05591379072464917,0.05591376166600886,0.04020656756294495,0.015577852671097315,0.02462871489184671,0.015577852671090908,0.004968469138936583,0.010609383532239766,0.010609383532202416,0.01060938353216736,0.00011408351898425444,0.07888054394614807,0.10783325738220384,1.5073806781003195e-05,0.022403909547700235,0.38068424780718113,0.22596615367526549,0.22596615367526557,0.22596615367526518,0.12981403403927927,0.11294659394184596,0.1129465939349003,0.20909871357782384,0.2090987135778248,2.795903241477078,2.513056317810971,0.0961521196359809,0.09615211963598119,0.0017079000922072807,0.0017079000922072965,0.015707223161704545,0.015707223161704545,0.3762326320225332,-0.05525412955980836,0.025931915194719463,1.7593655766837866,0.007625978936092531,0.007625978936092593,0.018290872806174297,0.018290862451849032,0.018290872806173347,0.2299999999999498,0.2300000000000001,0.22999999999999776,0.2300000000000001,0.23000000000000004,0.23,0.6987489601427262,0.20909871357782456,0.5293196510189836,2.7651541143344355e-05,1.246356612448581,0.22999999999999998,0.057459902495884965,0.05745990249587263,1.0354327182092304e-08,1.03543271819659e-08,1.0354327181526143e-08,2.905863947448671e-08
1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.4,1.0,0.0,0.0,0.0,1.17,0.085,0.3,3.16227766e-05,1.0,0.21,10.0,10.138618784613264,1.8533670457079988e-05,0.5699780904234985,0.3214204020992945,1.4076457521380403,0.23494678556249604,0.11858135730356915,0.1651771281861834,0.22327337993219787,0.15810951111382118,1.2422975652372843,0.11513740313661436,1.1111849768310909,0.2278509311553899,0.14591529637212786,0.0001868415782189995,0.015256024641884363,0.3009964463038617,0.7481364399587725,0.17088156885122835,0.13587913047340824,0.4423828024698647,0.014048742741506406,0.027104218721791876,0.00018683950198087132,9.98316432745316,0.8669986955926345,0.000299572839233358,0.0005353464247469209,0.11037896967186396,0.0412206909496059,0.0028450044462440117,0.04437314348325549,0.24757512814281557,0.1260647076834738,0.4713331525812102,0.08313720872208194,0.0001868405400999353,0.22946271043630517,4.7136829310954555e-05,0.44664721501607113,0.015369334143516112,0.08652976042170389,0.004032604029463986,0.007824228769228583,0.09397276298142875,0.005252961755173852,0.056721311944202,0.11456200367485184,0.9340050514220234,0.6568928961239623,0.2892814077913548,2.6050354520487313,0.7524248719340174,0.006415602933723255,0.051464654096965004,0.4807216569349024,0.00018906185423656508,0.6785795975521844,0.1623542485581786,0.09182287144130447,0.003278688020953817,0.05474397527664044,0.00034267553213719674,0.17597797298491297,0.18818483889775453,0.1880543641729524,0.18805436417295227,0.3926542706587672,0.39265427065830333,0.3698212078720796,0.3698212078720788,0.15705716606858566,0.05088754738993234,0.0508875215252716,0.03619188737885694,0.013157246231196296,0.023034641147660736,0.01315724623119529,0.0038224427555480943,0.009334803475643262,0.009334803475650723,0.009334803475648024,0.00013047472482123024,0.08139030138858404,0.10652915151425904,1.4371261950065741e-05,0.02107022475621536,0.3795474564715779,0.23233246742586947,0.23233246742585667,0.232332467425858,0.14234876329609553,0.1258657238879774,0.1258657238867468,0.21584942801772655,0.2158494280177259,2.845255925498151,2.560493018106909,0.0899837041297447,0.0899837041297507,0.001708176019133835,0.0017081760191338263,0.014695660011075055,0.014695660011075062,0.38533419249357925,-0.04535217528163578,0.026093516085234025,1.7998452611846099,0.007731463321987766,0.007731463321987747,0.01834769188210309,0.01834768150130082,0.018347691882104236,0.22999999999999954,0.2299999999999997,0.23000000000000487,0.23000000000000004,0.22999999999999998,0.23,0.7142743367820259,0.2158494280177289,0.5426021456614739,2.7021376078920512e-05,1.3207927736647018,0.22999999999999998,0.05615041949199052,0.0561504194919976,1.0380802729782326e-08,1.0380802730057211e-08,1.0380802730243543e-08,2.5864660190633177e-08
1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.4,1.0,0.0,0.0,0.0,1.17,0.085,0.3,3.16227766e-05,1.0,0.21,10.0,9.760902761958357,1.8606887794587687e-05,0.5984435181979424,0.3261988030613685,1.4115984800114427,0.23678074402467647,0.11720380093354145,0.16785360583880254,0.2619582227549276,0.15466471472366092,0.9980216682859772,0.13017412848580262,1.0309397394197253,0.21582108725373328,0.12761563328329764,0.00018662238471488555,0.013821676307515034,0.34233399639647566,0.8616455197681941,0.18631125924794079,0.10560362755529298,0.4371726089482435,0.014199949827041376,0.02710497837084704,0.00018662031091259043,9.982847156390127,0.6969694312076926,0.00033358655112259344,0.0005427768610880105,0.14229811785103444,0.03209514218342322,0.0032282862770491084,0.04104485148164021,0.2540319900481861,0.1313138071287916,0.37867453266632073,0.08646020183802207,0.00018662134781373787,0.21286286304060095,4.7190293193808926e-05,0.5067246338753643,0.014378758464212474,0.0654580917913569,0.004033360192152136,0.008805122808711948,0.10699309937495761,0.005250838573395614,0.05722072062442561,0.08937730118698686,0.9230882700224544,0.5974359038795051,0.27391203735772945,2.572057115277144,0.7459680100286469,0.00638158922183402,0.05145722366062392,0.4805704498493674,0.00019118503601480309,0.6738011965901105,0.1584015206847762,0.08914639378868533,0.0027792793407302036,0.05617832361100977,0.0003426220682543424,0.16825772676114917,0.1843106672522979,0.18419843937520253,0.18419843937520133,0.3883195539693441,0.3883195539691706,0.3650560878332264,0.36505608783322613,0.15810051209506393,0.058548708656850135,0.05854867745545958,0.04232912672588704,0.017041941780259705,0.02528718494562792,0.017041941780258155,0.0057128365163032655,0.011329105263950855,0.011329105263965158,0.011329105263956826,0.00011222787710001424,0.07861184679129624,0.10970771951896441,1.505517663865257e-05,0.022176118645299444,0.38240446011726625,0.22622259279365164,0.2262225927936506,0.22622259279364954,0.12835082018930744,0.11155707540465525,0.1115570754087472,0.20942884800899747,0.209428848008998,2.795615815774962,2.5104913138069347,0.09787177260434202,0.09787177260434247,0.0017079400921832155,0.001707940092183225,0.016219581930962918,0.016219581930962935,0.37759399529767845,-0.050731329206871394,0.02597346973959258,1.7667425916353938,0.007640882888347349,0.007640882888347327,0.01831754204324249,0.018317531674617863,0.018317542043245802,0.22999999999999954,0.2299999999999991,0.2300000000000182,0.23,0.22999999999999998,0.23,0.7017254050668454,0.20942884800899758,0.5313034648589764,2.7530729155169175e-05,1.255456523739011,0.23000000000000004,0.05720885518442672,0.05720885518444711,1.036862447419286e-08,1.0368624474303525e-08,1.0368624474310223e-08,3.120139104455999e-08
1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.4,1.0,0.0,0.0,0.0,1.17,0.085,0.3,3.16227766e-05,1.0,0.21,10.0,9.76335035822535,1.8606516457026197e-05,0.5983395994824392,0.3261318699101841,1.4115534116931416,0.23687122491474716,0.11718684406351002,0.16784012733421055,0.26180064216122545,0.15472926058168915,0.9972167720301895,0.13134141669787738,1.0319347325277155,0.2160137114214899,0.12779879957641982,0.0001867012210493746,0.01382915094751758,0.34191769509490416,0.8612212844089595,0.18626558603852725,0.10575085320846678,0.4348298125242065,0.014201508758644028,0.02710498620581272,0.00018669914637099442,9.982851713734238,0.6964002898024582,0.0003339353978786988,0.000542750454945808,0.14204123838456414,0.03214014929954921,0.0032556048302991862,0.04108020086002185,0.25393520834392747,0.131302350948661,0.3783655764045973,0.08675286314833243,0.00018670018371018442,0.2130696131442742,4.7190844512004646e-05,0.5061448498268976,0.014388689622342538,0.06541894698991867,0.004033367991159686,0.008809452071258063,0.10686885943555946,0.005250816685576499,0.05721935216644058,0.08950342297506611,0.9231226302708649,0.5977941483252692,0.28037423437338715,2.5721723469536504,0.7460647917329055,0.006381240375077915,0.05145725006676612,0.4805688909177648,0.00019120692383391754,0.673868129741295,0.1584465890030773,0.08915987229327732,0.002780647798715237,0.05617084897100723,0.00034262151693614665,0.16829318265767318,0.18425289444937254,0.18413804300051365,0.1841380430005175,0.3882660372959029,0.3882660372958979,0.3650087555720769,0.3650087555720776,0.1581108077306701,0.058514101744736605,0.05851407053575313,0.04218045202105217,0.016945796755802513,0.025234655265249813,0.016945796755802288,0.005665510524847769,0.011280286230955084,0.011280286230955137,0.011280286230954608,0.00011485144885953205,0.07927532151260842,0.1104266756370704,1.5057259077818653e-05,0.022168612069451355,0.38253303233591834,0.2263305479776876,0.22633054797768745,0.22633054797768687,0.12842265705880687,0.11163337676113426,0.11163337676103978,0.20954126768001483,0.20954126768001552,2.796290633156195,2.511010086626753,0.09790789091888061,0.09790789091888061,0.001707940880000191,0.0017079408800001914,0.01633364972368443,0.016333649723684427,0.37763144703224755,-0.05076834876070662,0.025981505042378426,1.7671444735694615,0.007641167952092055,0.007641167952092058,0.018325290204213168,0.01832527983120861,0.01832529020421312,0.23000000000000087,0.22999999999999968,0.23000000000000664,0.22999999999999998,0.23,0.23,0.7019057191002821,0.20954126768001463,0.5313581769588618,2.7523410324053608e-05,1.2554452623439578,0.22999999999999998,0.05719364665338344,0.057193646653387734,1.0373004572620667e-08,1.0373004572372452e-08,1.0373004572401047e-08,3.1208983563106064e-08
1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.4,1.0,0.0,0.0,0.0,1.17,0.085,0.3,3.16227766e-05,1.0,0.21,10.0,13.532056012640025,1.8003564783892804e-05,0.39459828167384625,0.28360663177349554,1.374205982517385,0.2581926148447824,0.03894997940770047,0.1400277131434431,0.3642910365106592,0.1930752385584609,0.9420874894469915,0.09049536655037135,1.210722960049533,0.30795333323470647,0.08639952588608127,0.00019432491271336244,0.005796268956811967,0.3422486585923876,1.1871218303765096,0.09821570102535708,0.28535123406825047,0.14537604100225787,0.014485935598076843,0.027106416737562245,0.00019432275331500635,9.98570448283775,0.6628094475262648,0.0003969661087459202,0.0004955015163562819,0.3918787765893059,0.08663306431142148,0.0022967878993673577,0.06967845589052177,0.20140166742695578,0.06820259315361381,0.3594153209166176,0.036956095315866654,0.00019432383301418426,0.2509973050261128,4.729147013655749e-05,0.5064099356591687,0.02603590586626668,0.10301510899549077,0.004034791957563454,0.008791941334653448,0.10796368177502774,0.005246823937854491,0.05932943055977888,0.240978603420905,0.9910911576677572,0.7342737953586811,0.03470978490860078,2.795995022378521,0.7985983326498772,0.0063182096642106925,0.05150449900535565,0.4802844640783319,0.00019519967155592552,0.7163933678779835,0.19579401817883402,0.11697228648404479,0.0006705694053769362,0.06420373096171283,0.00034252089131159383,0.17389184509716143,0.19045743376850066,0.19045624356625418,0.19045624356625046,0.3988903267840716,0.3988903267840712,0.3795039441447709,0.3795039441447685,0.1901343178232798,0.05344682900205859,0.053446798539559026,0.040195106562448304,0.01748209705556908,0.022713009506879635,0.01748209705556886,0.006400917132270876,0.011081179923297406,0.011081179923298054,0.011081179923297848,1.1902022460827205e-06,0.08853161557615409,0.13587219547604823,1.1935924552234005e-05,0.0143994425191376,0.4110426609337789,0.26354369481200496,0.26354369481200474,0.2635436948120051,0.1646368796407005,0.1506419761969437,0.15064197619696415,0.24954879136824798,0.2495487913682489,2.900172452724237,2.5661162887038227,0.0989068151713045,0.09890681517130442,0.0017093928391730918,0.001709392839173092,0.013251722439610264,0.013251722439610262,0.4328883396404269,0.02497689205838012,0.027345765653657192,2.0505026823119867,0.008205028651779637,0.008205028651779633,0.019128811873897485,0.019128801077325307,0.01912881187389744,0.22999999999999998,0.23,0.23000000000000131,0.23,0.23000000000000007,0.23,0.8147664765317079,0.2495487913682482,0.6130396580343261,2.2942464661896676e-05,1.7266388496939993,0.23000000000000004,0.04767444156742131,0.04767444156741898,1.0796572174251414e-08,1.0796572174181754e-08,1.0796572174211132e-08,3.046249943004929e-08
1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.4,1.0,0.0,0.0,0.0,1.17,0.085,0.3,3.16227766e-05,1.0,0.21,10.0,9.76391003923482,1.860643085787629e-05,0.5983152995164434,0.3261167850411735,1.4115432222174857,0.23689137775090213,0.11718209469668464,0.16783695591070372,0.26176635442173596,0.15474371305316872,0.9970385814752102,0.131598440659243,1.0321568601100652,0.21605678715923524,0.1278391975107367,0.00018671871743798166,0.013830719238509589,0.3418256574796505,0.8611292204268515,0.18625475542587516,0.10578409494673503,0.43709028510770936,0.014201855507618176,0.02710498794853159,0.00018671664256516922,9.982852740513854,0.6962743571824136,0.00033401298587133825,0.0005427442638041538,0.1419855650781529,0.032150309055291544,0.0032616198831922757,0.04108814711520713,0.2539134664216175,0.13129911464613545,0.3782972056984329,0.08681680731473582,0.00018671768000157532,0.21311576944209187,4.719096714053803e-05,0.5060166298440256,0.01439093448441106,0.06368956876288398,0.0040333697258804445,0.00881041537570158,0.10684139174860717,0.005250811817133151,0.05721907805083886,0.0895318864255707,0.9231307343521746,0.5978741337118396,0.28180337251528215,2.5721993734509887,0.7460865336552155,0.006381162787085275,0.05145725625790777,0.48056854416879063,0.00019121179227726565,0.6738832146103055,0.15845677847873318,0.08916304371678416,0.002780921914316954,0.05616928068001521,0.0003426213943076133,0.16830107279670542,0.18424024572977576,0.18412481947001855,0.18412481947002282,0.38825436377688843,0.388254363776912,0.36499847541444846,0.36499847541444613,0.15811343889629062,0.058506402883716425,0.05850637167309331,0.04214767837029505,0.016924617128340872,0.02522306124195441,0.016924617128341174,0.005655088903851713,0.0112695282244824,0.011269528224486987,0.011269528224489173,0.00011542625975532003,0.07942255930263067,0.11058634116646755,1.5057701081565792e-05,0.02216689414307796,0.38256165988925817,0.22635462948610888,0.2263546294861086,0.2263546294861086,0.12843870005060795,0.11165042561144842,0.11165042561276413,0.209566355046949,0.20956635504694765,2.796441248587655,2.5111258582482834,0.09791592943550065,0.0979159294355006,0.0017079410653507493,0.001707941065350752,0.016358724513421317,0.016358724513421314,0.377640110911979,-0.0507760101245836,0.025983292679407546,1.7672352443566124,0.007641235186890185,0.0076412351868901775,0.018327010165414454,0.018326999791437645,0.018327010165415013,0.22999999999999776,0.2300000000000002,0.22999999999999599,0.23,0.23000000000000004,0.23,0.701946344239628,0.2095663550469488,0.5313708321809518,2.752176137567154e-05,1.2554454734372056,0.22999999999999998,0.057190220138641355,0.05719022013864452,1.0373976661080217e-08,1.0373976660920803e-08,1.0373976661199803e-08,3.1210623528306714e-08
1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.4,1.0,0.0,0.0,0.0,1.17,0.085,0.3,3.16227766e-05,1.0,0.21,10.0,9.770335871011573,1.8605216781420545e-05,0.5978479575624964,0.32601560184204637,1.4114687769044687,0.23698860547290318,0.11718683478239318,0.16778296533525436,0.2619937409654059,0.1548136505047306,0.9971956026515891,0.1316403369604863,1.0329313161601756,0.2162403233992424,0.12781585407210913,0.00018674728485405285,0.013825261556838036,0.34200428966184304,0.861850906535408,0.18599661225015823,0.10593860807901419,0.43710805541883324,0.014202756683364539,0.027104992477747523,0.00018674520966377916,9.982859512009705,0.677719822631138,0.0003342146229036044,0.0005426197340559423,0.14213600623731237,0.0321973307921224,0.0032626385072398257,0.04113686232635702,0.2537881024465518,0.13134796625152656,0.37835944604980076,0.08685617511069303,0.0001867462472589159,0.21327694890364143,4.719128584383353e-05,0.5062827692792299,0.014408487164339845,0.06374252954473754,0.0040333742343097905,0.008819162097800958,0.10690126129964513,0.0052507991644070405,0.05722126686175779,0.08966301694275812,0.9233098641739848,0.5979902679412342,0.28182648851936715,2.572745728758842,0.7462118976302812,0.006380961150053008,0.051457380787655986,0.4805676429930443,0.00019122444500337642,0.6739843978094326,0.15853122379175022,0.08921703429223352,0.0027787331033980248,0.056174738361686766,0.00034262107560431777,0.16830510070486657,0.18424524458088706,0.18412979671849397,0.18412979671848984,0.38826956317373174,0.38826956317368144,0.3650228638701971,0.36502286387019556,0.1582509226726903,0.05850363643216293,0.05850360521490315,0.04214182725602037,0.016925131483616573,0.025216695772403933,0.01692513148361604,0.0056564552933346095,0.011268676190282895,0.011268676190285197,0.01126867619028228,0.00011544786239484988,0.07948460315233434,0.110758297563726,1.5054208775241653e-05,0.022145722565172016,0.38269847051888517,0.22644334849620262,0.2264433484962016,0.2264433484962023,0.12845629498504565,0.11167465406770058,0.11167465406904246,0.2096617075788565,0.20966170757885555,2.797004698536658,2.511501660011823,0.09798705351115589,0.09798705351115607,0.0017079450112548581,0.0017079450112548655,0.01636180917614248,0.016361809176142484,0.37774241146797777,-0.050656448684942526,0.02598771773888986,1.767879030592254,0.007642721551930983,0.0076427215519309765,0.01832995235375168,0.018329941978187818,0.018329952353752673,0.22999999999999954,0.22999999999999976,0.23000000000000398,0.22999999999999995,0.23,0.23,0.702214262395368,0.20966170757885705,0.5315213672190586,2.751088674974651e-05,1.2564150672651895,0.23000000000000004,0.057167622665969114,0.0571676226659739,1.0375563848729059e-08,1.037556384891957e-08,1.0375563848849301e-08,3.121725985855525e-08
